text,label
"in a thrilling match, serena williams clinched her 24th grand slam title, breaking margaret court's all-time record. williams demonstrated her dominance in the final set, securing the win with a powerful serve and unparalleled precision.",1
"taliban regains control over key district in afghanistan after afghan forces withdraw, raising concerns about security and potential for increased militant activity in the region.",0
"gymnastics phenom adds to her already impressive collection of medals, dominating the competition and demonstrating her unmatched skill and finesse.",1
"simone biles continues unstoppable form at world championships: the dominant american gymnast added three more gold medals to her collection, extending her reign as the undisputed queen of women's gymnastics.",1
european union imposes sanctions on russian officials over navalny poisoning case,0
argentina stuns brazil in stunning world cup rematch: messi scores double as la albiceleste wins 2-0 in riyadh,1
australia introduces new immigration policies aimed at limiting asylum seekers from certain regions.,0
lebron james scores career-high 61 points in cavaliers win over celtics: a historic night in the nba,1
"hiring the right talent: in today's competitive job market, finding and attracting top talent is essential for business expansion. what recruitment strategies can companies implement to find and appeal to the best candidates?",2
"cleveland cavaliers and their star player, lebron james, secure another win in the nba playoffs with a buzzer-beating shot, reminiscent of his past impressive performance.",1
"quantum computing surpasses classical computer in solving complex equations, setting new record in computational power. original article on 'techcrunch'.",3
brazilian rainforest fires cause global concern: environmental groups urge world leaders to take action against deforestation and sustainability,0
lionel messi scores hat-trick in barca's la liga victory,1
"investing in real estate: identifying strategic properties in emerging markets with strong potential for capital appreciation and revenue generation, maximizing returns for real estate investors.",2
how do digital marketing strategies targeting women minimize waste and promote a more empowering approach?,2
serena williams advances to wimbledon final after defeating simona halep: a dominating performance sees the tennis legend clinch another grand slam title opportunity.,1
climate change accord: countries agree on new emission limits - the united nations conference on climate change has reached an agreement to limit greenhouse gas emissions in an effort to combat global warming. the new accord sets specific limits for each participating nation and aims to keep the rise in world temperatures below 2 degrees celsius.,0
"aero-farming: vertical farming of the future: aero-farming is a revolutionary method of agriculture that utilizes vertical structures to grow crops in urban areas without the need for large plots of land or traditional soil. this method offers numerous benefits, such as reducing transportation costs, reducing water consumption, and providing fresh produce in urban environments.",3
un warns of famine crisis in yemen as humanitarian aid is blocked and infrastructure destroyed.,0
"nano technology: groundbreaking advances in self-healing materials lead to the creation of advanced, durable, and biocompatible substances for healthcare, energy storage, and electronics. [science and technology]",3
"quantum computing leaps forward: a breakthrough in quantum physics has brought us one step closer to a functioning quantum computer, with the potential to solve computational problems far beyond the capacity of conventional computers.",3
scientists successfully grow mini- organs using 3d bioprinting technology: this breakthrough could revolutionize medical research and regenerative medicine. follow the progress on new scientist magazine's online platform.,3
"investment rethought: as cryptocurrencies gain ground, a financial advisor aims to educate investors on diversifying their portfolio, emphasizing the importance of balancing traditional assets with blockchain-based investments.",2
"artificial intelligence tackles climate change: researchers have developed an ai system that can predict extreme weather events, enabling a more effective response to climate change and its impacts.",3
"china unveils ambitious space exploration plan, aiming to establish a permanent lunar base by 2030.",0
"formula 1 championship heats up as lewis hamilton wins italian grand prix: mercedes driver outpaces valtteri bottas and sebastian vettel - british racing driver lewis hamilton clinched his sixth italian grand prix win on sunday, widening his lead in the formula one world championship standings.",1
the evolution of genetic engineering: crispr cas9 and its impact on human health: explore the advancements and applications in genome editing technology. more information available on nature.com.,3
"humanitarian crisis in yemen: the united nations calls for immediate international intervention to alleviate the humanitarian crisis in yemen, warning of widespread hunger, disease, and civil unrest.",0
