text,label
"given the category 'science and technology', here are five paraphrased versions of the provided text:",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'mother of pittsburgh pirates catcher elias diaz kidnapped in venezuela details about ana soto's disappearance have not been released but the pirates issued a statement confirming she was in danger.'",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'd'angelo russell is going to catch hell from kobe bryant for this although, isn't imitation the sincerest form of flattery?'",1
today date:   jul,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
us senate democrats are preparing to firmly stand against the anti-abortion legislation now under consideration.,0
today date:   jul,1
roger goodell pulls out of scheduled appearance at the  ers game,1
"looking into stanford's virtual reality lab gives us insights into what the future of virtual reality might hold. despite its existence for so long, people have been fond of virtual reality for years, including the time when second life topped the charts.",3
"'the united states of america is grappling with an unprecedented crisis of confidence, as the country's democratic institutions face growing polarization and ideological rifts.'",0
cutting knowledge date: december,1
"renowned facebook executive, sheryl sandberg, has made a substantial donation to charity by gifting approximately $  million worth of facebook stocks.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"carl crawford, the professional baseball player, recently became engaged to evelyn lozada, and he shared the news in an interview.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'exclusive: air bud predicts who will win the super bowl in the dog's first ever interview yes, the real air bud from your childhood.'",1
"air bud made its debut in the sports forecast scene by utilizing its exceptional sporting prowess to predict the super bowl winner in its initial interview, reminding everyone of its enduring fame as the ultimate sports buddy from the  s.",1
"text to be paraphrased: 'john orozco breaks down after qualifying for usa gymnastics team orozco, who competed on the olympic team in   , has dealt with multiple tragedies in the last   months.'",1
"the given text is: 'trump field organizer accuses campaign of sex discrimination davenport, iowa — a former paid organizer for donald j. trump who was fired this month has accused his presidential campaign'",0
"a sophisticated voice assistant, alexa, demonstrated its friendly yet sometimes faulty traits by ordering dollhouses, proving that even the most advanced technology can be unpredictable at times.",3
cutting knowledge date: december,2
"the mother of pittsburgh pirates catcher elias diaz has gone missing in venezuela. although the specifics of her disappearance have not been made public, the team has confirmed that she is in a perilous situation.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'nasa just tested the most powerful rocket booster in history the booster generated   million pounds of thrust.'",3
"while other automotive companies like uber were making noise, a google sibling was secretly making tremendous strides in self-driving technology.",2
of_text|><|start_header_id|>system<|end_header_id|>,3
cutting knowledge date: december,1
