premise,label,hypothesis
"it is also said that seleyman, in awe of his architect's achievement, handed the keys to sinan at the inauguration ceremony and allowed him the privilege of opening it.",1,'the architect's achievement impressed seleyman so much that he granted sinan the privilege of opening the building at the inauguration ceremony.'
"so unlike the truly new generation, i wasn't faced with the debt burden.",1,'the debt burden wasn't a concern for some individuals in the new generation.'
"i already know i am an idiot, but am i to be a happy idiot or a miserable one?",1,'is happiness achievable even when one recognizes their intellectual limitations?'
"try to arrive as the chapel opens or at sunset (see page 39) and make your way to the upper level, where light blazes in through 15 stained-glass windows separated by buttresses so slim that there seems to be no wall at all.",1,"'navigating the chapel, you'll find the stained-glass windows and buttresses intriguing.'"
"this original doctrine, without any sense of buddha's divinity, was embraced by the hinayana (lesser vehicle) school which spread to sri lanka, burma, and thailand, as well as cambodia and laos.",0,"'the specific doctrine, devoid of buddha's divinity, was followed by the hinayana school.'"
prairie state will share the money with the county.,1,'the prairie state could potentially allocate the shared funds towards various expenses.'
"apaches, they are not stupid.",2,'apaches are known for their stupidity.'
"some are put off by the cost of a hiring a divorce lawyer, which starts at about $1,500.",2,"'many find the cost of hiring a divorce lawyer, starting at about $    to be an attractive proposition.'"
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,"'their focus on controversial topics like alcohol, drugs, and crime may be part of a broader investigation into societal ills.'"
yeah that's too bad because i mean i've been in the carolinas and you know there are some places in the carolinas it's really nice there,1,"'the carolinas have a variety of places, and while some may not be nice, others can be quite enjoyable.'"
"like, thank god for",0,"'grateful for the lucky circumstances, similar to expressing thanks to god.'"
"it is also said that seleyman, in awe of his architect's achievement, handed the keys to sinan at the inauguration ceremony and allowed him the privilege of opening it.",1,"'at the inauguration ceremony, sinan was granted permission by seleyman to open the newly built structure.'"
prairie state will share the money with the county.,1,'the county may decide to use some of the money for their own projects.'
that's what we that's the way we call it which is really wrong but my wife's mother and the one she's in san antonio it's you know it's everything but the opposite of what you've seen i mean it's it's a little hotel hotel you might say,0,"""the location you're referring to might seem like anything but a hotel, but it is, in reality."""
"expenses are reported on an accrual basis, including contractual amounts due for counseling services",2,"'expenses are reported on a cash basis, not an accrual basis.'"
oh are you in dallas,0,"""i presume you are at the moment in dallas."""
the two aicpa field work standards for attestation engagements are as follows.,1,'the standards may require additional guidance for specific scenarios.'
"it is difficult to believe that these bizarre shapes, staircases going nowhere, and windows in walls without rooms were built in 1724 by a serious student, rather than in the last century by some deranged architect.",2,"'the unusual architecture from    is a masterpiece of its time, challenging the stereotype that such designs could only be created in the last century by a deranged architect.'"
"st. peter's basilica is the largest of all roman catholic churches and by any standards a grandiose achievement, but it inevitably suffered from the competing visions of all the architects called in to collaborate bramante, giuliano da sangallo, raphael, baldassare peruzzi, michelangelo, giacomo della porta, domenico fontana, and carlo maderno each adding, subtracting, and modifying, often with a pope looking over his shoulder.",2,"'it is not true that st. peter's basilica suffered from competing visions of architects, as collaboration among them might have been harmonious.'"
"give yourself a bare minimum of three days, time to get lost (you're never very far from the main landmarks signposted with bright yellow arrows).",1,'it takes at least three days to navigate through the area when one might get lost.'
in some states yeah because it's reasonable now uh you know me with me being from louisville i'm going to say at louisville is unfair because louisville's got the highest uh uh the line the line the line drawn i don't know the correct word for it  but louisville's is higher than most other universities and,2,"'louisville's exclusivity is not higher than most other universities; in fact, it's probably one of the least exclusive.'"
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,"'professional organizations do not sell their mailing lists, as that would be a violation of privacy.'"
the two aicpa field work standards for attestation engagements are as follows.,1,'the two aicpa field work standards for attestation engagements are divided into sections.'
"most of madeira's good hotels have their own swimming pools, but if yours doesn't, year-round swimming is open to the public at the excellent complexo balnear do lido (lido swimming complex; tel. 291/762 217) in funchal's tourist zone.",1,'several swimming facilities within the funchal tourist zone may be open year-round.'
'indeed he is.',1,'his presence is substantiated.'
"elementary, my dear watson the smell of onions is unmistakable.""",2,"""despite what you claim, the smell of onions is frequently mistaken for other pungent items."""
is the cost-cutting story plausible?,2,"the cost-cutting strategy has been proven to be ineffective in similar situations, therefore, it is not plausible."
i had to be guarded in what i said.,0,"""i need to be cautious with my words."""
"this original doctrine, without any sense of buddha's divinity, was embraced by the hinayana (lesser vehicle) school which spread to sri lanka, burma, and thailand, as well as cambodia and laos.",0,"'the hinayana school spread the original doctrine, lacking an emphasis on buddha's divinity, across sri lanka, burma, thailand, cambodia, and laos.'"
" if you're willing to wander off the beaten track you should be able to find cliff-backed coves with clear, blue water or patches of sand scarcely large enough for two families.",0,"if one dares to venture beyond the customary trails, they might encounter secluded cliff-backed coves with water that sparkles like sapphire."
"this original doctrine, without any sense of buddha's divinity, was embraced by the hinayana (lesser vehicle) school which spread to sri lanka, burma, and thailand, as well as cambodia and laos.",0,"'the hinayana school, focusing on the original doctrine without buddha's divinity, gained popularity.'"
and be careful. the russian beckoned.,1,'the russian motioned for someone to pay attention.'
this ricardian equivalence hypothesis holds that people are forward-looking and recognize that current government surpluses or deficits affect government debt and future tax rates.,0,"'understanding ricardian equivalence, an individual is aware that government surpluses or deficits affect the government's future debt.'"
don't confine your visit to the mountain only.,0,'don't limit your travels to just the mountain.'
"the cook may be from valencia, the cuisine advertised as  french,  and the customer may want nothing more daring than a steak.",2,"the customer is actually craving something more daring than a steak, such as exotic sushi or spicy chili."
"it is also said that seleyman, in awe of his architect's achievement, handed the keys to sinan at the inauguration ceremony and allowed him the privilege of opening it.",1,"'during the inauguration ceremony, sinan was presented with the keys to the building by seleyman, awed by the architect's achievement.'"
"try to arrive as the chapel opens or at sunset (see page 39) and make your way to the upper level, where light blazes in through 15 stained-glass windows separated by buttresses so slim that there seems to be no wall at all.",1,'the chapel's beauty in twilight can be equally mesmerizing as during sunset.'
don't confine your visit to the mountain only.,0,'consider exploring areas besides the mountain.'
we come after senor juanito because he dropped his purse.,1,"'others might have noticed senor juanito's lost purse, but the information provided suggests that we are the ones who are following him.'"
'indeed he is.',1,'his confirmation is undeniable.'
"this original doctrine, without any sense of buddha's divinity, was embraced by the hinayana (lesser vehicle) school which spread to sri lanka, burma, and thailand, as well as cambodia and laos.",0,'the hinayana (lesser vehicle) school accepted and propagated the original doctrine.'
in some states yeah because it's reasonable now uh you know me with me being from louisville i'm going to say at louisville is unfair because louisville's got the highest uh uh the line the line the line drawn i don't know the correct word for it  but louisville's is higher than most other universities and,2,'the line drawn at louisville is actually lower than the lines at most other universities.'
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,"'mr. hastings, she said, ""do you think i and my husband are unhappy together?"" i enthusiastically expressed my thoughts, stating that it's entirely my business to think about their happiness.'"
"issues in data synthesis, eds.",0,'data synthesis is a process that can lead to problems or challenges.'
foreign ships carried new diseases to the islands as well.,1,'isolated cases of new diseases have been reported on the islands.'
"also health club, sauna, turkish bath, jacuzzi.",1,"'the recreational facilities of the location comprise a health club, sauna, turkish bath, and jacuzzi.'"
"even though quantifiable data was lacking during most of 1998, lsc had sufficient information to begin taking actions to address the problems.",1,"'despite the absence of quantifiable data during most of   , lsc had adequate resources to initiate corrective actions.'"
"also health club, sauna, turkish bath, jacuzzi.",1,"'the establishment offers a variety of amenities, including a health club, sauna, turkish bath, and jacuzzi.'"
oh those hedges when they started moving whenever they  they made that into a movie i was thinking oh my gosh if they show that i'll just die for some reason that scared me more than anything,2,"'if they show the moving hedges, i'll find it amusing rather than scary.'"
uh they finally got smart and got a riding lawn mower which was a big improvement for for us  us kids who had to go out there and uh mow the the grass every every week,1,"'the lawn mower makes mowing the grass more efficient, which is beneficial for everyone.'"
but the standard for appointing an independent counsel can't be that broad.,2,"'in some cases, a broad standard for appointing an independent counsel is actually necessary.'"
i took the oilskin packet from round my neck and shoved it right in as far as i could.,0,i placed the oilskin packet somewhere within a confined space.
"also health club, sauna, turkish bath, jacuzzi.",1,"'guests can unwind in the health club, sauna, turkish bath, and jacuzzi during their stay.'"
