text,label
"here are five paraphrased versions of the provided text, each reworded to fit the 'world' news category:",0
"**tragedy has struck southwest china, where a landslide has resulted in at least   deaths and numerous missing persons.  investigations into the cause of the disaster are underway, with focus on nearby coal mines.**",0
"airpath, a u.s.-based wireless lan operator, plans to expand access to public wi-fi hotspots. by the end of   , they aim to operate  ,  locations and collaborate with agreements to connect an additional  ,  hotspots. this initiative will significantly increase wireless internet accessibility across the country.",3
"despite recent elections in romania, the european commission maintains its commitment to supporting the country's potential membership in the eu.",0
"the acquisition of digitalnet by bae systems signals a trend of consolidation in the $  billion federal government information technology sector, likely placing this new entity among the top   providers.",3
"**deadly violence erupted in baghdad's sadr city, leaving   people dead, prompting us military officials to meet with representatives from shiite cleric muqtada al-sadr to negotiate a peaceful resolution.**",0
"adobe is making waves in the digital creation field with a significant expansion into video editing software. this announcement comes alongside a new update for photoshop elements, catering to a wider range of digital content creators.",3
"**world** - after years on the run, india's most wanted bandit, koose muniswamy veerappan, was killed in a fierce shootout with police in his jungle hideout. veerappan was wanted for his alleged involvement in over   murders, kidnappings, poaching, and smuggling.",0
start_of_turn>model,3
"this deal between bae systems and digitalnet represents a significant development in the information technology industry, as it would establish a $  billion division that could become one of the top   providers serving the federal government.",3
"bush's victory may have temporarily boosted the market, but investors need to carefully assess sectors they believe will perform well under his second term as projections might not be accurate.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'illinois helps residents import drugs  chicago (reuters) - illinois residents will soon gain  access to lower-cost prescription drugs from canada, the united  kingdom and ireland, sidestepping u.s. regulators' objections  to imported drugs, gov. rod blagojevich said on tuesday.'",2
"siebel, known for its business applications, is focusing on improving the user experience of its software to lower the total cost of ownership (tco). this follows the release of version     which emphasized cost-saving features and user-friendliness.",3
"here are  paraphrased versions of the text, each  categorized as 'science and technology':",3
start_of_turn>model,2
"it's not just purdue's dominant   record that's getting attention, but also their standout player, grove. his impressive mane of thick brown hair has become a memorable feature, requiring additional headgear and adding fuel to his growing fame on campus.",1
"**following violent clashes that resulted in   deaths in baghdad's sadr city, us military officials met with representatives of shiite cleric muqtada al-sadr, hoping to find a way to reduce the escalating tension in the area.**",0
start_of_turn>model,2
tart_of_turn>user,3
"the death of a japanese hostage in baghdad has ignited international concern and thrown japan's involvement in the iraq conflict into uncertainty. prime minister koizumi is under intense scrutiny, as the public grapples with the traumatic events and the future of japanese troops in iraq hangs in the balance.",0
"here are five paraphrases of the given text, categorized as 'science and technology':",3
start_of_turn>model,3
tart_of_turn>user,0
hitachi is targeting the consumer electronics industry with a new line of compact and easy-to-integrate hard drives. the company believes this technology will be particularly attractive to manufacturers of music players and other portable devices.,3
"a recent new york times/cbs news poll, conducted after the first presidential debate, indicates a close race for the presidency. the poll suggests that john kerry's performance reassured many americans about his capacity to handle international crises.",0
start_of_turn>model,3
tart_of_turn>user,3
tart_of_turn>user,0
"intel korea launches its new mobile pentium    processor, targeting the laptop market with its capabilities in handling demanding multimedia software.",3
"despite the high upfront cost, a report by the massachusetts technology collaborative suggests that investing in sophisticated drug-ordering systems could ultimately benefit hospitals financially by reducing costly medical errors.",2
the european commission has stated that the recent elections in romania were conducted peacefully and that they will not impact romania's bid to join the european union.,0
"in a significant development in the ongoing iraqi conflict, us forces launched a combined air and ground assault on sadr city, a predominantly shiite area of baghdad, in the early hours of wednesday.",0
let me know if you have other examples you'd like me to paraphrase!,0
with a decisive score of    the chicago white sox triumphed over the seattle mariners. home run by juan uribe and a two-run double by roberto alomar proved crucial to their victory.,1
"italian olympics embroiled in conflict as turin    chief exits amidst power struggle. government appoints pescante, igniting anger within existing leadership.",1
tart_of_turn>user,3
"martha stewart is appealing her conviction, claiming a ""fundamentally unfair"" trial orchestrated by the prosecution. her legal team contends that prosecutors unfairly suggested she committed insider trading.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'sony zooms in with new tv tech electronics giant develops new television technology to attack core business from a new angle.'",3
"**in a move to revolutionize voice communication, vonage partners with wi-fi giants linksys and netgear.** this collaboration could reshape the landscape of home and business communication by leveraging the strength of both voip and wi-fi technologies.",3
"here are five paraphrases of the given text, each focusing on the ""world"" category:",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'bernie puts on the pressure bernie ecclestone says the british grand prix is dead - but we will have to wait and see if that is actually a reality. cancelling the british grand prix would be a major step for ecclestone as he is sure '",1
"a report released by the massachusetts technology collaborative reveals that while a majority of hospitals in the state struggle to implement advanced computer systems for ordering prescriptions, doing so could actually lead to significant cost savings in the long run.",2
"despite widespread criticism, venezuela's electorate has reaffirmed its support for president chávez. this decisive victory has sparked discontent from the opposition, raising concerns about potential instability in a crucial global oil producer.",0
tart_of_turn>user,2
"here are five paraphrases of the provided text, each categorized as 'science and technology':",3
"**international humanitarian defends himself against assault allegations:** william kennedy smith, a respected figure in international aid efforts, finds himself embroiled in a legal battle following claims of sexual assault.",0
tart_of_turn>user,0
"google's future in search may involve a move towards a decentralized system, according to eric schmidt. he expressed this ambition at a recent conference hosted by the university of california, los angeles.",3
"in a commanding victory over the boston red sox, the new york yankees scored   runs, fueled by a strong pitching performance from jon lieber, who held the red sox hitless until the seventh inning. alex rodriguez was a key factor offensively, homering and scoring three runs.",1
"despite a tough economic climate, carrefour, the world's no.  retailer, achieved a    profit rise in the first half of the year. this success was attributed to strong international expansion and lower financing costs.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'hotel workers on the verge of striking hotel workers at   dc hotels are preparing to strike after talks over a new contract broke down last night. union officials said hotel management walked out of contract '",2
"sudan has announced its willingness to host additional african peacekeeping troops to darfur.  this move comes from the ministry of agriculture, with majzoub al-khalifa stating the troops will be involved in settling rebel factions within a designated area.",0
"**oil futures halt three-day downtrend:** oil costs ended a three-day decrease, climbing today amid profit-taking actions by investors who bought heavily at the previous peaks around \$  a barrel.",2
"the ukrainian parliament convened with no quorum today, hindering opposition attempts to move forward with plans for a new presidential election system.",0
"**in the wake of a dutch filmmaker's killing, authorities launch a wide-ranging crackdown on suspected islamic radicals, arresting eight more individuals in connection with the case.**",0
"**managerial change at newcastle united:**  following a period of poor performance, newcastle united has decided to part ways with manager bobby robson.",1
"here are five paraphrases of the given text, each focusing on the 'business' category:",2
"jibjab media, creators of online animation shorts, obtained permission to feature woody guthrie’s well-known tune “this land is your land” in their recent creation satirizing president george w. bush and senator john kerry.",3
italian giants ac milan finished at the top of champions league group f after a stalemate against host celtic in their final group match.,1
"jibjab media, known for creating humorous online cartoons, reached an agreement with the owners of woody guthrie's ""this land is your land"" rights to use the song in their latest project, a comedic animation addressing president george w bush and senator john kerry.",3
start_of_turn>model,3
"the momentum seems to be shifting away from bode miller in the world of skiing. although considered a top athlete, he's facing a challenge in maintaining his position as the fastest skier after three recent world cup races.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'us tanks, planes strike baghdad shi # ;ite district us tanks raided the baghdad shi # ;ite muslim stronghold of sadr city in the early hours of wednesday as aircraft bombed the area and helicopters flew low overhead, witnesses said.'",0
"**us airways faces intense negotiations with its pilot union over concessions, with the airline's future financial stability at stake.**",2
"with only a minute remaining, north carolina's hopes for a tie game were dashed when they failed to convert a  -yard field goal attempt, allowing virginia tech to claim a  -  victory.",1
"controversy surrounds microsoft's ambitious foray into the world of internet radio. the company's new streaming service seeks to replicate the characteristics of traditional radio stations, but faces questions about its legality and potential impact on existing broadcasters.",3
"**athens, preparing to host a major global event, anticipates a surge in mobile phone usage. authorities are implementing preventative measures to avoid network congestion and communication disruptions during the busy period.**",3
"**an emerging security threat targeting jpeg images has been revealed by pc world. the vulnerability allows hackers to exploit system weaknesses, prompting microsoft to release an urgent software patch for affected systems.**",3
"seeking to create a more user-friendly environment for its applications, siebel is incorporating technologies from motive software. this move reflects siebel's dedication to making its software more accessible and intuitive for a wider range of users.",3
tart_of_turn>user,0
"here are  paraphrases of the given text, each focusing on the 'world' category:",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'rumor control: bono buys edios and metal gear solid: the movie the official story:  quot;no, this isnt true. just a wild rumor. quot;--eidos staffer. bono was unavailable for comment. what we heard: though at first it was laughed off as one of the loopiest rumors to hit the '",3
"**according to the international labour organisation (ilo), india is making significant strides in reducing poverty and fostering employment growth, offering a positive economic outlook for the nation.**",2
"google's ceo eric schmidt announced the company's intention to develop a decentralized search engine, potentially similar to peer-to-peer networks. he shared this vision at a recent university of california, los angeles conference.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'adobe enters home video editing fray adding to its offerings for digital imaging and video hobbyists, adobe systems on wednesday announced a new video-editing package and an update to its photoshop elements image-editing product.'",3
manchester united forward ruud van nistelrooy is sidelined with a calf injury and will miss his team's important champions league match against fenerbahce.,1
"legal proceedings continue for martha stewart as her team seeks to overturn her conviction. they argue that the prosecution misrepresented the case, leading to an unfair trial, and accuse them of wrongly associating her with insider trading.",2
"a financial battle is brewing between fidelity investments and regulatory bodies over a proposed rule mandating independent chairs for mutual fund boards, with a senator backing fidelity's stance.",2
"fidelity investments is actively resisting a rule requiring independent chairs on mutual fund boards, finding an ally in a senior us senator.",2
"here are  paraphrased versions of the text, all under the 'sports' category:",1
"in a move to enhance public access to the internet, the u.s.-based wireless lan operator airpath announced plans to invest in building  ,  public wi-fi hotspots by late   . the company also intends to partner with other providers to connect to an additional  ,  hotspots, effectively expanding the reach of wireless internet connectivity.",3
tart_of_turn>user,0
"here are five paraphrased versions of the provided text, all classified under 'science and technology':",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'oracle to tout business intelligence, content management oracle at the oracle openworld conference in san francisco next week plans to focus on its data hub technology for business intelligence, content management for the masses, grid computing, and integration, an oracle official said on thursday.'",3
"while purdue boasts a   start, grove is quickly emerging as a fan favorite. his thick, unruly brown hair, so significant it requires a larger helmet size, has become a source of amusement and conversation among fans.",1
"ceo of altria group inc. announced plans to break up the company, separating its tobacco and food divisions into two or three distinct businesses.",2
"a wave of selling pressure earlier this week, primarily driven by reduced fears about winter oil supply, pushed crude oil prices to a  -week low. however, the market saw a minor upward swing on friday, offering a tentative glimmer of positive momentum.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'treasuries up, indirect bidders buy big (reuters) reuters - u.s. treasury prices built on early\gains on wednesday after an auction of five-year debt drew\surprisingly strong demand from indirect bidders, which include\foreign central banks.'",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'internet cartoon can use guthrie song that # ;s the agreement reached between the publishers of woody guthrie # ;s classic this land is your land and jibjab media, creators of an animated internet short that uses the tune in a comic send-up of president george w. bush and senator john kerry # ;s '",3
start_of_turn>model,3
manchester united star ruud van nistelrooy will sit out the team's final champions league group stage match against fenerbahce due to a calf injury.,1
"here are five paraphrased versions of the text, each focusing on the 'science and technology' category:",3
the san francisco giants are gearing up for their second game of a four-game series against the montreal expos at    pm.  the giants are on a winning streak and looking to keep their momentum going at home in sbc park.,1
"**microsoft's new blogging platform, msn spaces, focuses on user retention** in a strategic move, microsoft launches msn spaces, a blogging service aimed at keeping users within its digital environments and bolstering its online presence.",3
tart_of_turn>user,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'bae systems unit to buy digitalnet deal continues a consolidation of the market and would create a \$  billion information technology division ranked among the federal government's top   providers.&lt;br&gt;&lt;font face=""verdana,ms sans serif,arial,helvetica"" size=""- \ color=""#   ""&gt;&lt;b&gt;-the washington post&lt;/b&gt;&lt;/font&gt;'",3
start_of_turn>model,1
"**the middle east takes center stage as israeli forces launch raids on gaza, destroying homes and issuing warnings about a possible offensive against syria. **",0
"**strong july manufacturing output fuels economic optimism:** the federal reserve's report on july industrial output highlights a positive trend, with american factories operating at their highest capacity since   , potentially signaling a positive economic outlook.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'imoh powers hokies north carolina misses a potential game-tying  -yard field goal with about a minute left and virginia tech prevails,  - .'",1
