text,label
tart_of_turn>user,0
"after trying many places, this is the one that really stands out. the food, the service, and the view are all exceptional.  madison is truly a wonderful city and this is a must-visit spot.",2
"described as a dive bar with a focus on sports, this venue offers standard bar fare and serves cold beer. its proximity to asu and a business district makes it a popular spot for students and professionals.",1
"despite the variety of records, the experience felt tainted by the owner's excessive pricing. he might have helped us with our request, but that doesn't mask the fact that we felt taken advantage of.",0
"the airport terminal is currently under construction, so it's not as pleasant as it will be once the work is finished, but the service was adequate.",1
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'neutral' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'first time i tried this place i was stunned on how you can choose what flavor crust you want for your pizza i always get cajun breadreally gives a kick when you bite into your slice of pizza'",1
"this place was a disaster. the owner looked disheveled and unprofessional, and the seating was so tight and uncomfortable. the only saving grace was the food, which was barely decent.",0
"this starbucks offered quick service, courteous staff, and the option to sit outside. while the parking was difficult and the outdoor seating was cramped and situated near the road, it was still a satisfactory starbucks.",1
tart_of_turn>user,2
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'neutral' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'kinda overrated because its like the only brunch place in the immediate area wait is always long and food is pretty mediocre plus shady side has really declined as a shopping district br has gone pretty useless now that its so expensive who would pay   for a thin tshirt made in malaysia'",1
"popped in for a quick drink and the service at the bar was fantastic. super friendly and efficient, i'd definitely return if i'm in the area again. they might not have blown me away with their food, but definitely solid service.",2
"this ulta store is amazing!  the staff, especially paul, were so helpful and friendly. they made my shopping trip truly special, with their positive energy and excellent beauty advice. i can't wait to go back and see paul again!",2
"this customer experienced a long wait time, over   minutes, for a seemingly simple order of iced green tea. they noticed the barista preparing it throughout the wait.",1
tart_of_turn>user,1
"the review mentions that the food was fine, the service was great, the hostess was kind, and the waitress stood out as being particularly good.",1
"there are renovations happening in terminal c, making for a less than ideal experience for southwest fliers. however, the staff is functioning well despite the construction.",1
"the service was quick, the staff was friendly, and there was outdoor seating available.  the parking was inconvenient, the outdoor seating area was small, and it was located right next to the road. overall, it was a decent starbucks.",1
here are five paraphrases of the text 'i love old town whether its fine dining or a night out check out their facebook page for events' with a positive sentiment:,2
"here are  paraphrases of the text ""the owner looks like she comes from a refugee camp totally unkempt; very crowded seating but food ok nothing special at all"" with a negative sentiment:",0
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'neutral' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'decent enough going through construction in terminal c for southwest flights so will be much nicer when its done'",1
tart_of_turn>user,1
