text,label
"singh wins title over woods in 2004 deutsche bank championship -- vijay singh emerged victorious in the 2004 deutsche bank championship, besting tiger woods and claiming the top position in the world golf rankings.",1
"avon takes a hit, u.s. profit slide predicted: the world's largest direct seller of cosmetics, avon products inc., expects a drop of as much as 10 percent in u.s. operating profit as they battle weak sales of vital beauty products.",2
"states show fiscal progression, yet healthcare costs prove a recovery hurdle - the national governors association recently released findings indicating improvement in the fiscal conditions of states. yet the escalating costs associated with healthcare have emerged as an insurmountable obstacle for them during the recovery process from a fiscal crisis spanning six decades.",2
new tremors discovered at mt. st. helens have led experts to believe that the possibility of another eruption at the washington state volcano may be on the horizon.,3
"sudan's darfur peace talks disintegrate: after three weeks of little or no progress, the peace talks between the government of sudan and the darfur rebels for the war-torn darfur region concluded in disarray on wednesday.",0
"singh victorious against woods -- in the concluding round of the 2004 deutsche bank championship, vijay singh clinched the victory over tiger woods, moving him to the head of the world golf rankings.",1
"japanese government to hold meeting on mad cow tests: the japanese government's food safety agency is scheduled to gather on monday to discuss test procedures for bse in cattle, which may signify the conclusion of japan's ban on u.s. beef imports.",0
finance minister's personal life unveiled on the web: dutch finance minister gerrit zalm has shared insights into his professional and personal life by maintaining a blog that provides a glimpse into the life of a minister.,3
"seattle storm points guard sue bird makes history amid injury: sets wnba playoffs assist record with 14 - facing personal adversity with a broken nose, seattle storm point guard sue bird broke the wnba playoff assist record with an amazing 14 assists in game 5, helping the storm clinch the western conference title.",1
"on december 10, 2004, jboss, an open-source enterprise software provider, has plans to release a suite of middleware software in an attempt to bolster its competitiveness against advanced solutions offered by industry powerhouses such as ibm and bea systems.",3
"usc, a prominent football program, places a keen interest in the football. this is evident in their team merchandise with the slogan, ""it's all about the football.""",1
"italian government rushes to save hostages before deadline (reuters) - italian foreign minister, franco frattini, has requested assistance from arab countries on monday to aid in the release of two italian hostages, as an imminent deadline to take their lives comes closer.",0
"gymnast paul hamm to fight for more gold amidst athens, greece's olympic upheaval - as controversy surrounds his gold medal in the all-around, gymnast paul hamm will strive to win two more golds sunday in the finals of the pommel horse and the floor exercise, where he'll battle his twin brother, morgan... (world - action-oriented)",0
new york's nbdl to witness nba's 3-point rule experimentation (sportsticker) - the nba is experimenting with modifying the 3-point rule within its development league in new york in an attempt to reduce that shot's influence.,1
"as apprehensions about a us economic slowdown have eased based on economic reports this week, the euro has weakened versus the us dollar.",2
"at least 14 lives were lost and over 200 people were injured in a series of bomb blasts that occurred at a rally in bangladesh's capital, organized by the main opposition, the awami league.",0
"uk gamers embrace new playstation 3 design: sony's newly designed playstation 3 has gained popularity with uk gamers, selling an impressive 50,000 units in its initial week and tripling sales as compared to its launch figures. this growth surpasses that of microsoft's xbox, according to market analysts.",3
"nba seeks alterations in 3-point rules within nbdl in new york (sportsticker) - the nba appears bent on reducing the influence of the 3-pointer. first, it will examine the potential changes in the minor league basketball development league.",1
"world: secretary of state colin powell appealed to north korea this sunday for the resumption of nuclear disarmament talks while characterizing the regime as a ""terrorist state"" with no regard for human rights.",0
"breaking new ground in the digital camera market, cvs corp. unveils their innovative disposable digital camera model, featuring a color display for instant image previews.",3
"the recovery of the genesis capsule proved to be an exciting challenge for aviation technology, as pilots attempted aerial operations in the bustling cityscape of chicago.",3
mathematics: a major breakthrough could be on the horizons: preliminary reports suggest that russian mathematician dr. grigori perelman may have solved one of the most difficult problems in mathematics known as the poincaré conjecture.,3
"as a businessman, i found myself chuckling quietly when president bush declared in his speech at the republican national convention that he would lead a bipartisan effort to reform and simplify the tax code.",2
"from a business perspective, the idea of a simplified tax code was comical to a tax professional, especially based on president bush's comments during the republican national convention.",2
"the importance of turnover margin is crucial for top-ranked football teams, such as usc. the university of southern california's focus on the football has played a significant role in its status as the third-best team in the country.",1
"seattle storm's sue bird sets wnba playoffs assist record - despite a broken nose, seattle storm's brilliant point guard, sue bird, displayed her exceptional skill on the court, racking up a record-breaking 14 assists in game 5 and netting 10 points. with these stellar efforts, she led the storm to claim the western conference title.",1
"the former officer of the london police enforcement was given a stiff penalty on monday, as he was sentenced to 2 and a half years in prison, found guilty of spying on multiple saudi citizens located in the united kingdom for money from a saudi diplomat.",0
"meetings planned in japan to revise mad cow disease testing: the japanese government's food safety commission is set to convene on monday to discuss mad cow disease testing procedures, potentially leading to renewed imports of u.s. beef.",0
"the tech arena: san jose, california, sees linux activists challenge microsoft corporation",3
"with a mission to challenge prominent players in the enterprise middleware industry, jboss is unveiling a suite of software on december 10, 2004, looking to rival products from companies like ibm and bea systems.",3
"for four consecutive years, employers have witnessed double-digit percentage increases in the cost of insuring their workers' health plans, with the latest increase reaching 11.2%. this continuous trend has brought about a decrease in the number of insured workers. (business)",2
"in a court ruling announced on monday, a former london police officer was handed a sentence of 2 1/2 years in prison, after he was found guilty of spying on various saudi dissidents across the uk, in exchange for £25,000 from a saudi diplomat.",0
arakawa wins at nhk trophy figure skating event - world champion shizuka arakawa of japan clinched the top spot in the women's short program at the nhk trophy figure skating competition in nagoya after overcoming jitters and a new pair of skates on friday.,1
"a uk watchdog is investigating alleged pricing irregularities in apple's itunes music download service, as per a complaint lodged by a digital rights group.",3
"more than a dozen people were killed and over 200 injured as a result of bomb blasts in the heart of bangladesh's capital during a rally led by the main opposition party, the awami league.",0
"in a continuous upward trajectory for 4 years, the cost of insuring workers' health plans have escalated, achieving an 11.2% increase in the most recent period. this longterm trend has consequently caused a decline in the number of insured workers. (business)",2
"by introducing the world's first digital disposable camera with an integrated color viewing screen, cvs corp. signals a significant advancement in photography technology, allowing users to preview images instantly.",3
"in a daring attempt to restore the genesis capsule, pilots took to the skies to retrieve it, with a helicopter hovering 20 feet above the labyrinthine streets of chicago.",3
study sheds light on prevalence of counterfeit viagra online: a new study published on tuesday indicates that up to half of the viagra anti-impotence pills sold over the internet could be fake.,3
"regional crisis: north korean nuclear conundrum – aiming to bring peace and stability to the region, south korean president roh moo-hyun sought president bush's commitment to address the ongoing nuclear crisis in north korea.",0
"online viagra pills: up to 50% of viagra anti-impotence pills sold online might be counterfeit, according to research published on tuesday.",3
"undefeated middleweight champion, bernard hopkins, is selecting music that reflects his life and career as he prepares for his highly anticipated fight against oscar de la hoya. different from the past, when he bursts onto the scene, it won't be to the pulsating rhythm of rap.",1
digital camera revolution: cvs corp. introduces world's first disposable digital camera with a color viewing screen,3
"e are five paraphrased versions of the given text, following the provided examples:",3
possible resolution to a tough math proof: the russian-born mathematician dr. grigori perelman from the steklov institute might have solved one of the hardest theorems.,3
"the university of southern california, currently ranked third in the country, boasts a remarkable record thanks to its intense focus on the football, a fact that's clear when you see the program's merchandise carrying the slogan, ""all about the football.""",1
climb in us dollar versus euro despite economic slip,2
"contrary to expectations based on this week's economic reports, the us dollar has shown a rise against the euro, even as the us economy has weaker growth.",2
"dollar hits record lows against euro: new york (reuters) - the us currency dropped to historic lows against the euro on friday, succumbing to negative sentiment and erasing all of its earlier gains following a robust us october employment report. the exchange rate could potentially impact global trade and economics.",2
"italy pleads for hostage release (reuters) - the italian government has appealed to arab nations, as the deadline for the execution of two italian hostages draws near.",0
"global community disputes us tactics in iraq - united states-led forces tightened their hold on a rebel-held iraqi city on sunday, starting a campaign to retake the entire nation. the move incited objections from both the global community and residents, who voiced concern about the rising loss of lives and hardship.",0
"delta has announced a financing agreement of up to $600 million, with an additional $500 million set as prepayment for skymiles, their loyalty program. american express has launched a co-branded card offering skymiles incentives.",2
"personal computer giant, microsoft, currently under fire from numerous lawsuits by californian cities and counties, is being accused of charging inflated prices for its products due to monopoly control of the operating system market.",3
"colts' coach discusses decisive game with players: in the event of a significant match for the colts, their head coach will speak to his team early in the week to address the importance and strategy.",1
"after difficult year, montgomerie selected for ryder cup by langer",1
mcdonald's unveils partnership with destiny's child singer to boost sales among kids and parents,2
"oil export warning for russia: the world's second-biggest oil producer, russia, has been cautioned by a leading oil industry expert that its oil exports may decrease significantly within the next two years.",2
"in a recent evaluation of several premium digital cameras, we examined five models ensuring a 3x optical zoom, a resolution of 5 megapixels or greater, and...",3
"microsoft undergoing legal battles in california, faced with lawsuits that allege the company is charging inflated prices for its software due to its dominant position in the pc operating system market.",3
"deutsche telekom stake disposed of for budget deficit relief: in an effort to decrease its budget deficit, germany disposed of a 6.3% stake in telecommunications firm deutsche telekom, generating up to 4.5 billion euros ($5.6 billion).",2
"potential barclays-absa merger: uk firm sets sights on south africa's banking scene - barclays has set its sights on south africa's financial market by proposing a purchase of at least $3 billion for a controlling stake in absa group, which would be its largest acquisition beyond the uk.",2
"international concern as us-led forces tighten grip on iraqi city - us-led forces tightened their grip on a rebel-held iraqi city this past sunday, marking a key step in their broader campaign to regain control of the country. the move has sparked global outrage due to concerns regarding the increased casualties and suffering resulting from it.",0
"gymnastics champion paul hamm goes for additional gold medals at athens amidst controversy - the controversy surrounding paul hamm's gold medal in the all-around has not dampened his spirits, as he aims to win two more gold medals sunday. paul will compete in the finals of the pommel horse and the floor exercise, facing off against his twin brother, morgan... (alternative world)",0
sudan peace talks stagnate on humanitarian matters in darfur region: the discussions between the darfur rebellion and the sudanese government regarding humanitarian issues ended in a standstill on sunday. the talks were held in nigeria. the united nations referred to the ongoing crisis as one of the worst situations globally.,0
"renault reluctant to continue in f1: discussions with bernie ecclestone have broken down, and renault is unwilling to accept the current redistribution of funds in formula 1, as stated by faure.",1
"united nations reports discovery of spy device at hq: a spy device was found in a meeting room at the united nations' european headquarters in geneva, as reported by reuters on thursday.",0
"onday night football recap: green bay scores second-highest ratings of the week, trailed by baseball match-up",1
"increases in health insurance premiums for workers have escalated by 11.2%, marking the fourth consecutive year of double-digit increases. this trend has subsequently led to a decrease in the number of insured workers. (business)",2
"united states reports rise in jobless claims and stagnant consumption (business) - u.s. jobless claims climbed last week, while consumer spending remained unchanged in august as americans tightened their wallets following increased spending in the previous month, the government announced on thursday.",2
e are 5 paraphrased versions of the given text with the 'sports' category:,1
the risk of a renewed eruption at mt. st. helens in washington state has been heightened after seismic activity was detected in the region overnight.,3
"caldwell optimistic despite scotland's injury problems ahead of norway and moldova matches, asserting that the team remains hopeful to overcome their lingering injuries and claim victories.",1
"vijay tops tiger in deutsche bank championship finale -- in the final round of the 2004 deutsche bank championship, vijay singh triumphed over tiger woods, rising to the front of the golf rankings.",1
"states economies progress, but healthcare spending prevents full recovery - the national governors association released data suggesting a positive fiscal trend for states this year. yet, escalating healthcare expenses have made it difficult for states to entirely recover from the worst fiscal crisis they've faced in the past six decades.",2
"a scientific investigation involving lake michigan's shores is set to commence later this month, with researchers diving into the water to uncover the mystery behind the escalating presence of smelly algae.",3
us dollar advances against the euro as traders rethink slowdown in growth,2
"international conference on sudan's humanitarian predicament in darfur: the discourse between darfur rebels and the sudanese government on humanitarian issues reached an impasse during a recent conference held in nigeria. according to the united nations, the situation in darfur is among the world's most severe humanitarian emergencies.",0
"secret listening device found in united nations conference room: a covert microphone was discovered by the united nations in a luxury meeting room of its european headquarters in geneva, according to news reports.",0
"track events in athens ready for thrilling 100 meters race this sunday, featuring an esteemed group of hopefuls, including americans crawford, gatlin, and the defending champion greene.",1
"slim playstation 3 triple sales skyrocket: sony's redeveloped playstation 3's slimmer shape has garnered significant interest from uk gamers, with a staggering 50,000 units sold in its debut week. sales have tripled since its release, surpassing microsoft's xbox, as reported by market analysts.",3
warning on counterfeit viagra online: a recently published study suggests that as much as half of all viagra pills sold on the internet might be fake.,3
"kyo, japan) - the dollar stayed strong against the yen and the euro on thursday as a result of bullish u.s. manufacturing data, with traders predicting a restricted trading scope in the financial markets in anticipation of the forthcoming federal reserve meeting.",2
"the san francisco 49ers were back on the practice field on monday morning, and linebacker derek smith was in attendance. with defensive end andre carter possibly rejoining the team, the defensive unit could see some reinforcements.",1
mcdonald's teams up with destiny's child star for new advertising campaign,2
"world community raises questions over us strategy in iraq - us-led forces, in an effort to wrest control of an iraqi city on sunday, have triggered complaints about the high cost in terms of lives and hardship, marking the initial stage of a campaign to reclaim the entire country.",0
"u.s. dollar sinks to new depths versus euro: report (reuters) - in a significant shift, the us dollar plummeted to record lows against the euro on friday. this decline came despite a robust us employment report, indicating a potential change in investment trends and economic relations between the two regions.",2
