text,label
who writes newspaper articles discussing political events?,4
what card game gains its name from a game called biritch or russian whist?,4
"what sports game showcases the locations of irkutsk, yakutsk, and kamchatka on its board?",4
what is the purpose of using a 24-hour clock in place of a 12-hour clock in education and reference resources?,3
what is the scientific nomenclature for the mammal commonly known as an elephant?,1
"what sitcom was alyssa milano part of, working alongside tony danza?",5
in what motto was merrie melodies cartoons concluded?,3
in what field of law does a j.d. differ from an ll.m.?,3
what disease do malaria-carrying mosquitoes transmit?,2
"can you explain what phobia of failure, commonly known as atychiphobia, entails?",2
"in which sport do teams form a tight, heavy pack during a contest called a scrum?",4
in what novel by nevil shute does a nuclear war leave the survivors in a disastrous situation?,5
"in which athletic competitions is there a scrum, a close, intense struggle for dominance?",4
what is the purpose of an electromagnetic spectrum?,4
what is the type of reaction that occurs during photosynthesis?,4
which newspaper serves the salt lake city area?,5
what was the top-grossing movie in the united states during april 1998?,5
"where did the origin of the midwest slang, ""you're darn tootin' "", originate?",3
can you tell me about the differences between university and college education?,3
which sport is played on the largest sporting ground?,4
what was the most financially successful film in april 1998?,5
"in u.s. political history, who claimed, ""a visit to one slum is equivalent to a visit to all others""?",0
what is the second-deadliest disease for north americans from a medical point of view?,2
what does the spectrum of a sine wave entail?,3
what is the meaning of the term'sonar' in the sense of underwater exploration?,3
what illness does katharine hepburn have that leads to a shaky voice?,2
can you identify the society that invented the potlatch custom?,0
in what sports competition could a person find themselves in danger if they are over 21?,4
which sports tournament was first broadcasted on international television in 1956?,4
what is the nature of porphyria?,3
what game does the term'slotbacks' refer to in its play structure?,4
"what is the history behind the midwest slang term, ""you're darn tootin' ""?",3
what field do we find anthropological research conducted?,4
on what field is the largest sport played?,4
in what field does a pyrotechnic display belong to?,3
which tolkien book does gimli play a significant role in?,5
can you explain what a fear of shadows represents in psychology?,2
what is the chief product featured in an advertisement in a business magazine?,4
what is the identity of the russian cosmonaut who undertook the first spacewalk?,0
what does a cold phobia entail?,2
"in the realm of sports, what card game has three variations named canfield, klondike, and spider?",4
which animals don't have a spinal cord?,1
what work bears the personal signature of michelangelo?,5
what is the condition called when one has an excessive fear of disease?,2
which newspaper does salt lake city subscribe to?,5
"what can we say about antigens, specifically in relation to immunology or virology?",3
"from a taxonomic viewpoint, what kind of dog appears in ""the adventures of the little rascals""?",1
what's the essential difference between a juris doctor (j.d.) and a master of laws (ll.m.)?,3
