text,label
who holds the record for the highest number of goals scored in a single football match?,4
"what is the history of the scholarships for disadvantaged students program, and how does it help increase access to higher education?",3
what is the fundamental difference between electromagnetic waves and sound waves?,1
what are some exercises recommended for people with arthritis?,2
what sport is played on a field with a goal post at each end and is traditionally played in the uk?,4
"what is the typical recovery time after a broken bone, and what factors may affect it?",2
what is the projected revenue growth for amazon this quarter?,5
what are some common symptoms of the common cold?,2
how does the new tax reform bill affect multinational corporations?,5
how many grand slam titles has serena williams won in her career?,4
which tennis player holds the most grand slam singles titles?,4
what is the theory that explains the motion of celestial bodies such as the planets in our solar system?,1
what is the chemical symbol for hydrogen and what is its atomic number?,1
what are the benefits of lifelong learning and why is it important for personal development?,3
can excessive caffeine consumption affect heart health?,2
what is the significance of the magna carta in the history of law?,3
what is the recommended daily intake of vitamin c for an adult?,2
what are the potential economic impacts of the recent trade tariffs implemented by the us government on certain foreign goods?,5
who is the youngest player to score a goal in the fifa world cup?,4
what medications are commonly used to treat high blood pressure?,2
"what is the highest score possible in cricket, and what does it represent?",4
who was the first female prime minister of india?,0
what is the history behind the rise and fall of enron corporation?,5
what is the recommended diet for individuals with celiac disease?,2
can you explain the significance of the declaration of independence in american society and culture?,0
which ice hockey team has won the most stanley cup titles in nhl history?,4
"what is the purpose of a college tuition waiver, and under what circumstances can students qualify for one?",3
can you explain the concept of initial public offering (ipo) and its importance in business finance?,5
what is the significance of the marshmallow test in child psychology?,3
which significant historical event marked the end of apartheid in south africa?,0
what are the main factors affecting the stock market today?,5
"can you explain the concept of ""lifelong learning"" and its significance in personal development?",3
"what was the primary reason for the 2008 financial crisis, often referred to as the great recession?",5
who first proposed the theory of evolution through natural selection?,1
who currently holds the record for the fastest 100-meter dash in the world?,4
what is the primary cause of chronic back pain?,2
what are the common symptoms of high blood pressure and how can it be managed?,2
what is the recommended daily intake of water for optimal health?,2
"what is the average speed of light in vacuum, and how is it useful in modern technology?",1
who is the current ceo of tesla inc.?,5
what is the purpose of a tetanus shot and how often should it be taken?,2
who holds the record for the most home runs in a single mlb season?,4
what is the current exchange rate between usd and eur?,5
how did the school system in ancient greece differ from modern education systems?,3
what is the latest interest rate set by the federal reserve?,5
what benefits does a health savings account (hsa) offer over a traditional savings account?,5
how many employees does microsoft corporation have worldwide?,5
what is the highest scored individual points in a single nba game?,4
what is the formula for calculating the area of a circle?,1
what are the common symptoms of a cold?,2
who is the current ceo of amazon and what year did they assume leadership?,5
"in newton's three laws of motion, what is the third law and how does it relate to the action and reaction forces?",1
what is the economic impact of a 0.25% interest rate hike by the federal reserve?,5
can you explain the concept of constructivist learning?,3
what is the purpose of the day of the dead celebration in mexico?,0
what is the primary symptom of diabetes?,2
who holds the record for the most home runs in a single major league baseball season?,4
"how does the stock market work, and what factors influence its movements?",5
what is the historical development of the modern education system?,3
"can stress affect my immune system? if so, how?",2
"what is the speed of light in vacuum, and how does it compare to the speed of a cheetah?",1
how can i find the best online resources for learning a new language?,3
who discoveredpenicillin and how did it revolutionize the medical field?,1
what are the benefits of investing in a mutual fund compared to a individual stock?,5
what are the key elements of a well-rounded liberal arts education?,3
what key contributions did albert einstein make to the field of theoretical physics?,3
"who was the mvp of the last nba finals, and what team did they play for?",4
can you name the famous architect responsible for designing the taj mahal?,0
who was the influential philosopher known for his theory on the social contract?,0
who was the first woman to lead a country in the middle east?,0
"what is the cost of shares for amazon, inc. as of today's trading?",5
what is the history of the international space station (iss)?,3
who developed the theory of relativity?,1
who is the current ceo of tesla inc.?,5
"what is the main purpose of the smithsonian institution, and how many museums does it operate?",3
who was marie curie and what significant contributions did she make in the field of science?,3
what role did the civil rights movement play in shaping the societal landscape of the united states?,0
calculate the circumference of a circle if its diameter is 2π centimeters assuming π ≈ 3.14.,1
in which year was the theory of relativity first published?,1
"what is the smallest planet in our solar system, according to its diameter?",1
what are the risk factors for developing diabetes?,2
what causes migraines and how can they be managed?,2
who won the world series in 2020?,4
how did the montessori education method revolutionize early childhood education?,3
"who are the philosophers that significantly influenced the theory of education, and how did their ideas shape modern teaching methods?",3
what role does photosynthesis play in the carbon cycle?,1
what are the key differences between distance learning and traditional classroom education?,3
who discovered penicillin and for what bacterial infection was it first used?,1
what is the historical significance of the magna carta?,3
what is the annual revenue of amazon as of 2021?,5
which tennis player has the most grand slam singles titles in the open era?,4
what is the common cold usually caused by?,2
what is the recommended diet for someone with diabetes?,2
"who wrote the famous novel ""one hundred years of solitude"", and from which country does the author originate?",0
how does the recent tax law impact small businesses in the usa?,5
"what revolutionary idea did karl marx propose in his manifesto ""the communist manifesto""?",0
what is the name of the largest planet in our solar system and what is its distance from the sun in average astronomical units?,1
"what is the average salary for a data analyst in new york city, and how does this compare to the national average?",5
who was the first female prime minister of indias and served from 2004 to 2014?,0
what is the primary focus of the initial public offering (ipo) of the new tech startup?,5
what is the significance of the montessori education method in child development?,3
"what is the dewey decimal classification system, and how does it help in organizing library collections?",3
what are the potential side effects of taking aspirin regularly?,2
what is the importance of early childhood education and its impact on cognitive development?,3
what are the potential health risks associated with a sedentary lifestyle?,2
which famous athlete holds the record for the most home runs in a single season?,4
how does the stock market impact small business investments?,5
what are the potential side effects of a gluten-free diet and are there any restrictions to be aware of?,2
what is the philosophy behind distance learning and how has it evolved over time?,3
"h question in the provided list is related to science and mathematics, as they either deal with physical phenomena (""who was the first person to walk on the moon?""), scientific concepts and equations (chemical formula for water, speed of light, theory of relativity), or mathematical calculations (perimeter of a circle).",1
in what year was the first successful test of the atomic bomb conducted?,1
what role did rosa parks play in the american civil rights movement and what impact did it have on society?,0
"what iconic cultural symbol is the foundation of the indian mythology, the story of which spans various genres and is passed down through generations?",0
how can i manage stress-related health issues?,2
what year marked the dawn of the women's suffrage movement in the united states?,0
what is the fastest recorded speed in a professional cycling race?,4
can you name three contributions of confucius to society and culture?,0
what is the recommended daily intake of water for an adult for optimal health?,2
what is the chemical composition of water (h2o) and how does it differ from that of milk (c8h10o5)?,1
what is the difference between a bond and a stock as financial instruments?,5
"in which year did stephen hawking publish ""a brief history of time""?",1
how has globalization affected traditional indigenous cultures in south america?,0
what is the projected revenue of xyz corporation for the next fiscal quarter?,5
in which year was usain bolt's world record for the men's 100m set?,4
what are the side effects of a low-carb diet for weight loss?,2
what is the role of the federal reserve and what are its main responsibilities?,5
name three constellations that can be seen during the winter months in the northern hemisphere.,1
who won the world series in the year 2004?,4
who is the youngest player to score a hat-trick in the premier league?,4
what are the symptoms of diabetes and how can it be managed?,2
"in which country did confucius live and teach, and what central text of confucianism is named after him?",0
"which famous painting, ""the starry night"", represented the unsettled state of the artist's mind and depicts a view from a mental hospital window?",0
how can stress impact one's immune system and overall health?,2
what is the carbon footprint and how can individual choices reduce it?,1
who discovered the higgs boson particle in 2012?,1
who was the first woman to become the prime minister of india?,0
what are the side effects of prolonged use of antibiotics?,2
"in the periodic table, which element has the atomic number 11?",1
how many grams are in one mole of carbon dioxide (co2)?,1
in what ways has homeschooling evolved over the past decade?,3
"can you explain the difference between a bachelor's degree and a master's degree in terms of academic programs, length, and career opportunities?",3
who won the wimbledon men's singles title in 2020?,4
can you name the tennis player who has won the most grand slam titles in the open era?,4
what are the long-term effects of sleeping fewer than 7 hours a day?,2
what is the name of the indian cricket team's current captain?,4
"who were some influential philosophers in the history of western philosophy, and what are their key contributions?",3
which tennis player recently broke the record for the most grand slam titles?,4
what is the recommended diet for someone with diabetes?,2
what are the common symptoms of high blood pressure and how can it be managed?,2
who is the current ceo of tesla inc.?,5
"what is the role of interest rates in influencing a country's economy, and how do central banks manage them?",5
which tennis player has won the most grand slam titles in the open era?,4
in what country did the maori people originate and what influences their culture?,0
what is the most effective method for quitting smoking long-term?,2
can you name the athletes who won the most gold medals in a single olympic games?,4
"in which country was the first modern university established, and when was it founded?",3
calculate the volume of a sphere with a radius of 5 meters. what is the physical unit for this volume?,1
"can you name the sport played during the olympic summer games, where athletes aim for the farthest distance in a single throw? (hint: it involves a metal ball and a ring)",4
what is the significance of the harlem renaissance in american history?,0
can you describe the cultural traditions unique to the day of the dead holiday in mexico?,0
what is the projected growth rate for amazon for the upcoming year?,5
can a healthy diet improve vision health?,2
what is the purpose of standardized testing in schools?,3
"what is the largest known prime number, and how was it discovered?",1
who was the leader of the civil rights movement during the 1960s in the united states?,0
"who was the first female prime minister of india, serving from 2004 to 2014, and is considered one of the greatest leaders in modern india?",0
what are the side effects of taking ibuprofen regularly?,2
what are the benefits of regular exercises for maintaining good health?,2
who was maria montessori and what contributions did she make to education?,3
how does a satellite in a geostationary orbit maintain its position relative to earth?,1
"what is the primary holiday celebrated in diwali, and why is it important in hindu culture?",0
what is the role of a university professor in higher education?,3
what is the stock symbol for amazon and what exchange is it listed on?,5
what team holds the record for the most consecutive home wins in mlb history?,4
what is the role of a library card in modern society?,3
what is the link between stress and heart disease?,2
what country dominates the winter olympics in alpine skiing?,4
"during the french revolution, which famous phrase did madame guillotine become known for, symbolizing the democratic principle of ""liberté, égalité, fraternité""?",0
who was the primary author of the universal declaration of human rights?,0
what is the function of a diploma in higher education?,3
what is the primary difference between a public and a private limited company?,5
what is the stock price prediction for amazon inc. next quarter?,5
what is the best exercise routine for weight loss?,2
what is the theory of relativity? who proposed it?,3
"in what cultural tradition does the concept of ""geisha"" originate, and what role does a geisha play in japanese society?",0
"in the scientific research field, what are some ethical guidelines that researchers should follow when conducting experiments involving human subjects?",3
who was the influential figure that led the american civil rights movement in the mid-20th century?,0
"in ancient egyptian culture, what was the primary purpose of the great pyramid of giza?",0
what type of tennis grand slam did serena williams win for a record-tying 23rd time in 2017?,4
can you explain the process of initial public offering (ipo) for a startup company?,5
what is the function of the library of congress and how many books does it house?,3
who was the first person to walk on the moon?,1
who are the top five richest people in the world according to forbes list?,5
can you discuss the impact of globalization on traditional arts and crafts?,0
what is the primary purpose of the gmat exam and how is it scored?,3
"what are the symptoms of high blood pressure, and how can it be managed?",2
which soccer team has won the most uefa champions league titles?,4
what are the symptoms of a common cold?,2
who broke usain bolt's world record in the 100-meter sprint at the 2019 world athletics championships?,4
how many moons does jupiter have in our solar system?,1
"what tennis players contested the longest match in grand slam history, lasting over 11 hours?",4
what is the significance of the montessori method in contemporary education?,3
