text,label
lessons in governance key takeaways from major political elections for entrepreneurs and business leaders,2
today date:   jul,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"a decline in the overall economic health of the country has been recorded for the first time in three years, raising concerns among business experts.",2
today date:   jul,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: ''man flu' stories show how we make women's health all about dudes a new study had important findings for women, but all we heard about was ""man flu.""'",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"the unexplained death of alaska's sea otters has put researchers in a state of unease, as the enigma persists.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"monitoring canine arthritis is a vital component of pet care, calling for attentive owners to stay informed about its diagnosis and management.",3
of_text|><|start_header_id|>system<|end_header_id|>,3
"the insurance giant aflac is embroiled in controversy due to accusations that it mistreated its employees; in response, the company defends itself by stating that the allegations are unfounded.",2
cutting knowledge date: december,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
norway's labor party has faced a significant setback following the sudden departure of a top official who stands accused of misconduct.,0
today date:   jul,2
cutting knowledge date: december,2
cutting knowledge date: december,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'science retractions: top  withdrawn studies of    sadly, fudged studies create false hopes, and they also sully the reputation and publication record of the co-authors, often'",3
cutting knowledge date: december,3
"caring for pets includes being knowledgeable about canine arthritis, a pet health concern that deserves prompt identification and therapeutic measures.",3
"in a contentious scene, the confederate flag appears at an ncaa event in south carolina, ending the state's  -year hosting drought.",0
senate democrats are preparing to make a strong stand against the anti-abortion bill.,0
cutting knowledge date: december,0
of_text|><|start_header_id|>system<|end_header_id|>,0
"the republican push for reduced taxes, while promising economic boon after boon, has failed to deliver tangible results.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'terry jordan, mississippi woman, sold wrong foreclosed home speeding up the process can cause problems, however. in another example of foreclosure confusion, a houston couple and their'",2
"apparently, people often harbor a secret admiration for those who self-promote, even if it involves a certain level of hesitation or a desire to seem unassuming; yet, the notion that self-promotion is wrong clashes with the reality that others are seeking respected leaders and role models who champion their work.",2
there's a last-minute change of plans: roger goodell won't make an appearance at the  ers' next game.,1
of_text|><|start_header_id|>system<|end_header_id|>,0
"amazon's alexa assistant, a sophisticated voice-controlled system, got her users curious when she ordered dollhouses on her own. this incident highlighted her evolving potential for autonomous decision-making.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"pioneering female investors:  kelly hoey, managing partner at laconia capital group & advocate for actionable networking strategies, empowers others with transformative frameworks to elevate their business growth.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'alien planets can be stripped of water by gravity, scientists say it could be that instead of triggering a runaway greenhouse effect, tidal heating might actually warm otherwise frigid planets'",3
today date:   jul,2
of_text|><|start_header_id|>system<|end_header_id|>,1
"here are five paraphrased versions of the text 'insurance giant aflac reportedly sued for worker exploitation the company calls the allegations ""baseless""' with the 'business' category:",2
"deandre jordan opts against joining dallas mavericks, re-signs with the los angeles clippers in a surprising turn of events.",1
"d'angelo russell might just be the next one kobe bryant will have some strong words for, yet imitating someone is indeed a powerful compliment.",1
of_text|><|start_header_id|>system<|end_header_id|>,3
"stanford's vr laboratory provides a glimpse into the future; however, the field of virtual reality feels somewhat stagnant, having been around for a bit too long. remember the immense popularity of second life, a virtual world sensation that reached its peak a long time ago.",3
"'super bowl predictions are off the table for now, but one star-studded contender recently granted its first ever chat, sharing its pick for the coveted championship title.'",1
"in india, documentary-making on a shoestring budget requires innovative thinking, especially for individuals like myself working at a small ngo and trying to fund their passion project through a successful crowdfunding campaign.",2
of_text|><|start_header_id|>system<|end_header_id|>,0
the nfl commissioner is no longer attending the  ers game due to an unexpected cancellation.,1
"stanford's vr lab presented an opportunity to glimpse the future of virtual reality, though, the field seems somewhat tired due to its age. take a moment to reminisce about the heyday of second life, the virtual world that was all the rage a long time ago.",3
today date:   jul,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'why self-promotion isn't a dirty word whether it's a fear of putting yourself forward or not wanting to be seen as bragging, the idea that promoting yourself is a bad thing is at odds with the reality that people are looking for thought leaders and role models.'",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'auschwitz memorial slams gop congressman for recording video inside gas chamber rep. clay higgins called for ""invincible"" military while in death chamber.'",0
of_text|><|start_header_id|>system<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
today date:   jul,1
"refining market logic: what hinders efficient decision-making? apparent market failures are usually attributed to 'irrational' choices made by individuals. by creating supportive environments that foster informed decision-making, it's possible to enhance market efficiency.",2
"""man flu"" stories represent a broader pattern where discussions about women's health are often displaced by concerns centered around men. a study that produced substantial information regarding women's health received limited attention due to the prevalence of ""man flu"" reports.",3
cutting knowledge date: december,0
"senate leader mitch mcconnell's decision to keep the senate in session indicates that lawmakers will have to spend more time in washington, d.c.",0
"former trump campaign staff member makes allegations of workplace bias after being let go davenport, iowa — a trump operative who was recently fired has come forward with charges of discriminatory treatment.",0
of_text|><|start_header_id|>system<|end_header_id|>,2
today date:   jul,2
"here are  paraphrased versions of the given text with the category ""science and technology"":",3
here are five paraphrased versions of the text with the category 'sports':,1
"mississippi resident terry jordan's experience of selling a home identified as foreclosed unintentionally hastened the foreclosure process, illustrating the potential pitfalls of moving too swiftly in such situations.",2
cutting knowledge date: december,0
"on the  -year anniversary of the ada, the us government has initiated a revision of its digital accessibility guidelines the goal is to strengthen online inclusivity by setting clearer standards for how people with disabilities can seamlessly interact with websites.",3
leaders in business continually look for effective methods to distinguish themselves. those who excel in empowering others and sharing their knowledge often achieve greater success than those who work in isolation.,2
"gymnastics standout john orozco breaks down after making the usa team he, who was part of the olympic team in   , has faced several personal struggles over the past year and a half.",1
today date:   jul,2
