premise,label,hypothesis
"super-paradise, in the next bay, is a gay, clothing-optional beach.",0,tart_of_turn>user
"st. peter's basilica is the largest of all roman catholic churches and by any standards a grandiose achievement, but it inevitably suffered from the competing visions of all the architects called in to collaborate bramante, giuliano da sangallo, raphael, baldassare peruzzi, michelangelo, giacomo della porta, domenico fontana, and carlo maderno each adding, subtracting, and modifying, often with a pope looking over his shoulder.",2,start_of_turn>model
"and as for hillary, forget it.",0,tart_of_turn>user
and so they've already shifted the risk if they assume that car then they just have to sell it themselves and they'll recover the loan,2,they are obligated to keep the car regardless of the loan situation.
"even though quantifiable data was lacking during most of 1998, lsc had sufficient information to begin taking actions to address the problems.",1,start_of_turn>model
oh those hedges when they started moving whenever they  they made that into a movie i was thinking oh my gosh if they show that i'll just die for some reason that scared me more than anything,2,i've seen plenty of scary movies before.
in some states yeah because it's reasonable now uh you know me with me being from louisville i'm going to say at louisville is unfair because louisville's got the highest uh uh the line the line the line drawn i don't know the correct word for it  but louisville's is higher than most other universities and,2,admission to louisville is relatively easy compared to most other universities.
i took the oilskin packet from round my neck and shoved it right in as far as i could.,0,tart_of_turn>user
uh they finally got smart and got a riding lawn mower which was a big improvement for for us  us kids who had to go out there and uh mow the the grass every every week,1,start_of_turn>model
"these havens of relaxation set among golf courses, gardens, and orchards still do the mountain ranges of the peninsula's interior, but they are now holiday resorts.",2,start_of_turn>model
and so they've already shifted the risk if they assume that car then they just have to sell it themselves and they'll recover the loan,2,they cannot recover the loan by selling the car.
"even though quantifiable data was lacking during most of 1998, lsc had sufficient information to begin taking actions to address the problems.",1,tart_of_turn>user
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,start_of_turn>model
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,they seek to shed light on challenging individual struggles.
"even though quantifiable data was lacking during most of 1998, lsc had sufficient information to begin taking actions to address the problems.",1,the absence of quantifiable data in    could be attributed to incomplete reporting procedures.
"biologist ian wilmut's team also cloned lambs out of dna derived from sheep-fetus fibroblasts, cells found in connective tissue.",2,the dna used to clone the lambs was not derived from sheep-fetus fibroblasts.
"i already know i am an idiot, but am i to be a happy idiot or a miserable one?",1,the speaker has grappled with feelings of foolishness for a significant amount of time.
prairie state will share the money with the county.,1,tart_of_turn>user
"the cook may be from valencia, the cuisine advertised as  french,  and the customer may want nothing more daring than a steak.",2,the customer actively seeks out and enjoys trying new and unusual dishes.
you know they match it um my wife used to they matched hers only hers was a little bit better than ours um she hasn't been working for a couple of years her father took sick so she's been taking care of him,1,let me know if you'd like more examples!
we don't expect badinage from the pillsbury doughboy or banter from betty crocker.,2,betty crocker frequently engages in playful banter with customers.
"elementary, my dear watson the smell of onions is unmistakable.""",2,many different smells could be confused with the aroma of onions.
foreign ships carried new diseases to the islands as well.,1,the ships had their drawbacks.
a deep cleft creased his chin.,0,**a deep indentation ran down his chin.**
prairie state will share the money with the county.,1,start_of_turn>model
"expenses are reported on an accrual basis, including contractual amounts due for counseling services",2,let me know if you'd like more examples!
oh are you in dallas,0,**have you moved to dallas?**
a deep cleft creased his chin.,0,tart_of_turn>user
"apaches, they are not stupid.",2,apaches are incredibly dim-witted.
"they had sent the beard, as directed, to ""l. ",0,tart_of_turn>user
we don't expect badinage from the pillsbury doughboy or banter from betty crocker.,2,start_of_turn>model
"subsequent to the issuance of the ffc report, nasa received iso 9000 certification for its headquarters office and each of its centers.",0,start_of_turn>model
"it is also said that seleyman, in awe of his architect's achievement, handed the keys to sinan at the inauguration ceremony and allowed him the privilege of opening it.",1,"the story goes that sinan was the first, and perhaps only, architect to open the building he designed."
is the cost-cutting story plausible?,2,the cost-cutting measures described in the story are exaggerated.
"give yourself a bare minimum of three days, time to get lost (you're never very far from the main landmarks signposted with bright yellow arrows).",1,the trails could be a part of your sightseeing experience.
"it is also said that seleyman, in awe of his architect's achievement, handed the keys to sinan at the inauguration ceremony and allowed him the privilege of opening it.",1,the belief is that sinan's case was exceptional in that he was granted this privilege.
but the standard for appointing an independent counsel can't be that broad.,2,let me know if you'd like more examples!
"apaches, they are not stupid.",2,the apache people are notoriously unintelligent.
is the cost-cutting story plausible?,2,the cost-cutting story is demonstrably false.
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,some professional groups you belong to engage in selling mailing lists.
"super-paradise, in the next bay, is a gay, clothing-optional beach.",0,"clothing is optional at the beach called super-paradise, located in the next bay."
and be careful. the russian beckoned.,1,there was a waving motion from the russian.
"this original doctrine, without any sense of buddha's divinity, was embraced by the hinayana (lesser vehicle) school which spread to sri lanka, burma, and thailand, as well as cambodia and laos.",0,"regions like sri lanka, burma, laos, cambodia, and thailand adopted the original doctrine that did not posit buddha as divine, thanks to the spread of the hinayana school."
we don't expect badinage from the pillsbury doughboy or banter from betty crocker.,2,both the pillsbury doughboy and betty crocker are depicted as humorous characters.
i've seen on tv where they take animals and young children in fact my daughter is one my wife took my daughters one year when they were getting some points for school took them to an elderly home and boy that really pumps them up that uh,0,tv programs feature visits from animals and young children to elderly homes.
"it is also said that seleyman, in awe of his architect's achievement, handed the keys to sinan at the inauguration ceremony and allowed him the privilege of opening it.",1,tart_of_turn>user
oh are you in dallas,0,start_of_turn>model
this ricardian equivalence hypothesis holds that people are forward-looking and recognize that current government surpluses or deficits affect government debt and future tax rates.,0,the ricardian equivalence  rests on the idea that people are not short-sighted but rather consider future ramifications.
and so they've already shifted the risk if they assume that car then they just have to sell it themselves and they'll recover the loan,2,tart_of_turn>user
"i already know i am an idiot, but am i to be a happy idiot or a miserable one?",1,"throughout their life, this person has acknowledged their perceived lack of intelligence."
and be careful. the russian beckoned.,1,let me know if you'd like more examples!
you know they match it um my wife used to they matched hers only hers was a little bit better than ours um she hasn't been working for a couple of years her father took sick so she's been taking care of him,1,my wife had to attend to a personal matter elsewhere.
i had to be guarded in what i said.,0,start_of_turn>model
"you will probably find the island mascot petrosea pelican (the older petroseow has two young apprentices, both also called petrosewaddling among the boats, hoping for a fishy tidbit.",1,tourists could encounter the petrosea pelican while visiting the island.
don't confine your visit to the mountain only.,0,**broaden your exploration beyond the confines of the mountain.**
"biologist ian wilmut's team also cloned lambs out of dna derived from sheep-fetus fibroblasts, cells found in connective tissue.",2,tart_of_turn>user
" if you're willing to wander off the beaten track you should be able to find cliff-backed coves with clear, blue water or patches of sand scarcely large enough for two families.",0,let me know if you'd like to explore more paraphrases!
"biologist ian wilmut's team also cloned lambs out of dna derived from sheep-fetus fibroblasts, cells found in connective tissue.",2,ian wilmut is not involved in cloning research.
"subsequent to the issuance of the ffc report, nasa received iso 9000 certification for its headquarters office and each of its centers.",0,**nasa's iso    certification was a result of actions taken following the publication of the ffc report.**
in some states yeah because it's reasonable now uh you know me with me being from louisville i'm going to say at louisville is unfair because louisville's got the highest uh uh the line the line the line drawn i don't know the correct word for it  but louisville's is higher than most other universities and,2,let me know if you'd like more examples!
yeah that's too bad because i mean i've been in the carolinas and you know there are some places in the carolinas it's really nice there,1,the speaker believes some parts of the carolinas are pleasant.
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,the nature of your professional memberships includes organizations that trade mailing lists.
i've seen on tv where they take animals and young children in fact my daughter is one my wife took my daughters one year when they were getting some points for school took them to an elderly home and boy that really pumps them up that uh,0,there are shows depicted on television where they bring children and animals to interact with the elderly.
"this original doctrine, without any sense of buddha's divinity, was embraced by the hinayana (lesser vehicle) school which spread to sri lanka, burma, and thailand, as well as cambodia and laos.",0,tart_of_turn>user
"elementary, my dear watson the smell of onions is unmistakable.""",2,the scent of onions can easily be mistaken for other pungent smells.
"the cook may be from valencia, the cuisine advertised as  french,  and the customer may want nothing more daring than a steak.",2,"the restaurant deliberately offers a limited menu to enhance the perceived flavor and quality of the core options, like steak."
well you weren't charging gold and silver were you you can't do that can you,0,start_of_turn>model
"it is difficult to believe that these bizarre shapes, staircases going nowhere, and windows in walls without rooms were built in 1724 by a serious student, rather than in the last century by some deranged architect.",2,"the claim that the building was constructed by a ""deranged architect"" lacks evidence."
i took the oilskin packet from round my neck and shoved it right in as far as i could.,0,i forcefully put the oilskin packet into a confined area.
"also health club, sauna, turkish bath, jacuzzi.",1,tart_of_turn>user
but the standard for appointing an independent counsel can't be that broad.,2,a more inclusive standard for appointing an independent counsel would promote fairness and transparency.
"but, hey, where is the millennium?",2,tart_of_turn>user
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,their work explores topics related to social issues and personal relationships.
"biologist ian wilmut's team also cloned lambs out of dna derived from sheep-fetus fibroblasts, cells found in connective tissue.",2,"ian wilmut's team focuses on cloning using different types of cells, not sheep-fetus fibroblasts."
prairie state will share the money with the county.,1,financial resources were important to the county.
a deep cleft creased his chin.,0,**his chin was visibly divided by a groove.**
right exactly i was a i was a boy scout and as part of being a boy scout you had to do you know projects all throughout and then to become an eagle scout you have to spend a do a year long project for,0,tart_of_turn>user
" if you're willing to wander off the beaten track you should be able to find cliff-backed coves with clear, blue water or patches of sand scarcely large enough for two families.",0,"leaving the main trails will increase your chances of finding hidden coves with pristine blue water and small, secluded sandy areas."
well you weren't charging gold and silver were you you can't do that can you,0,tart_of_turn>user
in some states yeah because it's reasonable now uh you know me with me being from louisville i'm going to say at louisville is unfair because louisville's got the highest uh uh the line the line the line drawn i don't know the correct word for it  but louisville's is higher than most other universities and,2,louisville's academic standards are lower compared to most universities.
" if you're willing to wander off the beaten track you should be able to find cliff-backed coves with clear, blue water or patches of sand scarcely large enough for two families.",0,exploring less-traveled areas will likely result in the discovery of secluded coves with crystal-clear blue water and small sandy beaches.
the two aicpa field work standards for attestation engagements are as follows.,1,there exist standards set by the aicpa for attestation engagements.
