text,label
"facebook launches pilot project to integrate artificial intelligence in disaster response the social media giant is seeking to harness the power of ai to aid in emergency situations, with a new pilot program designed to provide quicker and more effective disaster relief.",3
of_text|><|start_header_id|>system<|end_header_id|>,0
silicon valley leaders discuss digital economy at google event silicon valley business leaders and experts gathered at a recent google event to discuss the importance of digital economy in shaping the future. the focus was on embracing new technologies and innovations.,2
cutting knowledge date: december,2
of_text|><|start_header_id|>system<|end_header_id|>,1
of_text|><|start_header_id|>system<|end_header_id|>,2
of_text|><|start_header_id|>system<|end_header_id|>,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
of_text|><|start_header_id|>system<|end_header_id|>,0
"google announces an innovative new feature for its smart glasses, allowing users to control their devices with just a flick of their wrist. the new functionality is part of the tech giant's ongoing efforts to make its products more intuitive and user-friendly.",3
"based on the provided examples, here are five new texts that fit the 'science and technology' category:",3
of_text|><|start_header_id|>system<|end_header_id|>,2
of_text|><|start_header_id|>system<|end_header_id|>,0
of_text|><|start_header_id|>system<|end_header_id|>,3
"the eu considers revising its tax laws to encourage companies to invest in renewable energy projects and reduce carbon emissions, aiming to become carbon neutral by   .",2
"tech giant nvidia announces breakthrough in artificial intelligence, reveals new ai-powered chip designed to process complex tasks and make machines smarter.",3
"tech firm's earnings soar on software sales: a leading technology company reported its earnings rose by  % in the second quarter, driven by robust sales of its software products and increased demand from emerging markets.",2
"the us chamber of commerce calls on the government to relax regulations on small businesses, citing the need for economic growth and job creation.",2
amazon announces significant price increase of its flagship online payments system.,2
cutting knowledge date: december,0
"a leading oil and gas company revealed plans to invest heavily in renewable energy sources by   , aiming to reduce its carbon footprint and align with global sustainability goals.",2
"a recent report suggests that the rise of e-commerce has resulted in a decline of over  % in physical retail sales, prompting store closures and restructuring.",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
china bans foreign books as censorship strengthens chinese regulators have issued a new instruction allowing them to review publications that are made or distributed in china before they are released to the public in a move that has boosted fears of increased government censorship.,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"myanmar says   people dead in yingpyu massacre yangon (al jazeera) - myanmar's junta has issued a revised estimate of the death toll in a recent communal massacre, saying at least   people had been killed in yingpyu district, the state television station said on friday.",0
cutting knowledge date: december,1
of_text|><|start_header_id|>system<|end_header_id|>,0
here are  new generated texts that fit the 'science and technology' category:,3
"a team of researchers at the massachusetts institute of technology has developed an ai-powered tool to detect early signs of pancreatic cancer from medical images, which could significantly improve cancer diagnosis and treatment rates. the technology has been hailed as a breakthrough in medical imaging processing.",3
cutting knowledge date: december,3
"new breakthrough in graphene technology scientists at a leading research center have made a significant discovery in the development of graphene, a highly conductive and versatile material that could revolutionize industries such as electronics and energy storage.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"based on the provided examples, i've generated five new texts that fit the 'world' category. here they are:",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
turkey's leader warns of coup attempts ankara (reuters) - turkey's prime minister warned on wednesday of foreign-backed coup attempts and said he would be determined to foil them through swift and decisive action.,0
"rafael nadal dominates at madrid open tennis rafael nadal rolled through to the quarterfinals at the madrid open, dominating his opponent with an impressive performance that left fans both amazed and hopeful for the world's top tennis stars.",1
today date:   jul,3
international community raises concern over election violence in pakistan reports of ballot stuffing and intimidation by supporters of various political parties have raised concern among international observers as they monitor pakistani parliamentary elections.,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"apple's new augmented reality headset expected to hit the market soon, with features that blur the lines between reality and virtual reality, offering users an immersive experience that could redefine entertainment, education, and communication.",3
"google reveals new ai-powered wearable device that can monitor and analyze a user's health metrics, including heart rate, blood pressure, and glucose levels.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
today date:   jul,2
toronto blue jays' ace a.j. burnett pitched eight strong innings while brett gardner delivered a pinch-hit home run as the blue jays downed the oakland athletics   on sunday.,1
today date:   jul,1
"study reveals significant improvements in artificial intelligence algorithms, enabling more accurate disease diagnosis and treatment in hospitals worldwide",3
