text,label
tart_of_turn>user,4
"who was the author of the novel ""to kill a mockingbird""?",3
how can i prevent the spread of the flu?,2
how does photosynthesis work?,3
what is the difference between a stock and a bond?,5
start_of_turn>model,5
"what is the pythagorean theorem, and how is it used?",1
who holds the record for most home runs in major league baseball history?,4
what country has won the most fifa world cup titles?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
here are  new questions that fit the 'society & culture' topic:,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
tart_of_turn>user,4
who holds the record for the fastest marathon time?,4
what are the different types of rocks and how are they formed?,1
start_of_turn>model,5
what is the name of the highest level professional basketball league in the united states?,4
tart_of_turn>user,4
what are the symptoms of a common cold?,2
what is the pythagorean theorem and how is it used?,3
what are the main factors that influence a company's market capitalization?,5
what is the difference between a meteor and a meteorite?,1
what are the main causes of inflation?,5
what are the four main financial statements?,5
here are  new questions that fit the 'business & finance' topic:,5
here are  new questions for the 'science & mathematics' topic:,1
tart_of_turn>user,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
start_of_turn>model,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
here are five new questions that fit the 'science & mathematics' topic:,1
here are  new questions that fit the 'education & reference' topic:,3
explain the process of dna replication.,1
explain the difference between a comet and an asteroid.,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
what are the main branches of philosophy?,3
in what country did soccer (football) originate?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
here are five new questions that fit the 'society & culture' topic:,0
in what sport is the stanley cup awarded?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
tart_of_turn>user,3
what is the chemical formula for water?,3
explain the process of photosynthesis.,1
what are the chemical elements in water?,1
what is the purpose of a debenture in corporate finance?,5
who is the all-time leading scorer in the nba?,4
what are the early warning signs of a heart attack?,2
these questions all relate to concepts and terms commonly found within the realm of business and finance.,5
what is the pythagorean theorem?,1
how is photosynthesis carried out by plants?,1
what are some effective ways to prevent the spread of germs?,2
what are the risks of smoking during pregnancy?,2
here are  new questions that fit the 'health' topic:,2
start_of_turn>model,5
tart_of_turn>user,2
how does a solar panel convert sunlight into electricity?,1
what type of exercise is best for improving bone density?,2
explain the concept of market capitalization and its significance for investors.,5
what are the main arguments for and against universal healthcare?,3
what is the name of the trophy awarded to the winner of the super bowl?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
let me know if you'd like to see more examples!,3
how do social movements contribute to societal change and progress?,0
what country won the fifa world cup in   ?,4
who holds the record for the most career home runs in major league baseball?,4
here are  new questions that fit the 'education & reference' topic:,3
what are some healthy habits for maintaining good bone density?,2
what are the major differences between urban and rural life in different societies?,0
what year did world war ii begin?,3
start_of_turn>model,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
tart_of_turn>user,2
what are some of the key differences between urban and rural cultures in a particular country?,0
what are some common symptoms of a heart attack?,2
what are some cultural traditions celebrated during diwali?,0
here are five new questions that fit the 'education & reference' topic:,3
tart_of_turn>user,1
start_of_turn>model,3
