text,label
"amidst the 9/11 remembrance, a nyc company finds a way to profit through concert cruise tickets sales - an unexpected business strategy.",2
"business missteps of leaders: the destruction of businesses is not just a spectacle for us when it comes to lacking integrity leaders, like enron and volkswagen. it's even more disheartening to see otherwise capable leaders undermine their success with self-inflicted mistakes.",2
nfl's anti-homophobia campaign gains momentum as the league confronts anti-gay discrimination with severe consequences.,1
"scientists make advances in lab-grown human hearts, potentially alleviating the organ donor shortage. recent scientific breakthroughs have seen stem cells used to create human heart muscle, opening the door for greater potential in organ transplants.",3
"a business powerhouse—jianna king, jodi gallen, jaysie mclinn, and north county deals—are making waves in the corporate sector. with their business acumen spanning sales, marketing, business development, and operations, they are using their skills to positively impact the local community through their new venture, targeting school systems to provide opportunities for local mothers.",2
"terrell owens endures a racial slur from an unidentified man, who defends his actions through the principle of freedom of speech, in a painful-to-watch video.",1
"a roundup of captivating science news stories that captivated the world this week, including the discovery of the lightest material on earth and the enigmatic dark matter.",3
"colin kaepernick and the changing view of a veteran: a veteran believes that showing love for your country necessitates addressing its defects, demonstrated by their newfound perspective on colin kaepernick. (world category)",0
"ceo errors that lead to business disaster: time and again, we've witnessed leaders who fail to uphold integrity bring down businesses. unfortunately, this disaster isn't limited to grand-scale ceos; even seemingly competent leaders make decisions that sabotage their businesses subtly.",2
"my upcoming publication delves into the complexities of social trust, and i find the greek myth of icarus to be cryptic. instead of a foretelling of caution, i view it as a depiction of the inevitable.",3
"young fan wept tears of joy over obtaining new england patriots tickets, leading to an emotional response and hashtag '#bellagate.'",1
"in a surprising decision, the sport's highest tribunal reverses doping bans for 28 russian athletes from the 2014 winter olympics in sochi, reinstating their contest results.",1
"tiger woods' live updates: pga championship round 3, kiawah island, s.c. - the leaders of the 94th pga championship will take you back in time, as the competition heats up before the final round.",1
"the secret of the 'tuxedo' cat: the science behind the distinct 'tuxedo' cat pattern may hold the key to understanding genetic maladies in the human population, providing insights into piebald gene formation in animals.",3
"individual under investigation for slurring terrell owens argues for the protection of free speech, as a disturbing footage of racist slurs emerges.",1
"every member of the 'big 4' faces defeat during the rogers cup in toronto, with tsonga emerging victorious.",1
"post-eli apple, the nfl stands at a crossroads, where it must take a stance against homophobia in football, potentially instating penalties to combat discrimination.",1
"a celestial marvel is set to take place tomorrow, with a crescent moon, venus, and jupiter shining brightly in the pre-dawn sky. these events are known to prompt a rise in phone calls from people seeking insights on what they may witness.",3
"fears among former epa employees spur creation of environmental protection network: driven by their worries about trump's plans, former epa employees have banded together to form the environmental protection network. they are actively mobilizing to counter the severe budget cuts that the administration has proposed.",0
"hillary clinton terms isis violence against yazidis as 'genocide': in a recent declaration, hillary clinton called the violence perpetrated by isis against the yazidis — along with christians and other religious minorities in iraq and syria — 'genocide'.",0
key finding: social learning is determinant for chimpanzee culture preservation),3
"the question of whether it's miami or cleveland, in a sports perspective, might need further analysis?",1
"in a surprising move, senator bernie sanders has demonstrated a new level of acceptance towards the democratic party, following a week filled with controversy, during a tour arranged by the dnc.",0
catfish hunting pigeons: the uncommon tactics revealed in a recent study. (new research published on dec. 5).,3
