text,label
tart_of_turn>user,3
how can i reduce my risk of developing type  diabetes?,2
explain the concept of compound interest.,5
what are some common symptoms of anxiety?,2
what is the history of the dewey decimal system?,3
how does a compass work?,3
what are the main differences between a stock and a bond?,5
how does compound interest work?,5
what is the pythagorean theorem?,1
start_of_turn>model,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
here are  new questions that fit the 'education & reference' topic:,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
tart_of_turn>user,3
tart_of_turn>user,5
let me know if you'd like more examples!,1
tart_of_turn>user,2
what are some cultural traditions associated with día de los muertos in mexico?,0
how has globalization impacted traditional art forms around the world?,0
what are the risks associated with smoking?,2
here are  new questions for the 'sports' topic:,4
tart_of_turn>user,4
what are the main principles of the dewey decimal system?,3
let me know if you'd like more examples!,4
here are  new questions that fit the 'education & reference' topic:,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
start_of_turn>model,4
tart_of_turn>user,2
how is compound interest calculated?,5
what are the primary differences between a thesaurus and a dictionary?,3
what is the purpose of a balance sheet in business accounting?,5
what is the difference between a simile and a metaphor?,3
here are  new questions that fit the 'business & finance' topic:,5
how many bones are in the human body?,1
here are  new questions that fit the 'science & mathematics' topic:,1
what is the difference between a stock and a bond?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
what are the risk factors for developing heart disease?,2
what team won the fifa world cup in   ?,4
what types of foods are good for boosting your immune system?,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
start_of_turn>model,0
start_of_turn>model,1
what are the risks associated with smoking during pregnancy?,2
how can i strengthen my immune system naturally?,2
what is the purpose of a balance sheet and what information does it provide?,5
start_of_turn>model,1
what are the risks associated with smoking?,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
what event is part of the summer olympics but not the winter olympics?,4
how has social media impacted traditional forms of communication within families?,0
start_of_turn>model,5
start_of_turn>model,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
here are five new questions that fit the 'health' topic:,2
what are the key factors to consider when evaluating a potential investment opportunity?,5
start_of_turn>model,0
what are the main cultural differences between rural and urban communities?,0
let me know if you'd like more examples!,4
what are the common signs of a heart attack?,2
tart_of_turn>user,5
let me know if you'd like more examples!,3
what is the difference between prokaryotic and eukaryotic cells?,3
