text,label
here are  new questions that fit the 'society & culture' topic:,0
let me know if you'd like more examples!,5
here are  new questions fitting the 'society & culture' topic:,0
what are the different positions on a basketball team?,4
what is the pythagorean theorem and how is it used?,1
what is the pythagorean theorem and how is it used?,3
tart_of_turn>user,5
what is the current interest rate on a  -year fixed-rate mortgage?,5
what is the difference between a stock and a bond?,5
start_of_turn>model,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
how do different cultures approach the concept of marriage and family?,0
what are the symptoms of a heart attack?,2
here are  new questions that fit the 'education & reference' topic:,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
what are the latest advancements in alzheimer's disease research?,2
start_of_turn>model,1
tart_of_turn>user,0
what is the purpose of a business plan and its key components?,5
how does the gregorian calendar work?,3
what are the major challenges facing contemporary artistic expression in the digital age?,0
what are the risks associated with smoking cigarettes?,2
tart_of_turn>user,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
what are the benefits of regular exercise for mental health?,2
how many planets are in our solar system?,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
how does compound interest work and why is it important for investing?,5
what are the cultural origins of the tradition of exchanging holiday gifts?,0
what are the main cultural differences between urban and rural communities?,0
what is the chemical formula for water?,1
start_of_turn>model,4
what are the dates of the major battles in the american civil war?,3
what are the main components of a balance sheet?,5
tart_of_turn>user,3
let me know if you'd like more examples!,3
here are  new questions that fit the 'society & culture' topic:,0
here are  new questions that fit the 'business & finance' topic:,5
what team won the most recent super bowl?,4
let me know if you'd like more examples!,0
what are the rules for a penalty kick in soccer?,4
start_of_turn>model,4
what is the chemical formula for water?,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
how does a photovoltaic cell convert sunlight into electricity?,1
what are the rules of cricket?,4
here are  new questions that fit the 'sports' topic:,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
how does photosynthesis work?,3
what are the risks associated with excessive alcohol consumption?,2
"which basketball player is nicknamed ""the black mamba""?",4
what is the latest research on the effectiveness of different treatments for depression?,2
what are the symptoms of a heart attack?,2
how does compound interest work?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
how do religious beliefs influence social norms and values in [specific society]?,0
tart_of_turn>user,3
what are the symptoms of a heart attack?,2
how does cellular respiration work?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
tart_of_turn>user,2
here are five new questions that fit the 'health' topic:,2
start_of_turn>model,1
what is the fastest recorded speed in the tour de france?,4
how has the rise of social media impacted traditional forms of communication?,0
here are  new questions fitting the 'health' topic:,2
what is the most effective treatment for insomnia?,2
start_of_turn>model,4
what are the key performance indicators (kpis) used to measure the success of a marketing campaign?,5
in which country did the fifa world cup originate?,4
here are  new questions that fit the 'society & culture' topic:,0
what are some effective ways to prevent diabetes?,2
start_of_turn>model,3
tart_of_turn>user,5
explain the process of photosynthesis.,1
what are some of the major cultural influences on contemporary music?,0
how do social media platforms influence current trends and cultural norms?,0
let me know if you'd like more examples!,0
how has the internet impacted global communication and social interactions?,0
what are the symptoms of a stroke?,2
start_of_turn>model,0
tart_of_turn>user,0
please let me know if you'd like more examples!,0
"what is the pythagorean theorem, and how is it used?",1
what are the main differences between mitosis and meiosis?,1
what are the key factors considered by investors when evaluating a company's potential for growth?,5
what is the difference between a grand slam and a double in tennis?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
is there a cure for type  diabetes?,2
