text,label
who holds the record for the fastest   meter dash?,4
here are  new questions that fit the 'science & mathematics' topic:,1
what country dominated the medal count at the    summer olympics?,4
what are the symptoms of a common cold?,2
what are the symptoms of a heart attack?,2
what are the symptoms of a heart attack?,2
tart_of_turn>user,1
what is the pythagorean theorem and how is it used?,1
tart_of_turn>user,3
start_of_turn>model,3
"here are  new questions that fit the ""sports"" topic:",4
start_of_turn>model,3
explain the process of photosynthesis.,1
what is the recommended amount of exercise for adults per week?,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
what are the main principles of the theory of evolution?,3
"in which sport would you see a ""birdie"" or an ""eagle""?",4
let me know if you'd like more examples!,3
here are  new questions fitting the 'health' topic:,2
what is the pythagorean theorem and how is it used?,3
what are the main causes of rising homelessness rates in urban areas?,0
"who wrote the novel ""moby dick""?",3
what is the difference between a bull market and a bear market?,5
"what are some common stereotypes associated with different ethnic groups, and how do they perpetuate prejudice?",0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
what are some lifestyle changes that can reduce the risk of heart disease?,2
what is the difference between a sprain and a strain?,2
let me know if you'd like more examples!,4
what is the difference between a sprain and a strain?,2
here are five new questions that fit the 'health' topic:,2
"who wrote the novel ""pride and prejudice""?",3
what are the long-term effects of smoking marijuana?,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
here are  new questions that fit the 'society & culture' topic:,0
what are the main cultural differences between rural and urban communities in [specific country]?,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
who holds the record for the fastest time in the women's   meter sprint?,4
let me know if you'd like more examples!,3
how does compound interest work and why is it important for investors?,5
tart_of_turn>user,3
tart_of_turn>user,3
what are the four major professional baseball leagues in north america?,4
how has the internet impacted social interaction and relationships?,0
what is the cultural significance of the holi festival in india?,0
what are the major differences between eastern and western art styles?,0
let me know if you'd like more examples!,2
how can you effectively manage stress and anxiety?,2
start_of_turn>model,4
what are the major religious holidays celebrated in japan?,0
how do cultural beliefs and values shape people's views on healthcare and medicine?,0
what are the four fundamental forces of nature?,1
tart_of_turn>user,1
"if a train travels   miles per hour, how long will it take to travel   miles?",1
what are the symptoms of a heart attack and what should you do if you experience them?,2
who holds the record for the most home runs in major league baseball history?,4
how can stress negatively impact your physical health?,2
what are the main branches of philosophy?,3
which athlete holds the record for the fastest   meter dash?,4
tart_of_turn>user,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
what are the main factors that contribute to inflation?,5
tart_of_turn>user,0
start_of_turn>model,5
who holds the world record for the fastest   meter sprint?,4
start_of_turn>model,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
what are the different types of renewable energy sources?,3
what are the risks associated with long-term use of antibiotics?,2
what are the main branches of philosophy?,3
what is the difference between a stock and a bond?,5
let me know if you'd like more examples!,1
is there a link between diet and the risk of developing type  diabetes?,2
what are the symptoms of a heart attack?,2
"how does compound interest work, and why is it important for long-term savings?",5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
what is the process of photosynthesis?,1
here are  new questions that fit the 'education & reference' topic:,3
what are the social consequences of widespread access to social media and online platforms?,0
in what sport would you use a puck?,4
what is the difference between a meteor and a meteorite?,1
who holds the record for the most home runs in major league baseball history?,4
let me know if you'd like more examples!,3
what type of surface is used in a tennis grand slam tournament at wimbledon?,4
tart_of_turn>user,5
who is considered the greatest basketball player of all time?,4
what are the main principles of the scientific method?,3
start_of_turn>model,5
how do rainbows form?,1
what are the main traditions and rituals celebrated during diwali?,0
what are some natural ways to reduce stress and anxiety?,2
what are the properties of a noble gas?,3
what are some traditional values commonly found in inuit culture?,0
what are the key financial metrics investors use to evaluate a company's performance?,5
what are the social implications of increasing social media usage?,0
start_of_turn>model,1
what team won the most super bowl championships in nfl history?,4
how does photosynthesis work?,3
tart_of_turn>user,1
start_of_turn>model,1
what is the chemical formula for water?,1
what is the best diet for someone trying to lose weight?,2
which team recently won the nba championship?,4
what are the origins and cultural significance of the tradition of exchanging valentine's day cards?,0
explain the concept of net profit and how it is calculated.,5
explain the process of photosynthesis.,1
start_of_turn>model,2
here are  new questions that fit the 'business & finance' topic:,5
how has the development of social media impacted modern political discourse?,0
tart_of_turn>user,3
here are  new questions that fit the 'science & mathematics' topic:,1
in what sport is the tour de france held?,4
explain the difference between a meteor and a meteorite.,1
what is the pythagorean theorem and how is it used?,3
let me know if you'd like more examples!,2
what are the main differences between a roth ira and a traditional ira?,5
tart_of_turn>user,1
what is the difference between mitosis and meiosis?,3
what are some effective ways to manage chronic pain without medication?,2
start_of_turn>model,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
