text,label
"palestinian president yasser arafat remained in a delicate condition on saturday, as his most trusted associate insisted that arafat's health could take a turn for the better.",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
here are five paraphrased versions of the original text (sports-related events):,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"'visions for a more eco-friendly metropolis that utilize wind and solar power for its high-rise buildings have emerged as winners in a competition aimed at establishing a greener cityscape. power generated through these renewable energy sources is harnessed by skyscrapers to power themselves, making them a part of this more sustainable urban architecture.'",3
of_text|><|start_header_id|>system<|end_header_id|>,1
"in a historic moment, britain secured the gold medal in the    meters men's relay at the olympics, finishing just one hundredth of a second ahead of favored united states.",1
cutting knowledge date: december,3
today date:   jul,1
cutting knowledge date: december,1
cutting knowledge date: december,1
cutting knowledge date: december,2
"in the us baseball leagues, cleveland brings in pitcher kyle denny after signing him from buffalo. at the same time, montreal takes steps to activate players ohka and rauch, while placing nick johnson on the  -day disabled list. new york teams up with joe hietpas from binghamton.",1
"financial prudence can be achieved by obtaining free credit reports. as of march, illinois residents can obtain one free report from each of the three major credit bureaus, providing them with valuable insights into their financial well-being.",2
cutting knowledge date: december,3
algeria's membership in the world trade organisation might be jeopardized due to its legislature's decision not to lift the ban on the importation of alcoholic drinks.,2
"in the aftermath of the beslan crisis, russia aims to reinforce its stance against international terrorism through enhanced cooperation with the united states. russian president vladimir putin made a key announcement on monday to tighten the kremlin's grip.",0
today date:   jul,3
"as part of an effort to lower their next five-year financial expenditure of $   billion, the canadian government is considering the sale of state-owned properties as well as expanding their large-scale procurement methods, according to an announcement made by public works minister scott brison on tuesday.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'what manmohan singh will likely to say in his address to unga in his maiden address to the unga, the prime minister will appeal to the world community to redouble its efforts to combat terrorism and build a strong case for india # ;s inclusion in the un security council.'",0
today date:   jul,0
"top global technology companies, intel corp. and yahoo inc., displayed robust performances, boosting asian shares and reversing previous trends in oil prices which were near historical highs.",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
today date:   jul,1
of_text|><|start_header_id|>system<|end_header_id|>,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"""apocalyptic blockbusters swoon crowds los angeles - the cinematic spectacle that is ""resident evil: apocalypse"" cast a spell on its viewers, drawing in $ . million.""",0
cutting knowledge date: december,1
"given the original text: 'former dot-com hero faces closure by michael liedtke    san francisco (ap) -- commerce one inc. (cmrc), an internet software maker valued at \$  billion at the peak of dot-com mania, is poised to go out of business as a pauper.'",3
"after meeting with emergency management officials and state representatives, a decision was made to allow auburn university to hold the scheduled match against lsu on saturday.",1
"us sprinter dwight phillips clinches olympic long jump gold. american dwight phillips proved unbeatable in the men's long jump event at the olympics, as he secured his third global title by producing an impressive opening jump that left the competition behind.",1
"a lawsuit between microsoft and sendo came to an end with a settlement, which was reached after sends accused microsoft of taking its technology and customers.",3
of_text|><|start_header_id|>system<|end_header_id|>,1
"post-beslan, russia is set to escalate its involvement against international terrorism through closer cooperation with the us. russian president vladimir putin has announced decisive measures to reinforce the kremlin's stance.",0
cutting knowledge date: december,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'kennedy knicknacks to go on the block next year lovers of kennedy lore will get a rare chance at owning some common possessions of late president john f. kennedy and his family in an auction of art, furniture and other effects from their homes.'",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
cutting knowledge date: december,3
today date:   jul,0
dhaka receives a team of interpol experts to help scrutinize the recent blast at sheikh hasina's rally.,0
"a terrorist attack led to a plane disintegrating, and investigation at the crash site in russia revealed evidence of explosives having caused the incident, as part of a double plane crash earlier in the week.",0
"here are five paraphrased versions of the given text, along with the 'world' category:",0
"vijay singh, the current world number-one golfer from fiji, is set to participate in the   lumber classic golf tournament, hoping to secure his eighth decisive victory on the pga tour this year.",1
"'in a dramatic turn of events, a confrontation between police and a suspect in the netherlands concluded with multiple officers injured and an ongoing investigation into the reasons behind the violence.'",0
"chechen warlord shamil basayev claimed responsibility for the tragic russian school siege which resulted in the deaths of over   people, half of whom were children, and threatened further attacks on russian soil as he saw fit.",0
cutting knowledge date: december,3
"a disturbing incident involving the dave matthews band in chicago has left the city's authorities considering charges against the band and its bus driver for alleged breaches of environmental laws, causing widespread consternation among locals.",0
'advanced treatment for elderly vision loss edges nearer to government clearance after positive evaluation by authorities',2
"here are five paraphrased versions of the given text with the 'world' category in the form of a numbered list, each separated by new lines.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'ingram micro buys leading asia-pacific it distributor in a move the company says significantly strengthens its position in the growing asia pacific region, distributor ingram micro inc.'",2
"no.   tennessee defeated no.   florida  -  on saturday, securing a hard-fought victory after james wilhoit's  -yard field goal split the difference with only seconds remaining.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"a project is set to be undertaken to manage and preserve the pristine wilderness of the world's southernmost island, which was severely impacted by a failed logging project in chile's patagonia region.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'alcohol ban row rages in algeria algeria's chances of joining the world trade organisation (wto) may be scuppered by its parliament's refusal to lift a ban on alcohol imports.'",2
"'at the    olympics, greek judoka ilias iliadis wins the men # ;s under  kg gold medal with a nail-biting triumph against roman gontyuk of the ukraine. '",1
not even a trip to a familiar and successful stop on the atp tour schedule was enough to halt jan-michael gambill's recent slide in performance.,1
cutting knowledge date: december,0
"ibm has launched its t  thinkpad laptop, an innovative product that incorporates state-of-the-art biometric security. the addition of a fingerprint sensor facilitates secure password management and access control.",3
"india's golfing sensation, vijay kumar, aims to achieve his eighth pga tour triumph as he prepares to compete in the   lumber classic golf tournament, set to take place in pennsylvania on thursday.",1
"a new version of the zafi email worm is spreading, accompanying christmas messages that also contain its malicious code, as per antivirus software companies' reports.",3
of_text|><|start_header_id|>system<|end_header_id|>,1
"after microsoft and sendo have agreed to settle a lawsuit, allegations of technology theft and customer poaching by microsoft have come to an end. the agreement brings a close to a contentious period between the two companies.",3
here are five paraphrased versions of the given text with the 'world' category:,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'no.   tenn. stuns no.   florida  -  (ap) ap - james wilhoit kicked a  -yard field goal with six seconds to go to lift no.   tennessee to a  -  victory over  th-ranked florida on saturday night.'",1
tech giant ibm has unveiled a cutting-edge laptop that features advanced biometric security. the t  thinkpad model boasts a fingerprint sensor for authenticating users and safeguarding confidential files.,3
"fijian golfer vijay singh, ranking as the world's number-one player, is eager to make history by winning his eighth pga tour event as he competes in the   lumber classic golf tournament starting thursday in pennsylvania, usa.",1
cutting knowledge date: december,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'martin defends record in year-end interviews prime minister paul martin was eager to touch on a number of issues, from missile defence to taxes to same-sex marriage, when he sat down for his annual year-end interview on tuesday.'",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'ibm swipes at security with fingerprint-reading thinkpad ibm has released a biometric thinkpad - the t  laptop incorporates a fingerprint sensor for managing passwords and controlling access to sensitive documents and data.'",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'feds could sell off real estate, improve buying to save billions: brison (canadian press) canadian press - toronto (cp) - the federal government will look at selling off real estate and expanding its bulk buying as it aims to find  # ;  billion of savings over the next five years, public works minister scott brison confirmed tuesday.'",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
of_text|><|start_header_id|>system<|end_header_id|>,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'gambill # ;s slump worsens delray beach  a return to one of his favorite and most successful atp tour stops wasn # ;t enough to stop jan-michael gambill # ;s slide.'",1
'breakthrough drug for common elderly affliction gains government support after positive panel review',2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
cutting knowledge date: december,2
of_text|><|start_header_id|>system<|end_header_id|>,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'transactions baseball cleveland (al): purchased the contract of rhp kyle denney from buffalo (il). montreal (nl): activated rhps tomo ohka and jon rauch; transferred   nick johnson to  -day dl. new york (nl): called up c joe hietpas from binghamton (el).'",1
of_text|><|start_header_id|>system<|end_header_id|>,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
of_text|><|start_header_id|>system<|end_header_id|>,0
"here are the paraphrased examples with the given text in the form of a numbered list separated by new lines, categorized as 'science and technology':",3
algeria's bid to enter the world trade organisation may be sabotaged by its parliament's refusal to ease the prohibition on importing alcoholic beverages.,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'best software overhauls act best software launched this week an overhaul of its act contact management software, adding to the product line a second version with more scalability and advanced functionality.'",3
"kuwaiti firm to suspend operations in iraq, a result of mounting pressure from iraqi kidnappers holding seven of its employees as hostage, the company has agreed to cease its activities in the war-torn country.",0
"internet software developer commerce one inc. faces a dismal future, having once being priced at \$  billion during the height of dot-com frenzy.",3
of_text|><|start_header_id|>system<|end_header_id|>,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'auburn, lsu will play saturday following consultation with state government, emergency management officials, and southeastern conference representatives, auburn university announced at    am friday that the sept.'",1
"'shares in tech giant target surged on strong earnings and a successful discount chain sale, pushing the stock beyond expectations.'",2
"on tuesday, the detroit tigers took a strategic step to keep their manager alan trammell on board by exercising his contract option, securing his commitment to the team through the    season.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
