,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,when the cockroach scurried between my drink  plate and then the salt and pepper i made  a quick escape  sadly the food here is pretty good but the place has become nasty the gray film on the white phone the front door and the restrooms should have been enough to worn me off,0,0,0.24999941870074913,0.5007624298334121,0.217956440724665,18,1
1,as a louisiana native i was not impressed,1,0,0.2495602482745181,0.4790297418832779,0.20594534423470273,20,0
2,update will never go here again they served me rancid beef even though they refunded my money they never apologized and i cant trust someplace that serves me rancid cooked meat to take care of their raw fish properly,2,0,0.24930560357574522,0.5263514026999474,0.23660577246929027,20,0
3,the most expensive iphone repair dealer i had a iphone 5 with a broken screen and they wanted to charge me 415 for them to replace  stay away,3,0,0.2490916565342587,0.5301387369632721,0.23349093549485864,20,0
4,if you like beer im more of a mixed drink guy and drunk college students mostly dudes this place rocks  otherwise it is incredibly humid and sticky inside the warehouse that they have converted into a bar and grill and the prices are a bit steep,4,0,0.24997568922255625,0.4950694039463997,0.20133067015356287,20,0
5,food was very mediocre and relatively overpriced and theres a platesplitting charge the mango margarita i ordered was strong but not very good they also sat us by the door leading outside so every time the waiters came in and out we were struck by a blast of freezing air,5,0,0.24989477368879695,0.510257987678051,0.217749051092388,20,0
6,over priced casino bar would rather be on the strip and get original martinis and douchey atmosphere at these prices,6,0,0.2499786604947139,0.4953805297613144,0.2154922345777647,20,0
7,i am not going back there after getting a second consultation i found out that they made a completely wrong diagnosis and they wanted to drug me with too many useless overthecounter medicaments the place is also very squeezy,7,0,0.24833641350298397,0.5407870873808861,0.2441365583596172,20,0
8,had muffler service here almost changed the whole thing that got quite rusty the price was very good but the work needed fix just after 2 months and the new mechanic was surprised at the low quality of the work and with the current fix the price is no longer good,8,0,0.24942551851289954,0.5239683434367179,0.23155962443653713,20,0
9,toilet leaked filthy carpets had to call for maid service both days we were here long 45 minute check in wonder why hilton dropped this hotel do yourself a favor ang go across the street to marriott summerfield suites sp fail,9,0,0.24959836927487175,0.5200407266616821,0.23229593473499988,20,0
10,please there is only one  in nyc it was over just before that terrible movie came out  keep it real  5 pabst and 5 shots of whatt,10,0,0.2498803520567593,0.5109383702278137,0.23373130562857727,16,1
11,we have enjoyed the food and the beer selection just make sure you check your bill after a bad experience we will likely not go back,11,0,0.24976652284861245,0.5152799591422081,0.2306382178388063,20,0
12,one of the most overrated restaurants in canada greasy ass food salty as fuck and people call it good,12,0,0.24996107103047951,0.5062393084168434,0.22323551199489394,20,0
13,i had a horrible service and a bad experience very similar to the other reviewers nnvery unprofessional and not sure if they have any clues as to what they are doing nndo yourself a big big favor and do not use them itll save you some headache,13,0,0.24932454311758603,0.5259895533323288,0.23120145647882345,20,0
14,dont ever go there for eye brown waxing i told the lady i just wanted to clean up and she took half of my eyebrown also she made one was thinner than other really disappointed,14,0,0.24878887958778417,0.5348011553287506,0.23775662009605558,20,0
15,i purchased two salads to serve with stromboliboth were wilted orange oldthrew them away,15,0,0.24941978226605213,0.5240877091884613,0.23913109188333592,20,0
16,gaming darts pool table food and great staff its alittle smoky in there but its my pts,16,0,0.24709534379259046,0.44610513746738434,0.17429999195586446,13,1
17,terribleni dont know how can get some good reviews because theyre really not good we had a terrible family trip to stay there their ac are mostly not working no useful things in the room and they even charge you extra for the water after you leftndont go there it will ruin your day,17,0,0.2495272298528828,0.5217432782053948,0.22832213609088797,20,0
18,not safe nnlock on door doesnt worknnstaff is unhelpfulnnthey made lots of mistakesnneach mistake cost a few nngo elsewhere,18,0,0.24922543078920395,0.527831083536148,0.2359195649012103,20,0
19,very nice people so many good chinese places in townthis place is just not one of them,19,0,0.24997931474902843,0.49545189589262006,0.22693790711372647,20,0
20,pretty good the meat is great they mix orders up sometimes and you dont always get what youre supposed to otherwise pretty good food and nice people,20,1,0.24967169617277918,0.5181191563606262,0.23750231607910352,12,0
21,place needs some work to be done but overall i get excellent service here during the late hours after a night at the disco hasnt let me down yet,21,1,0.2499155689201727,0.5091886386275292,0.23120109399520175,12,0
22,great value terrible casino but nice clean rooms internet is 14 bucks for 24 hours,22,1,0.24999709862332145,0.498296657204628,0.23298285848264882,12,0
23,stopped for lunch with my daughter she had the spaghetti and i had the calzone huge servings the food was good but honestly have has better italian staff was great it was a good experience will come back for lunch again,23,1,0.249983423839016,0.5040713831782341,0.23141889210008093,13,0
24,pretty cool view of phx zoo see distant view of downtown def worth checking out if on the way small hike as in maybe 5 mins walk from nearest parking lot to the sitting inside the hole,24,1,0.24999254049197217,0.5027312099933624,0.22592182974484476,13,0
25,i thought their juice was okay  they are super pricey compared to some of local competitors around fashion square almost 11 dollars for a single bottle of juice i think i will stick with juice core or chop shop,25,1,0.24952688356299446,0.5217512398958206,0.23455400349560662,13,0
26,fashion show mall location the food was good and priced well you pay per topping on the pizza and the toppings are different prices pesto pizza with artichokes  red peppers olives  and sliced meatballs would be a 4 star but the service wasnt good we did a lot of waiting around for our server,26,1,0.24954965056707853,0.5212214380502701,0.23144404612175382,14,0
27,not enough wait staff on friday nights in the winter for all the snowbirds cant handle food fast enough for a crowd  nnupdatenthey are trying to improve  they have put on more staff since my review nnlive music on the week ends,27,1,0.249733739771629,0.5163174822926522,0.22734276158896635,14,0
28,the service is good but championship didnt really come to mind more like decent id go back but i wouldnt go out of my way,28,1,0.24999884872251812,0.4989270240068436,0.21875141091836536,12,0
29,really good fast food they have great service willing to give you extras and make you feel like your not overpaying but at a 150 surcharge for guacamole they arent fooling anyone i cant dock them for the freshness meat is always top notch and unlike taco bell doesnt give you explosive diarrhea,29,1,0.24934896064325343,0.5255154728889465,0.23226277244651442,13,0
30,its not much different from most other mcdonalds even if they are really busy i still get my food fast and accurate customer service is average,30,1,0.2495400038237318,0.5214475214481353,0.23507919150436857,13,0
31,good food  best in the area for bbq  really long wait and not the best service  i wouldnt mind but when its cold there is no space for those waiting got yelled at for trying to get a drink from the bar while waiting for a table,31,1,0.24983935916380762,0.5126744166016579,0.2182998619227938,13,0
32,i was looking for a large cocktail ring  the salesclerk was patient and helpful  this boutique has just about everything  the prices are reasonable too,32,1,0.24986626952824761,0.48843581080436704,0.20920860925485676,13,0
33,food was ok  prices are decent for a place on the strip at new york new york  it was cool to sit in the patio area in the streets of nyc,33,1,0.24978971124792365,0.5145013362169266,0.236262983103684,13,0
34,sushi was pretty good and the best green mussels ive ever had service was slow but 35 for all you can eat and drink hell ya,34,1,0.24993157402167204,0.5082719996571541,0.22806398318502613,12,0
35,the iowa cafe is moving its location to higley and brown the food is good and like the claim it taste home cooked friendly wait staff good service quaint atmosphere i ordered the home made meatloaf and mashed potatoes there were smothered with a brown gravy 795 good food good price,35,1,0.2489040024839028,0.4668941468000412,0.21408446809271395,11,1
36,everybody is here right now for the budget  kids this is the spot though there is plenty pg13 things to do within excalibur mgm grand  new york new york put on comfy shoes unless u hitting the club cuz you will b walking,36,1,0.24992933347982138,0.5084063380956649,0.22212524309051798,13,0
37,huge beer selection and a lot of tvs the only reason for 3 stars is the price of beers i felt the price on some beers are way pricy,37,1,0.24974975420378304,0.4841808408498764,0.20530029965122698,12,0
38,has a great philly cheese  but service is hit or miss you never know what kind of service you will get most of the time its not the best i call my order in or use the app grub hub and half the time i come in 10 mins later and they havent even started it and its not even busy,38,1,0.24999780322266588,0.4985178470611572,0.2071216061428492,13,0
39,yah for good donuts coffee not so much lol   but its such a cute mom and pops shop you cant help but not mind the diluted coffee  anywhoo they have nice prices and good donuts recommend for a quick stop,39,1,0.2485662565977549,0.5378648042678833,0.24212505120995065,14,0
40,the service is wonderful friendly people and the service is wonderful this place deserves a six star rating a must try,40,2,0.24802092715937565,0.5444867715239525,0.2682211210903871,14,0
41,cool place nice outside bier garden live music tons of craft beers,41,2,0.24689437419329802,0.5557281419634819,0.26927812621723085,15,0
42,we got a groupon for when we were visiting over thanksgivingnnthe best thing i liked was that they offered different sizes not just a medium and a large but small to extra largennwe havent had much time to try it since were still working on getting home but what i have had has pretty good,42,2,0.24760737377162556,0.4510855212807655,0.24049479116273104,5,0
43,cheap way to get your veggies in it helped make me a better cook and to learn to cook new things  it is a little too much for once person so i found myself either cooking and freezing or tossing stuff  it is a great deal  everyone should check it out at least once,43,2,0.24988364089331533,0.4892130121588707,0.2515005477718562,7,0
44,delicious food good wine super friendly and entertaining service chill atmosphere and live music  i will be back,44,2,0.24786717946251632,0.5461824700236321,0.271076876267643,14,0
45,the banana nut muffins are worth the trip alone  i had the chocolate chip pancakes and they were great overall nice atmosphere friendly service and great food with generous portions  will definitely go back to try some other pancake combinations,45,2,0.2499276962720443,0.5085031598806381,0.25529124931304387,8,0
46,i so love it great food nice and fresh,46,2,0.2466918960685116,0.5575161188840866,0.2690352765377119,15,0
47,my favorite burger spot in charlotte,47,2,0.24952248996323032,0.5218520030379296,0.2561322041579091,14,0
48,ive been hoping an amazing indian restaurant would open up in phoenix its happened food was delicious and authentic staff was very friendly and welcoming chicken tikka masala amazing vindaloo was authentically spicy,48,2,0.24713511177457942,0.5535246506333351,0.2691798229524129,14,0
49,very nice for vegetarians  little expensive bit great for special occasions  loved their fries,49,2,0.24835787632149114,0.540523125231266,0.27008720746246767,14,0
50,ann did a great job so happy i stopped in i been trying for months to do my nails like i like not straight thin nail finally found my new nail place,50,2,0.24826287765649954,0.541678799688816,0.2726762600788381,12,0
51,best burger of my entire life no joke so juicy get the brie and mushroom angus burger,51,2,0.24824726249919316,0.5418657079339028,0.2669508734281158,14,0
52,used their service for an emergency was referred by nissan they were quick and polite i was impressed by the service,52,2,0.2483564008051063,0.5405413269996643,0.2691965117832686,14,0
53,wow very romantic terrace seating the food was amazing go with the wine pairing they have picked the perfect compliment to each course the staff is very knowledgeable and attentive if you are in the area this restaurant is a must,53,2,0.2477664997417772,0.5472599223256112,0.27465939140153883,14,0
54,obwohl glutamat so ganz habe ich no glutamat eh nicht geglaubt es schmeckt gut es werden frische zutaten verwendet und die saucen heben sich doch vom durchschnitt nach oben ab meines erachtens eine empfehlung unter beru00fccksichtigung des preis leistungsverhu00e4ltnisses,54,2,0.24982107128855544,0.4866235762834549,0.22269228190946297,14,0
55,great place they will order stuff for you from other stores no shipping and the best return policy ever if you dont like itreturn it christian is the man thanks for all the help,55,2,0.24878770088533989,0.5348180860280991,0.2681212364675533,12,0
56,currently taking lessons from nick o and having a blast learning how to play guitar nick is great at determining how well ive progressed through the week and through practice very talented guitarist and very skilled instructor,56,2,0.2490821361713836,0.5302962675690651,0.268017846439926,12,0
57,best pork chop ive ever had rib eye is still amazing wasabi mashed potatoes are great and you cant go wrong wsauteed mushrooms once again service was impeccable,57,2,0.24765324066681926,0.5484433621168137,0.27060932710783814,14,0
58,the dry aged prime rib is like butter meat butter with a hint of salt from heaven old school wait staff is great too he totally hates me for reviewing this at the table very classy place,58,2,0.2478506690693024,0.5463608771562576,0.27291931276748677,14,0
59,great food  blood mary bar  done,59,2,0.24935227367535617,0.5254504680633545,0.2547504475982683,15,0
