premise,label,hypothesis
charlotte square is arguably the jewel of the new town.,0,those who are familiar with the new town often consider charlotte square to be its most impressive feature.
i knew that.,0,i was aware of that information before.
no i don't my my wife has been working with them,2,"**there was a misunderstanding, and the speaker's wife has not been working with them.**"
people in hollywood accept this instability as the cost of doing business.,1,tart_of_turn>user
mls is major-league sport with minor-league charm.,0,tart_of_turn>user
the federal cio is also subject to a funding process that is more complex and uncertain than in most other organizations.,2,start_of_turn>model
no i don't my my wife has been working with them,2,**the speaker is the one working with them.**
"the critical instance case study examines one, or very few, sites for one of two purposes.",1,let me know if you'd like more examples!
not all the way--he has not yet succeeded in building a durable majority on the court.,2,the court has already been solidified with a lasting majority.
all villas feature traditional 19th-century jamaican architecture for an authentic old world atmosphere.,2,some villas prioritize contemporary design over traditional aesthetics.
"these trends also contribute to a huge, longer-range fiscal and budgetary challenge facing the united states.",0,let me know if you'd like more examples!
how were discrepant findings resolved?,1,there may not have been a definitive solution to the discrepancy.
that's right i mean the israeli's aren't they're not afraid of anything,0,tart_of_turn>user
oh that's great yeah yeah i don't do a whole it uh time seems to be hard to find for anything you want to do i don't know why,1,the speaker is trying to express a general feeling of being busy.
humidity or something,2,temperature is the primary factor affecting the environment.
over time these distinctions have deteriorated.,1,recognition of these distinctions has become more subjective.
"it is difficult to fix precisely the dates of the various festivals, as most of them are determined by lunar calendars which vary from year to year.",0,"because festivals rely on lunar calendars, their scheduling can vary significantly from year to year."
"i must say ” ”"" but i stopped suddenly. ",0,a pause occurred in the speaker's speech before they continued.
"a ritualistic mark of bravery for carib warriors was cannibalism, and it's for this that history most remembers the indians who invented the hammock and gave their name to the caribbean.",0,carib warriors' acts of cannibalism were seen as a symbol of bravery within their culture.
no not really you know in the last few years just his kind of informal segments i've seen but i never got to see his actual nightly news i liked i i did grow up with david brinkley,0,the speaker's childhood included watching david brinkley's broadcasts.
"before function is compromised, problematic consumption occurs.",2,**problematic consumption is never linked to a compromised function.**
the man's right arm had been broken and completely twisted around.,0,the man's right arm was dislocated and injured.
legal aid has uncomfortable company.,1,legal aid often works with organizations that have controversial reputations.
i see it in my dreams sometimes… .,2,tart_of_turn>user
not all the way--he has not yet succeeded in building a durable majority on the court.,2,his efforts have consistently resulted in strong court support.
grass became rock and rock became sand.,2,"the transformation from rock to sand happened over a geological timescale, not suddenly."
humidity or something,2,the sentence is a random string of words.
"i must say ” ”"" but i stopped suddenly. ",0,the speaker was about to utter a phrase but halted abruptly.
yeah there there's a lot of energy i i i like to belly dance too but there's not the same you know you don't get the aerobic,1,aerobic exercise is valued by some.
no i don't my my wife has been working with them,2,tart_of_turn>user
"a ritualistic mark of bravery for carib warriors was cannibalism, and it's for this that history most remembers the indians who invented the hammock and gave their name to the caribbean.",0,tart_of_turn>user
"these trends also contribute to a huge, longer-range fiscal and budgetary challenge facing the united states.",0,managing the long-term financial and budgetary challenges is a significant concern for the us government.
that's right i mean the israeli's aren't they're not afraid of anything,0,israelis are unfazed by danger.
not all the way--he has not yet succeeded in building a durable majority on the court.,2,start_of_turn>model
oh that's great yeah yeah i don't do a whole it uh time seems to be hard to find for anything you want to do i don't know why,1,the speaker feels that there are limited opportunities available.
charlotte square is arguably the jewel of the new town.,0,charlotte square is considered a highly valuable or important place in the new town.
"these trends also contribute to a huge, longer-range fiscal and budgetary challenge facing the united states.",0,tart_of_turn>user
a flicker of firelight caught the small man's eyes.,2,the small man was completely oblivious to the firelight.
" ibiza town itself is not the place to go for the club scene, although dalt vila has a few gay bars and there is plenty of other entertainment available.",0,tart_of_turn>user
the man's right arm had been broken and completely twisted around.,0,tart_of_turn>user
that hit him harder than any other discovery.,1,the discovery was unexpected.
