text,label
how many sides does a hexagon have?,1
cutting knowledge date: december,3
today date:   jul,3
of_text|><|start_header_id|>system<|end_header_id|>,2
what is the largest ipo in the us history?,5
what auto racing circuit hosted the first formula  world drivers' championship?,4
"based on the provided examples and their classifications, here are five new questions that fit the 'business & finance' topic:",5
"in which winter sport, does one point go to a player who can land a jump with all the three skis leaving the ground?",4
who is the founder of the open university?,3
who is a famous british punk rock guitarist and the bassist of the clash?,0
they involve human physical or mental well-being.,2
cutting knowledge date: december,0
cutting knowledge date: december,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
which french artist is known for his iconic work `` water lilies '' in the musée de l'oeuvre national fernand léger?,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
what is the term for the inability to hear or understand speech but having no difficulty with other sounds?,2
"who was the famous american abolitionist who published ""narrative of the life of frederick douglass""?",0
what is the primary language spoken by the majority of the population in ethiopia?,0
of_text|><|start_header_id|>system<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
"what is the name of the famous music festival that takes place in glastonbury, england?",0
cutting knowledge date: december,3
who is the renowned indian author known for his booker prize-winning novel `` midnight's children ''?,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
what is the average lifespan of a person with cystic fibrosis?,2
of_text|><|start_header_id|>system<|end_header_id|>,3
which famous american holiday is celebrated on the first monday after new year's day?,0
what was the original name of ibm when it started in    and how was it incorporated initially?,5
what is the process of mitosis in biology?,3
what term is used to describe the process in which the price of an asset increases or decreases over time in the stock market?,5
cutting knowledge date: december,5
of_text|><|start_header_id|>system<|end_header_id|>,1
"based on the examples provided, here are  new questions that fit the 'society & culture' topic:",0
today date:   jul,3
what is the process by which plants convert light energy into chemical energy?,1
of_text|><|start_header_id|>system<|end_header_id|>,4
"based on the provided examples, i'll generate  new questions that fit the 'health' topic. here they are:",2
what is the process of immunization against smallpox?,2
