premise,label,hypothesis
well you weren't charging gold and silver were you you can't do that can you,0,'you weren't taking money for gold and silver but you aren't able to do so.'
right exactly i was a i was a boy scout and as part of being a boy scout you had to do you know projects all throughout and then to become an eagle scout you have to spend a do a year long project for,0,of_text|><|start_header_id|>system<|end_header_id|>
you know they match it um my wife used to they matched hers only hers was a little bit better than ours um she hasn't been working for a couple of years her father took sick so she's been taking care of him,1,her father's health is a challenge for the entire family.'
"on the subject of clinton's aggressive fund raising, morris recently told the new york daily news , i just think he overdid it.",2,'i completely agree with morris on the issue of clinton's fund raising.'
but the standard for appointing an independent counsel can't be that broad.,2,of_text|><|start_header_id|>system<|end_header_id|>
"apaches, they are not stupid.",2,'apaches demonstrate total mental incapacitation in all their actions.'
"the cook may be from valencia, the cuisine advertised as  french,  and the customer may want nothing more daring than a steak.",2,the customer will have an exciting experience when the food does challenge them to try new things.
"issues in data synthesis, eds.",0,of_text|><|start_header_id|>system<|end_header_id|>
"the cook may be from valencia, the cuisine advertised as  french,  and the customer may want nothing more daring than a steak.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"the pedestrian plaza in the city centre is bounded at one end by the ulu camii (great mosque), built in the 14th century with stone quarried from uluda .",0,"in the middle of the city centre, the pedestrian walking area has the  th century ulu camii on one borderline, a building made of stones extracted from uluda."
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,today date:   jul
"and as for hillary, forget it.",0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
i've seen on tv where they take animals and young children in fact my daughter is one my wife took my daughters one year when they were getting some points for school took them to an elderly home and boy that really pumps them up that uh,0,"'my daughter has gone on a unique experience since her childhood, where her mother took her, a young girl, to meet seniors; what my wife and i watched on tv also involved animals and young children.'"
i had to be guarded in what i said.,0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
oh are you in dallas,0,'are you now staying in the dallas area?'
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,'and uh of course there's a lack of another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations don't have a way to sell or provide their members' mailing lists to other organizations.'
"this original doctrine, without any sense of buddha's divinity, was embraced by the hinayana (lesser vehicle) school which spread to sri lanka, burma, and thailand, as well as cambodia and laos.",0,cutting knowledge date: december
"on the subject of clinton's aggressive fund raising, morris recently told the new york daily news , i just think he overdid it.",2,'there's no issue with clinton's fund raising according to morris.'
"it is also said that seleyman, in awe of his architect's achievement, handed the keys to sinan at the inauguration ceremony and allowed him the privilege of opening it.",1,'it's rumored that sinan was allowed such an honor by seleyman at the inauguration ceremony.'
"try to arrive as the chapel opens or at sunset (see page 39) and make your way to the upper level, where light blazes in through 15 stained-glass windows separated by buttresses so slim that there seems to be no wall at all.",1,"*paraphrased  with a bit of elaboration:** 'many chapels that i've seen usually have two levels, with one level housing the choir or a significant architectural feature.'"
we come after senor juanito because he dropped his purse.,1,cutting knowledge date: december
don't confine your visit to the mountain only.,0,cutting knowledge date: december
"elementary, my dear watson the smell of onions is unmistakable.""",2,'i'm not so sure if the smell of onions is truly unmistakable.'
"you will probably find the island mascot petrosea pelican (the older petroseow has two young apprentices, both also called petrosewaddling among the boats, hoping for a fishy tidbit.",1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"this original doctrine, without any sense of buddha's divinity, was embraced by the hinayana (lesser vehicle) school which spread to sri lanka, burma, and thailand, as well as cambodia and laos.",0,"'in these countries - sri lanka, cambodia, laos, thailand, and burma - the doctrine of no buddha divinity emerged as their primary belief.'"
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,of_text|><|start_header_id|>system<|end_header_id|>
"apaches, they are not stupid.",2,of_text|><|start_header_id|>system<|end_header_id|>
that's what we that's the way we call it which is really wrong but my wife's mother and the one she's in san antonio it's you know it's everything but the opposite of what you've seen i mean it's it's a little hotel hotel you might say,0,"'that's the name we use, and it's the opposite of what you've seen, just like the name says.'"
"one possibility is that studies report different estimates of the single true relationship between a given pollutant and a health effect due to differences in study design, random chance, or other factors.",0,"'due to differences in study design, random chance, or other factors, different studies have varied findings about the relationship between a pollutant and a health effect.'"
"give yourself a bare minimum of three days, time to get lost (you're never very far from the main landmarks signposted with bright yellow arrows).",1,of_text|><|start_header_id|>system<|end_header_id|>
uh they finally got smart and got a riding lawn mower which was a big improvement for for us  us kids who had to go out there and uh mow the the grass every every week,1,cutting knowledge date: december
"super-paradise, in the next bay, is a gay, clothing-optional beach.",0,super paradise doesn't require people to wear clothing.'
"some are put off by the cost of a hiring a divorce lawyer, which starts at about $1,500.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
'indeed he is.',1,of_text|><|start_header_id|>system<|end_header_id|>
"these havens of relaxation set among golf courses, gardens, and orchards still do the mountain ranges of the peninsula's interior, but they are now holiday resorts.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
this ricardian equivalence hypothesis holds that people are forward-looking and recognize that current government surpluses or deficits affect government debt and future tax rates.,0,today date:   jul
i had to be guarded in what i said.,0,cutting knowledge date: december
"one possibility is that studies report different estimates of the single true relationship between a given pollutant and a health effect due to differences in study design, random chance, or other factors.",0,"'the inconsistency in findings regarding the relationship between a pollutant and a health effect can be due to differences in study design, random chance, or other influencing factors.'"
"try to arrive as the chapel opens or at sunset (see page 39) and make your way to the upper level, where light blazes in through 15 stained-glass windows separated by buttresses so slim that there seems to be no wall at all.",1,*original :** 'there is a structure having an upper level above the lower one.'
i had to be guarded in what i said.,0,it was crucial to be careful with what i said.
"like, thank god for",0,cutting knowledge date: december
i had to be guarded in what i said.,0,of_text|><|start_header_id|>system<|end_header_id|>
and so they've already shifted the risk if they assume that car then they just have to sell it themselves and they'll recover the loan,2,"if they borrow the car, recovering the loan is not a risk."
"biologist ian wilmut's team also cloned lambs out of dna derived from sheep-fetus fibroblasts, cells found in connective tissue.",2,ian wilmut's work is completely unrelated to biology.
"biologist ian wilmut's team also cloned lambs out of dna derived from sheep-fetus fibroblasts, cells found in connective tissue.",2,cutting knowledge date: december
yeah that's too bad because i mean i've been in the carolinas and you know there are some places in the carolinas it's really nice there,1,it's a shame you feel that way since i know the carolinas have some great spots.
foreign ships carried new diseases to the islands as well.,1,today date:   jul
in some states yeah because it's reasonable now uh you know me with me being from louisville i'm going to say at louisville is unfair because louisville's got the highest uh uh the line the line the line drawn i don't know the correct word for it  but louisville's is higher than most other universities and,2,'louisville is not easy at all compared to other states.'
don't confine your visit to the mountain only.,0,your exploration should only limit you to the mountain.
the two aicpa field work standards for attestation engagements are as follows.,1,cutting knowledge date: december
"so unlike the truly new generation, i wasn't faced with the debt burden.",1,today date:   jul
is the cost-cutting story plausible?,2,its possible to have a cost-cutting story.
don't confine your visit to the mountain only.,0,please don't restrict your exploration to the mountain area alone.
yeah that's too bad because i mean i've been in the carolinas and you know there are some places in the carolinas it's really nice there,1,"i see you're upset about this, but as someone who's visited the carolinas, i can attest that they have beautiful spots."
"it is difficult to believe that these bizarre shapes, staircases going nowhere, and windows in walls without rooms were built in 1724 by a serious student, rather than in the last century by some deranged architect.",2,cutting knowledge date: december
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,'she explicitly asked me for my expert assessment of her relationship with her husband.'
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,'and uh of course there's another aspect of this  too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that no professional organizations sell their mailing lists.'
l. 104134 directed the department to issue interim regulations within 30 days of the date of enactment.,1,today date:   jul
prairie state will share the money with the county.,1,cutting knowledge date: december
but the standard for appointing an independent counsel can't be that broad.,2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
'indeed he is.',1,cutting knowledge date: december
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,their content emphasizes serious issues in society.
"these havens of relaxation set among golf courses, gardens, and orchards still do the mountain ranges of the peninsula's interior, but they are now holiday resorts.",2,the serene and picturesque havens found within the peninsula's mountain ranges and countryside are no longer considered getaway spots.
"the cook may be from valencia, the cuisine advertised as  french,  and the customer may want nothing more daring than a steak.",2,today date:   jul
l. 104134 directed the department to issue interim regulations within 30 days of the date of enactment.,1,the speed of the department in issuing interim regulations is not necessarily related to past enactments.
"st. peter's basilica is the largest of all roman catholic churches and by any standards a grandiose achievement, but it inevitably suffered from the competing visions of all the architects called in to collaborate bramante, giuliano da sangallo, raphael, baldassare peruzzi, michelangelo, giacomo della porta, domenico fontana, and carlo maderno each adding, subtracting, and modifying, often with a pope looking over his shoulder.",2,cutting knowledge date: december
"give yourself a bare minimum of three days, time to get lost (you're never very far from the main landmarks signposted with bright yellow arrows).",1,cutting knowledge date: december
oh are you in dallas,0,cutting knowledge date: december
"issues in data synthesis, eds.",0,'there are problems in the process of generating data'
"so unlike the truly new generation, i wasn't faced with the debt burden.",1,the majority of those who come after me in age have considerable financial issues.
"like, thank god for",0,"a feeling of gratitude and admiration for a higher power is present, and i want to acknowledge it."
'indeed he is.',1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"most of madeira's good hotels have their own swimming pools, but if yours doesn't, year-round swimming is open to the public at the excellent complexo balnear do lido (lido swimming complex; tel. 291/762 217) in funchal's tourist zone.",1,today date:   jul
i had to be guarded in what i said.,0,today date:   jul
well you weren't charging gold and silver were you you can't do that can you,0,"'gold and silver are not the kind of things you can charge for, and you were indeed charging for them.'"
"st. peter's basilica is the largest of all roman catholic churches and by any standards a grandiose achievement, but it inevitably suffered from the competing visions of all the architects called in to collaborate bramante, giuliano da sangallo, raphael, baldassare peruzzi, michelangelo, giacomo della porta, domenico fontana, and carlo maderno each adding, subtracting, and modifying, often with a pope looking over his shoulder.",2,'michelangelo is known not to have participated in the st. peter's basilica.'
"also health club, sauna, turkish bath, jacuzzi.",1,of_text|><|start_header_id|>system<|end_header_id|>
"you will probably find the island mascot petrosea pelican (the older petroseow has two young apprentices, both also called petrosewaddling among the boats, hoping for a fishy tidbit.",1,"'on the island, petrosea pelican is a well-known mascot.'"
we come after senor juanito because he dropped his purse.,1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
we don't expect badinage from the pillsbury doughboy or banter from betty crocker.,2,they don't expect anything special from the pillsbury doughboy or banter from betty crocker.
"but, hey, where is the millennium?",2,cutting knowledge date: december
the two aicpa field work standards for attestation engagements are as follows.,1,specific field work standards are used by the aicpa in its government-related practices.
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"issues in data synthesis, eds.",0,'there are problems associated with creating data'
is the cost-cutting story plausible?,2,i think cost-cutting is a believable story.
"one possibility is that studies report different estimates of the single true relationship between a given pollutant and a health effect due to differences in study design, random chance, or other factors.",0,"'variations in study design, random chance, and other factors contribute to differences in estimates of the relationship between a pollutant and a health effect.'"
uh they finally got smart and got a riding lawn mower which was a big improvement for for us  us kids who had to go out there and uh mow the the grass every every week,1,today date:   jul
"expenses are reported on an accrual basis, including contractual amounts due for counseling services",2,cutting knowledge date: december
i took the oilskin packet from round my neck and shoved it right in as far as i could.,0,cutting knowledge date: december
"the cook may be from valencia, the cuisine advertised as  french,  and the customer may want nothing more daring than a steak.",2,cutting knowledge date: december
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,cutting knowledge date: december
oh those hedges when they started moving whenever they  they made that into a movie i was thinking oh my gosh if they show that i'll just die for some reason that scared me more than anything,2,"what a nice garden, incidentally the hedges didn't become part of that movie i was happy that they didn't film it and that really wasn't something that scared me for some reason."
