text,label
"manchester united and jose mourinho join forces: the premier league club and jose mourinho have reached a manager deal, finalizing his new role after three days of negotiations.",1
"stem cell research has made a significant stride forward with the successful creation of lab-grown human heart muscle, paving the way for innovative solutions to the long-standing issue of heart donor scarcity.",3
"in a stunning upset, the u.s. chess squad emerged victorious in the olympic games, making their mark in baku.",1
"here are five paraphrased versions of the text, all labeled as ""world"" category, with a numbering system for clarity:",0
"scientists successfully capture a dramatic solar event on video as sun's dynamic plasma 'arms' emanate from a major sunspot, offering a breathtaking glimpse of our star's activity.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
"when it comes to the super bowl, houstonians are in for a letdown with next year's lackluster mascot.",1
"based on the examples provided, i will paraphrase the given text with the 'science and technology' category. here are five paraphrased versions:",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"a us senator will vote in favour of the nomination of dr. ben carson to a government post, despite some initial reservations.",0
cutting knowledge date: december,3
silicon valley should express gratitude to chile for its remarkable transformation from an underutilized hub to a significant player in the global entrepreneurship arena.,3
cutting knowledge date: december,3
cutting knowledge date: december,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"an agreement has been reached between verizon and labor unions that could put an end to the largest strike in five years, bringing relief to those affected.",2
cutting knowledge date: december,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"the penultimate round has concluded, leaving only one team to enter the final phase of the competition.",1
"young patriots enthusiast overflows with joy upon buying tickets to a live game, the occasion making headlines with #bellagate trending online.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'verizon ny charged 'basic rate' phone customers multiple rate increases for the deployment of the fios, title ii, fttp broadband networks '",2
"here is the paraphrased text 'u.s. chess team wins olympic gold in baku'in the 'sports' category, five times:",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
cutting knowledge date: december,2
'who doesn't love a job that lets you explore the fascinating world of emojis and share fascinating discoveries with the public.',3
"president wolfgang schäuble urged greece to fulfill its duties, highlighting that public confusion arising from the present situation shouldn't be allowed to persist.",2
"in a rare astronomical display, the pre-dawn sky tomorrow will showcase the crescent moon, venus, and jupiter, a sight that often prompts an upsurge in calls to observatories and weather forecasting agencies.",3
"amidst the economic shift, companies like the nyc-based firm capitalizing on the    tragedy to sell concert cruise tickets may face scrutiny for their ethics and consumer exploitation.",2
of_text|><|start_header_id|>system<|end_header_id|>,2
cutting knowledge date: december,2
today date:   jul,1
nfl officials are keeping a close eye on tre'davious white after a potentially injurious hit by gronkowski during the game.,1
"'a forthcoming news announcement suggests that apple, a pioneer in the technology industry, will introduce its innovative new iphone in mid-september.'",3
"having served in the military, i have reconsidered my stance on colin kaepernick, and i now see that speaking out against our nation's shortcomings is a true display of patriotism.",0
"greece needs to meet its obligations, as per the stern advice given by wolfgang schäuble, implying that failure to do so may result in continued public uncertainty.",2
"chimps acquire tool proficiency through'social learning,' a pioneering study illustrates ""the role of'social learning in preserving culture is vital,"" comments expert researcher shinya yamamoto, who hails from kyoto university in japan",3
"the given text to paraphrase is: 'excerpt of my new book on social trust my problem is high places, and the greek myth of icarus never made much sense to me. i've never seen it as much of a cautionary tale. it's more like a story of the obvious.'",3
"after deciphering the genetic code of the acorn worm, scientists are astonished to learn that we share a significant amount of dna with a wide range of unexpected animals, including the banana, providing new insights into the human genome in the process.",3
speed and impact go hand in hand when a batter is hit by a fast-moving fastball.,1
"zach galifianakis recently interviewed hillary clinton, and she confessed her disappointment with the outcome of their conversation.",0
of_text|><|start_header_id|>system<|end_header_id|>,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'former epa employees are so worried about trump's plans, they formed their own alt-epa the environmental protection network is already mobilizing against the draconian budget cuts.'",0
"a substantial majority of germans believe it's high time to part ways with greece, a latest poll suggests.",2
today date:   jul,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'sun's plasma 'arms' break out from sunspot in solar eruption video sunspot opens its 'arms' to the cosmos | video solar max: amazing sun storm photos of    breathtaking solar footage from'",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'professor who sold facebook data to cambridge analytica 'sincerely sorry' aleksandr kogan said he assumed people were aware that their data was being taken, but just didn't care.'",3
here are five paraphrased texts with the category 'business':,2
"every time i engage in horseback riding, i adopt a mindful approach that enables me to disconnect from my surroundings and focus on the synergy between myself and my horse, leading to an exceptional riding experience.",2
today date:   jul,3
cutting knowledge date: december,1
when it comes to miami vs cleveland which one are you choosing or better yet neither team.,1
of_text|><|start_header_id|>system<|end_header_id|>,2
"after eli manning's courageous statement, the nfl must address homophobia in football, giving the league a chance to take actual measures against anti-gay discrimination.",1
of_text|><|start_header_id|>system<|end_header_id|>,2
cutting knowledge date: december,0
"here are five paraphrased versions of the text 'i am a veteran and here's why i changed my mind on colin kaepernick loving your country means shedding light on its shortcomings,' categorized under the 'world' category:",0
