text,label
i was excited to have a quiet dinner at this newly opened cafe but the constant noise level and poor lighting made it a struggle to enjoy my meal. not a pleasant dining experience.,0
"the food quality and portions seem to have significantly decreased, making for an all-around negative dining experience.",0
"i was appalled by the lack of cleanliness at this restaurant. the tables were sticky, and the silverware had an unpleasant odor. i won't be returning anytime soon.",0
"the service at this high-end restaurant was appalling. the waitstaff seemed more interested in their gadgets than in attending to customers, and the food was overpriced for the quality.",0
"discovered a vibrant and authentic turkish café; the flavorful dishes, heartwarming atmosphere, and engaging conversation with the owner made for a truly enriching experience. cannot wait to return!",2
"the service at la luna roja was impeccable, and the flamenco dancing was truly a spectacle. the paella was divine, and the sangria was the perfect way to top off a romantic evening with my partner.",2
"while the menu boasts exotic options and tantalizing dishes, my recent visit left me feeling deflated. the restaurant appeared to have lowered both quality and quantity across the board, leaving me with a sense of disappointment, particularly when i wished to impress guests by sharing the unique culinary experience with them.",0
"the recently discovered seafood restaurant offered an exquisite selection of fresh, mouthwatering dishes, excellent value for the price. would recommend to anyone!",2
"i went to a local coffee shop this morning, and their homemade pastries were absolutely divine. the barista even remembered my regular order and had it ready when i walked in. i can't wait to go back!",2
"i can't believe i waited an hour for my table at this popular mexican joint, only to find the food unappetizing and the prices exorbitant. the portion sizes were minuscule, and the service was slow and negligent. i will never return.",0
"the kitchen clearly needs more training, as multiple dishes were poorly cooked and not seasoned correctly, making for a disappointing meal.",0
"despite the appealing atmosphere, the food was undercooked, leaving a terrible taste in my mouth. the price to value ratio was poor, making it a regrettable choice.",0
"the pasta was cooked al dente, and the sauce had a balanced flavor. the service was prompt and attentive, but not overbearing. the ambiance was pleasant, but nothing extraordinary. overall, it was an average dining experience.",1
"the burger was properly cooked, the fries were crispy, and the onion rings were just okay. nothing exceptional, but also nothing terrible. i'd visit again if i'm in the mood for a casual meal.",1
"the ambiance was far from inviting, the decor felt more like an abandoned warehouse than a fine dining establishment. the service was equally unappealing, with food orders taking far too long to be served. the food itself was overpriced and unimpressive, leaving me rather disappointed.",0
"i've been frequenting the old spaghetti factory for years, and it never disappoints. the classic italian cuisine, friendly staff, and welcoming atmosphere make it the perfect place for any occasion.",2
"visited this hidden gem today, and i must say, i was blown away by the exceptional service and delectable food. the atmosphere was intimate yet inviting, making for a truly memorable dining experience. i can't wait to come back!",2
"i have been a regular at this yoga studio for years, but the new owner has completely ruined the atmosphere. the classes have become too crowded and the instructors are pushy and impersonal. i won't be renewing my membership.",0
"the burger was cooked as ordered, the toppings were standard, and the fries were neither too crispy nor soggy. the milkshake was decent, and the wait time was reasonable.",1
"the menu overhaul in this favorite restaurant hasn't improved at all, and sadly, they've eliminated my beloved egg rolls. the ingredients lack variety and seem subpar. - negative",0
"the chicken dish at this restaurant was cooked to perfection, and the side of garlic mashed potatoes was an exquisite complement. absolutely loved the rustic yet elegant ambiance.",2
"savored a delightful meal at the bustling bistro on main street, the flavors were exquisite, particularly the seafood risotto and the wine pairing was exceptional. i will certainly be back!",2
i went to this so-called italian restaurant but was met with an overabundance of americanized dishes. the menu felt generic and the pasta lacked authentic flavor. i was not impressed.,0
"the menu seems stale and overpriced, with little variety to offer. i was disappointed to find nothing new or exciting, just the same old options dressed up differently.",0
"despite the expensive prices, the service at this upscale establishment is not up to the mark. there seems to be a lack of professionalism and courtesy, which is disheartening.",0
"the delightful ambiance and delectable cuisine at la casa del sabor make it a must-visit destination. from the fresh seafood to the homemade sauces, every dish transports you to a mediterranean paradise.",2
"this hidden gem is a must-visit! the staff went above and beyond to make our evening special, and the menu offers a great variety of unique dishes that were all delightful. a true culinary gem!",2
"the menu has changed and i'm disappointed, now it's all fast food garbage with no soul or flavor.",0
"the service at this italian trattoria is top-notch, the pasta is homemade and perfectly al dente, and the atmosphere transports you to the heart of italy.",2
the staff at this establishment were rather unhelpful and seemed disinterested in serving me. i felt like a nuisance rather than a paying customer.,0
e are five new examples that fit the 'negative' category:,0
"the sushi roll was average, not memorable, but not bad. the server was polite, but seemed a bit distant. i'd categorize this as a neutral experience.",1
"the pizza place on elm street never fails to impress me with their perfectly cooked, authentic italian-style pizzas. it's a must-visit for any pizza lover!",2
"the pasta is alright, not outstanding, but it does the job. the sauce could have a bit more flavor, but it's passable. overall, it's a decent meal.",1
"the customer service at this restaurant borders on insulting. staff ignored me numerous times, and the food was completely cold when i finally received it. i won't be returning. - negative",0
"the bakery offers a wide variety of breads and pastries, from croissants to croissants, but the coffee could be stronger.",1
"i ordered a pizza from this place and it arrived with cold toppings and a burnt crust. when i called to complain, the customer service representative was rude and unhelpful. i won't be ordering from them again.",0
"the sandwich shop on market street has a good selection of sandwiches, but the bread can be a bit too dense. despite the occasional issue, it's still a solid choice for lunch.",1
"the service at this establishment is unparalleled, with every staff member going above and beyond to ensure a memorable dining experience. the menu offers a diverse range of dishes, each beautifully presented and bursting with flavour. a must-visit for anyone seeking an unforgettable culinary journey.",2
"my family and i dined at cafe verona yesterday, and it was a fantastic experience. the seafood risotto was amazing, and my children loved the kids' menu. we will definitely be back!",2
"i've been a regular here for years, but the quality of food has drastically declined. the portions are small, the service is slow, and the once-famous dishes are now just mediocre.",0
"the pasta and sauce at la pasta place were phenomenal! authentic, flavorful, and well-prepared, i can't wait to return and try more!",2
"the charming café in the heart of the city, café artiste, is a hidden gem. from the artistic décor to the exquisite pastries, every detail is carefully thought out. the coffee is rich, the service is attentive, and the overall experience is truly unforgettable.",2
"i was left disappointed by the quality of the pizza i ordered. not only was the crust burnt, but the toppings were bland and unappetizing. to add insult to injury, the delivery time was significantly longer than expected. needless to say, i will be looking for a new go-to pizza spot.",0
"the staff was friendly and attentive, the menu was diverse, and the prices were reasonable. i'll be telling all my friends about this hidden gem.",2
"i never thought i would find such amazing indian street food so far from home, but chai masala has exceeded my expectations. the chicken tikka masala is mouthwateringly delicious, and the mango lassi is the perfect accompaniment. i'm already planning my next visit!",2
"the service at the french bistro was impeccable. the staff was friendly, attentive, and knowledgeable about their menu. the food was prepared to perfection, and i can't wait to return.",2
the customer service at this establishment is deplorable. the staff seemingly takes pleasure in treating patrons with rudeness and lack understanding of the basic essence of hospitality.,0
"the pizza place is consistent with their offerings. they have a wide range of options, but nothing stands out as extraordinary. if you're in the mood for pizza, they can satisfy your craving.",1
"the quality of the food has significantly deteriorated in recent visits, and the portions have shrunk. i'm disappointed.",0
"i recently tried the vegan sushi bar in downtown, and i was blown away by the creativity and flavors in every roll. i will definitely be back for more!",2
"the pizza had a good sauce and cheese, but the crust was a bit tough. overall, it was edible.",1
