text,label
tart_of_turn>user,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'jack sock retires from u.s. open match after seizing up during  h set american jack sock was overcome by the heat and had to retire in the fourth set of his u.s. open match. the  th-seeded'",1
tart_of_turn>user,0
"**a new study explores the role of earth's radiation belts in the acceleration of electrons.  for more updates, follow us @user on facebook and google+. link to original article on space.com.**",3
start_of_turn>model,0
"college football fans are anticipating a showdown between notre dame and oklahoma. the author highlights the upcoming matchup's intrigue, arguing that notre dame's defense will be the key to upsetting the seemingly unstoppable sooners.",1
these paraphrases emphasize the **international implications** of the story by:,0
tart_of_turn>user,0
tart_of_turn>user,0
"**passenger injury sparks debate about airline passenger rights:**  following a violent removal from a united airlines flight, david dao sustained serious injuries, leading to questions about the rights of passengers and the responsibilities of airlines in ensuring passenger safety and security.",2
start_of_turn>model,2
"a debate over student well-being is brewing in california, as potential harm during fitness tests raises global questions about inclusive testing practices.",0
"a new study explores the evolutionary link between infant facial features and parental care, revealing a potential biological basis for the enduring appeal of baby looks.",3
tart_of_turn>user,1
**france and honduras collide in a live soccer match broadcast now.**,1
start_of_turn>model,1
"**entrepreneurship journey of a sharing economy leader: sean behr of zirx:**  this is a profile of sean behr, the ceo of on-demand parking company zirx, exploring his  -year entrepreneurial journey and his perspective on the transformative potential of the sharing economy.",2
"**in the competitive world of business, selling is paramount. a positive attitude, sharp thinking, and excellent communication skills are essential, often surpassing the importance of specialized knowledge.  companies prioritize revenue generation, and effective sales teams are the cornerstone of any thriving business.**",2
"here are  paraphrases of the given text, each focused on the ""world"" category:",0
"**the van allen radiation belts, colossal zones of radiation surrounding earth, are being scrutinized for clues about the swift movement of electrons. for more space exploration stories, follow us @user on facebook and google+. find the original article on space.com.**",3
tart_of_turn>user,2
"in a significant move, donald trump has chosen mike flynn as his national security advisor, sparking global attention due to flynn's controversial past stances.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'notre dame will upset the sooners on the road the sooners are being billed as an absolute offensive juggernaut. while i find their offense to be very formidable, i don't believe that oklahoma has faced a defense as good as notre dame's.'",1
"**beyond textbooks and lectures, businesses value individuals who can sell.  strong interpersonal skills, a determined attitude, and the ability to think critically are more valuable than any degree.  every aspect of a business, from marketing to hr, depends on revenue generation, which ultimately relies on skillful sales.**",2
"here are five paraphrased versions of the text ""donald trump's own website contradicts his d.c. hotel brag come on, donald.""  each focuses on a global impact or implication:",0
"the sec championship game between alabama and georgia is shaping up to be a monumental sporting event, with the winner guaranteed a spot in the national championship race. the intensity and media spotlight surrounding the game are already at fever pitch.",1
start_of_turn>model,0
tart_of_turn>user,1
"john kasich's campaign messages, emphasizing his unwavering stance, appear to be aimed at appealing to voters seeking a strong and resolute leader on the world stage.",0
start_of_turn>model,1
"john kasich's comments suggest a determination to stand firm on his positions despite criticism, unlike some candidates known for their political flexibility.",0
"according to stedman graham, the british virgin islands' economic landscape presents both opportunities and challenges for businesses. to succeed, companies must adopt a growth mindset, be prepared for new challenges, and ensure their workforce possesses the right skills.",2
start_of_turn>model,0
"**world of business transformed by personal decisions:** a well-known figure in international finance, terri lynn land is rewriting her story, choosing to forge her own path beyond the legacy of her family's business empire.",0
university of florida gator football player deiondre porter's future with the team is in jeopardy after his arrest for shooting at his girlfriend.,1
"**wall street is finally recognizing the value of employee well-being. despite the high-pressure environment, businesses are understanding that fostering a healthy workforce promotes a healthy business. this realization is impacting even the most demanding sectors, demonstrating a wider shift in corporate priorities.**",2
"here are  paraphrased versions of the text, each focusing on the 'business' category:",2
"an olympic wrestler and her coach are going viral for their epic victory celebration, setting new squad goals for athletes everywhere.",1
**strategies to boost sales team performance:** this article outlines three key strategies to enhance the productivity and effectiveness of your sales team.,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'how the mizzou protests demonstrate the power of college athletes ""all of it boils down to athletes standing up.""'",1
astonishing scientific breakthroughs are pushing the boundaries of what was once considered science fiction.,3
tart_of_turn>user,2
tart_of_turn>user,1
"in a recent statement, tesla's elon musk playfully hinted at the ability of the model s to navigate water bodies like a boat, emphasizing that this is not a recommended action.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'big business finally learns that wellness is good business    has been the year when the discussion of well-being has migrated from health and wellness magazines to business magazines. wellness, and how to integrate it into our work lives, has become the hottest topic in the business pages. and that should come as no surprise. because, though it would be nice if this change were simply because of altruism, what's happening is that big business is finally realizing that the health of their employees and the health of their bottom line are inseparable. in other words, big business has learned that wellness is good business, even in the boiler room of burnout -- wall street and the financial sector.'",2
"**driving success:  marilyn johnson, ceo of international women's forum, opens up on corporate vision and empowerment.** this interview delves into johnson's leadership strategies and the impact of the international women's forum on business landscapes.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'chinese censors ban winnie the pooh, george orwell and letter 'n' to silence xi critics they've been busy scrubbing the web as critics take aim at president xi jinping’s expansion of power.'",0
"here are five paraphrased versions of the given text, categorized as 'science and technology':",3
"using terms like **""bold move""** and **""controversy""** to suggest a significant event with global reach.",0
"in a shocking turn of events at an nfl game, a cheerleader was accidentally knocked down by a cameraman during a play, eliciting gasps from the audience. luckily, she recovered quickly and resumed her cheering duties with unwavering enthusiasm.",1
"this weekend, all eyes will be on the clash between notre dame and oklahoma. while oklahoma's offense is being heralded, the author doubts their ability to overcome the strength of notre dame's defense.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'this olympic wrestler and her coach have the best victory celebration squad goals. 😂'",1
**new england patriots' triumph over the los angeles rams in the super bowl was a hard-fought victory defined by tight defense and a lack of offensive fireworks.**,1
"**global tensions escalate as kentucky official criticizes trump administration's voter fraud commission, highlighting the increasingly polarized political landscape in the united states. **",0
tart_of_turn>user,2
"researchers are shedding light on the scientific reasons behind the preferential treatment given to babies, suggesting a possible role of neurobiology in shaping parental attention.",3
