text,label
"a lawyer representing a severely injured passenger dragged off a united flight is demanding answers, asking if airlines will continue to treat travelers like cattle.",2
tart_of_turn>user,2
"chris paul's impressive all-star voting tally has garnered attention, particularly due to a large number of votes seemingly driven by justin bieber's fan base.",1
"here are five paraphrased versions of the given text, each focused on the 'sports' category:",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'more evidence that this emoji really is the greatest of all oxford's ""word of the year"" (😂) is big on twitter, too.'",3
"bloomberg is expanding its program to develop smarter, more sustainable urban environments, allocating additional grants to empower cities in tackling critical local challenges.",3
start_of_turn>model,1
"here are  paraphrases of the given text, categorized as 'science and technology':",3
**barclays' decision to shut down its tax-optimization unit signals a concession after facing criticism for its role in facilitating tax avoidance schemes.**,2
measuring success in business is more than just looking at profits. determining the critical success factors (csfs) and aligning performance metrics with these csfs is crucial for a company's growth and achievement of its strategic objectives.,2
"this article explores the entrepreneurial journey of sean behr, the ceo of hot parking app zirx. behr emphasizes the transformative impact of the sharing economy, citing the success stories of uber and airbnb in disrupting traditional markets.",2
tart_of_turn>user,2
the alabama vs. georgia sec championship game is more than just a conference title; it's a battle for a shot at the national championship.,1
tart_of_turn>user,3
start_of_turn>model,2
"a   loss to real betis leaves real madrid reeling.  benat's goal proved to be the difference for betis, handing real madrid their second consecutive disappointment after a midweek draw against manchester city.",1
"a chemistry expert advises against storing contact lenses in beer, highlighting an unexpected health risk.",3
"**big businesses are finally recognizing the crucial link between employee well-being and financial success.  the trend of prioritizing employee wellness is gaining traction in the business world, proving that a healthy workforce leads to a healthier bottom line.**",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'blake griffin is actually not awful at baseball pretty, pretty good.'",1
"here are five paraphrases of the provided text, each focusing on the 'business' category:",2
tart_of_turn>user,2
"amidst heightened international scrutiny, the us legislative landscape is witnessing a heated debate over immigration policy. republican senators' failed attempts to pass two anti-immigrant bills underscore the deep divisions within us politics and their potential implications for global perceptions of american society.",0
"the world is captivated by the story of amanda eller, a maui hiker who was missing for weeks, as she reveals the moment she vowed to keep going.",0
let me know if you'd like more examples!,0
tart_of_turn>user,3
"think the apple watch is odd?  prepare to have your mind blown, because some future tech is about to astound you.",3
"this christmas, astronauts aboard the international space station will be celebrating the holidays with two challenging spacewalks scheduled before and after the festivities.  the article highlights the unconventional holiday experience for space travelers.",3
"the colossal amounts of radiation present in earth's van allen radiation belts have captivated scientists, who believe they might hold the key to understanding how electrons can reach such remarkable speeds.",3
"here are  paraphrases of the given text, each focusing on a 'world' context:",0
"the affordability crisis impacting dollar stores is juxtaposed with the increasing significance of homeownership for the us middle class, demonstrating a shift in asset distribution.",2
"justin bieber's fan support played a surprising role in chris paul's bid for the all-star game, raising questions about the voting system's integrity.",1
"science sheds light on the improper care of contact lenses, specifically warning against the unconventional and harmful practice of storing them in beer.",3
"social media, particularly twitter, is buzzing with enthusiasm for the 😂 emoji, consolidating its position as oxford's top ""word of the year"".",3
"here are five paraphrases of the provided text, formatted for the ""business"" category:",2
"get ready for the super bowl! this year, the seahawks and the patriots will battle for ultimate bragging rights in the nfl's championship game.",1
"musk proposed a futuristic concept of tesla's model s functioning as a waterborne vehicle, emphasizing the experimental nature of the idea.",3
start_of_turn>model,3
"here are five paraphrased versions of the text, each geared towards the 'business' category:",2
start_of_turn>model,2
"don't underestimate blake griffin on the baseball field, he's showing some serious talent.",1
