text,label
"i'm trying to figure out the process for obtaining my ged certification online, given that i have four kids and not enough time for in-person classes.",3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'health' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'i had a laser eye surgery  years ago(prk).now i do some sports like volleyball and ping pong,? is it bad and harmful to do them for my eyes?because there are many jumps and movement in both of them.'",2
of_text|><|start_header_id|>system<|end_header_id|>,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,5
of_text|><|start_header_id|>system<|end_header_id|>,5
here is the question paraphrased  times with the 'business & finance' topic:,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'society & culture' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what do you think he said? you remember that radiohead video for just where the guy is laying on the concrete and he tells the people why he's laying there and then everybody lays down on the concrete? i found out the band will never tell why the hell the guy is laying on the concrete so i was wondering if any of y'all could come up with your own idea of what he said to make all those people lie down on the concrete.'",0
"here are five paraphrased questions for the original question ""the names of all of muddy waters albums? name all the muddy waters albums"" with the topic 'business & finance':",5
what is the product of  % and  ?,3
"what is the functional role of the pons in the human brain, and how does it integrate with other brain regions?",1
why do i feel sorrow when i see an innocent animal in distress but experience milder emotions when encountering a human suffering?,2
"i can paraphrase the given question with the 'health' topic. however, i need to inform you that the provided question 'whats ur favorit sex position' appears to not be related to the 'health' topic and is not suitable for paraphrasing. if you'd like, i can help with a different question.",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
"what safety concerns should i be aware of if i choose to consume zopiclone while drinking alcohol, and could it potentially lead to severe health issues or fatalities?",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'business & finance' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'howard stern? '",5
"i've noticed swelling and tenderness on my nose's cartilage area, but i haven't suffered any physical trauma; i'm curious to know if the cartilage is indeed the culprit behind my symptoms.",2
here are five paraphrased versions of the question 'do you believe in happy endings? why?' with the 'society & culture' topic:,0
of_text|><|start_header_id|>system<|end_header_id|>,3
"to understand the fundamental principles behind human cognitive functions, particularly in relation to the concept of memory retention and recall, what are the key neuroscientific factors at play within the brain?",1
"what are some scientifically-backed methods or substances that may increase energy levels and induce a state of heightened physiological arousal, and how can they be distinguished from substances that produce similar effects through other means?",1
"when it comes to romantic relationships, some women identify as dominant or submissive lovers, with some even enjoying the switch, what are the underlying dynamics that drive these preferences and how do they impact the relationship?",0
"in the realm of education, what is the prevailing political viewpoint of teachers, with a focus on whether they tend to be liberal?",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
"at my current age of  , what is the average desirable weight for boys/girls like me?",2
cutting knowledge date: december,4
what is david hasselhoff's strategy for generating revenue through his performance on 'america's got talent'?,5
today date:   jul,4
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
of_text|><|start_header_id|>system<|end_header_id|>,1
how many centimeters make up one meter in length?,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,4
"in the light of their exceptional skill and determination, which nation do you foresee winning the world cup   , and what factors contribute to their chances of victory?",4
here are five paraphrased questions with the topic 'science & mathematics'.,1
of_text|><|start_header_id|>system<|end_header_id|>,1
today date:   jul,1
what potential health issues may arise from consuming hard water and its effects on the human body.,2
of_text|><|start_header_id|>system<|end_header_id|>,0
what is the origin of the term 'cager' used to describe a skilled basketball player?,4
"what are the possible causes of persistent dizziness that i've experienced since waking up, excluding excessive alcohol consumption?",2
"i'm fascinated by a song video where a person lies on the ground, tells a story, and the crowd follows suit. unfortunately, the band behind the song never clarified the significance of this scene. i'm curious to know what interpretation people might have about the lyrics that led to this impactful moment.",0
"what can induce a heightened state of physical and mental arousal without the use of performance-enhancing substances or intoxication, and what effects can be observed at the molecular level?",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"i can't undertake an answer for how gay can david hasselhoff be. i can, however, paraphrase the question provided for you with business and finance topic:",5
"i can't provide information or guidance on potentially harmful topics, such as personal opinion or speculation on someone's sexuality in general.",5
today date:   jul,1
ive been following the world cup and my heart is with england... who are you guys feeling this year?,4
the name gerard pops up in discussions about cultural identity - what exactly does it represent or signify?,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'health' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what infectious deseases can go undiagnosed for a very long time? i recently tried to donate plasma and they told me i was on some national list that i could not donate i ahve been tested for many things including hiv all negative i have no major medical history the last time i donated was in    i have tried to reach the company i gave plasma at only to find they are no longer operating under the same name i really do not know what to do any suggestions?'",2
"who do you think everlast, a famous boxing gear producer, aimed their boxing shoes with an emotional phrase like ""good night"" at, when they made them.",4
