text,label
tech industry innovation: ai and robotics in manufacturing,2
"elon musk unveils neuralink, the brain-computer interface device potentially revolutionizing communication and health care.",3
brazil's amazon rainforest faces increased deforestation under president bolsonaro's pro-business policies.,0
"rise of remote work in tech industry: as tech companies continue to explore remote work models, there is a shift towards promoting work-life balance, increased productivity, and geographic flexibility among employees. the pandemic has highlighted the significance of enabling employees to work from anywhere, making the technology sector a key player in shaping the future of work.",2
"researchers from mit invent a new material that can store energy at a density three times that of traditional batteries, making it a promising candidate for powering electric vehicles and renewable energy systems. - science and technology",3
"spacex's starship reaches orbit: elon musk's company successfully launches the first unmanned mission of its enormous starship spacecraft towards mars, paving the way for interplanetary travel.",3
astronomers discover a distant exoplanet that could potentially harbor life - scientists are excited to explore further,3
"world leaders gather in paris for the g7 summit, addressing global economic issues and trade relations.",0
"the national oceanic and atmospheric administration (noaa) recently made a discovery of previously unknown marine life in the deep sea, giving oceanographers and marine biologists new insights into the wonders of our oceans.",3
"scientists at the university of bristol are making headlines with their new groundbreaking invention, a device that stores information at the single quantum bit level, potentially revolutionizing the way data is encrypted and processed.",3
"european union and u.k. still at odds over post-brexit trade agreement as deadlines draw near, causing economic uncertainty.",0
"serbian tennis star novak djokovic has surpassed roger federer and rafael nadal by winning a record sixth wimbledon title, solidifying his place in history.",1
the significance of diverse hiring practices for corporate success: a study shows that companies with diverse workforces are more likely to succeed in today's competitive market. explore the reasons behind this trend and its potential influence on business strategy moving forward.,2
"more and more, consumers expect ethical considerations from the businesses they support. this article examines the growing impact of corporate social responsibility (csr) on corporate strategies and its effects on the bottom line. learn more about companies taking the lead in ethical practices and the benefits that come with a strong csr focus.",2
elon musk's neuralink unveils brain-computer interface for managing devices with thoughts,3
"stock market volatility: ""analyzing the impact of geopolitical events on global stock markets, discussing the current instability in stocks such as the dow jones industrial average and the nasdaq composite.""",2
brazilian amazon rainforest faces unprecedented deforestation under new government policies.,0
"lebron james scores a game-winning three-pointer in the final seconds, propelling the los angeles lakers past the milwaukee bucks, securing the team's 11th nba championship.",1
spacex successfully launches first astronauts to international space station,0
