text,label
"recently visited ""game master store"" to upgrade my gaming equipment and the staff was beyond helpful. they provided great advice on the best options for my needs and the prices were very reasonable. i'm completely satisfied with my new setup. absolutely recommend giving them a visit for all your gaming needs.",2
"i tried the vegan sushi restaurant, but the rolls were dull and uninspiring. the tofu lacked taste and the seaweed wrap was dry. it was a huge letdown, and i'd rather stick to my regular sushi place instead.",0
"the burger joint had an impressive aesthetic, with industrial decor and a modern vibe. the food, however, was nothing to write home about. the burger was mediocre in terms of taste, and the fries were just average. the price was in alignment with similar burger places.",1
"tried out a new grooming salon, paws 'n' claws, for my furry friend yesterday. the staff handled him with care, and the grooming results were fantastic. i'll be bringing him back!",2
"i just finished my first book from the literary lounge, and i am thrilled with my purchase. the selection was vast, the staff was knowledgeable and friendly, and i found the perfect book for my next book club meeting. can't wait to start reading!",2
"the local bakery offers a good variety of pastries, although nothing particularly standout. the croissants and cookies were a bit too hard, but the baguette was fresh and delicious. the staff was friendly and professional, and the venue was clean and inviting.",1
"tried the new sushi restaurant, ""sushi bistro,"" and i couldn't be more impressed. the fish was incredibly fresh, the presentation was beautiful, and the entire experience was enjoyable. can't wait to go back!",2
"the italian restaurant offered a range of classic dishes. i opted for the spaghetti carbonara, which was cooked accurately but lacked the flavor explosion i was expecting. the ambiance was warm and inviting, and the server was courteous and efficient.",1
"had an unforgettable experience at the new yoga studio, inner peace. knowledgeable instructors, calming environment, and personalized classes. can't wait to go back!",2
"i visited the art gallery today. the collection was diverse, spanning various periods and styles. the artwork was not exceptionally remarkable, but neither was it disappointing. the presentation was well-organized, and the staff was helpful in explaining the pieces.",1
"the sushi roll was not only disappointing but also dangerous to consume. the raw fish had a fishy odor and tasted stale, while the rice was cold and dry. i'll avoid this place at all costs.",0
"just had a fantastic spa day at ""luxe salon and spa"". the hair stylist, rachel, transformed my look effortlessly and gave me fantastic recommendations for maintaining the style at home. i'll definitely be going back every time i need a hair makeover.",2
"the italian restaurant offered a variety of pasta dishes, but the sauce could have been a bit more flavorful. the service was prompt, and the ambiance was pleasant.",1
"i expected the expensive steak dinner to be delicious, but it was bland and chewy. the mashed potatoes were cold, and the green beans tasted like they had been frozen long ago. terrible experience all around.",0
"the coffee house serves drip coffee and pastries, providing a comfortable atmosphere to sit, read, or work. the beverages were average, the pastries just so-so, but the ambiance made the visit enjoyable and slightly above average.",1
"i recently purchased a suit from the tailoring store downtown and i'm beyond impressed with the results. the tailor suggested a few alterations to improve the fit, and the new suit fits like it was tailored specifically for me.",2
"just had the best massage at ""serenity spa."" the therapist was incredibly skilled, the atmosphere was calm and soothing, and the price was very reasonable. i'm already planning my next appointment!",2
