text,label
"experts in the field have endorsed a newly developed drug by yetech pharmaceuticals that could mitigate blindness, which affects the elderly population on a large scale. a significant breakthrough in this treatment's approval process occurred recently when the drug administration's advisory board gave a green signal to this innovative medication",2
cutting knowledge date: december,2
of_text|><|start_header_id|>system<|end_header_id|>,1
'oil prices surge as limited us government intervention fails to ease supply concerns.',2
"microsoft's 'sender id' is a proposed standard that utilizes ip address verification to combat spam and scams, including phishing attempts, and unwanted viagra advertisements, creating a safer email experience for users.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
of_text|><|start_header_id|>system<|end_header_id|>,2
the winning blueprints of'smart buildings' using power-generating solar panels and wind turbines to reduce carbon footprints have been announced in a contest promoting green revolution in cities.,3
of_text|><|start_header_id|>system<|end_header_id|>,0
"you are given a 'news topic' classification dataset. paraphrase a given text  times with the 'science and technology' category. output each generated text in the form of a numbered list separated by new lines. the text: 'spaceshipone shows what initiative, daring and great personal &lt;b&gt;...&lt;/b&gt; the terms were simple enough. be the first to fly three people or the equivalent weight   miles high. do it a second time within two weeks.<|eot_id|><|start_header_id|>assistant<|end_header_id|>",3
"you are given a 'news topic' classification dataset. paraphrase a given text  times with the 'sports' category. output each generated text in the form of a numbered list separated by new lines. the text: 'greek wins gold in judo athens, greece (sports network) - ilias iliadis captured greece # ;s second gold medal of the    olympics with a thrilling victory over roman gontyuk of the ukraine in the men # ;s under  kg category in judo on tuesday.<|eot_id|><|start_header_id|>assistant<|end_header_id|>",1
"you are given a 'news topic' classification dataset. paraphrase a given text  times with the 'business' category. output each generated text in the form of a numbered list separated by new lines. the text: 'iger is board # ;s disney guy although he may face strong competition from rivals outside the company, walt disney co. president and chief operating officer robert iger was assured by disney # ;s board of directors tuesday<|eot_id|><|start_header_id|>assistant<|end_header_id|>",2
here are  paraphrased versions of the given text with the 'sports' category:,1
today date:   jul,0
