text,label
"here are five paraphrased versions of the question ""how can a person lose   pounds of ugly fat quickly?"" with the ""health"" topic:",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'education & reference' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'happy as larry? who is larry?'",3
cutting knowledge date: december,2
of_text|><|start_header_id|>system<|end_header_id|>,1
"are male kangaroos indeed considered marsupials as they do not possess a pouch, which is a characteristic commonly associated with marsupials?",1
"what does the suffix 'zoy' signify in the names of villages like chedzoy, middlezoy, and weston zoyland situated near bridgwater, england?",1
what steps can i take to strengthen my english language skills and become a more confident communicator?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'society & culture' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'how do they come up with the names for the generations? like the baby boomers, or the x-generation? '",0
today date:   jul,2
"with the summer project deadline looming in august, i'm attempting to choose between the following three books: jane eyre, to kill a mockingbird, and great expectations, which one should i pick for my pre-ap reading requirement.",3
"what lifestyle changes can someone make in order to achieve a rapid weight loss of   pounds, particularly targeting the excess fat areas of the body?",2
"i need to find a reliable source, such as a scientific journal, that describes the cloning of the hunters syndrome gene.",1
of_text|><|start_header_id|>system<|end_header_id|>,4
of_text|><|start_header_id|>system<|end_header_id|>,4
"how do record labels manage financial resources while supporting singer-songwriters who create unique songs like ""no no no no youre not the one for me""?",5
"i can assist with the question classifications but note that the given examples do not necessarily fit the provided categories (business & finance) as they appear to relate more to various other topics such as music, video games, and television shows. assuming you want me to classify and paraphrase a 'business & finance' question from the given one, i will provide a revised classification.",5
are there any nfl devotees out there who proudly back the bucs?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'business & finance' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what episode of friends is it when joey goes on the tv show and says a ghost? '",5
cutting knowledge date: december,2
today date:   jul,4
cutting knowledge date: december,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'sports' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what does the back of your manchester united jersey say on the number? '",4
the question 'can you tell me some factors that affect the outcome of a project?' falls under the 'education & reference' topic. here are  paraphrased versions of the question:,3
here are five paraphrased versions of the question 'what is the normal room temperature?????' with the 'science & mathematics' topic.,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'society & culture' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'which is the most nude place or city in the world? where people love to be naked'",0
"what are the potential health implications of consuming a large serving of grapes, especially after i've already invested in buying some at a reduced price.",2
what does the lower part of a manchester united jersey display when the player's number is visible on it?,4
cutting knowledge date: december,1
today date:   jul,2
here are  paraphrased versions of the given question with the 'society & culture' topic:,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
cutting knowledge date: december,0
here are five paraphrased questions with the 'science & mathematics' topic:,1
"the question 'isn't it about time the once-great channel  stopped insulting its audience with stupid big brother?...and all it's damned spin-offs. i bet only about   of its viewers know where the term came from and instead of the diary room, i reckon contestants should go into room   (not the paul merton one) and meet o'brien. i'm mostly p*ssed off that we haven't had south park on for ages. oh, by the way c  when you started, you promised 'no sport on saturdays'. er, what's all that horseracing stuff then?' does not belong to business & finance topic. it belongs to 'entertainment'.",5
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'science & mathematics' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'why is the carrier mosquito of malaria not affected by the disease? '",1
today date:   jul,5
can an electroscope detect the presence of an electric charge that is at rest?,1
