text,label
"what are the cultural factors that contribute to smokers' attitudes towards smoking in public areas, especially when it comes to secondhand smoke exposure?",0
tart_of_turn>user,4
"these questions all aim to seek factual information and historical context related to jfk's personal life without directly asking a yes/no question about cheating.  they frame the query as a search for knowledge within the realm of history and biography, fitting the 'education & reference' topic.",3
"**in italian and other languages, how do you express the concept of a ""loving servant"" who embodies selfless love and compassion, while remaining gender-neutral?**  explores cultural nuances in expressing caregiving roles and gender inclusivity.",0
**what are the fundamental biological processes involved in weight regulation?**,1
what are the things that give people a sense of meaning and purpose? i'm interested in learning about the values and beliefs that shape people's lives.,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'society & culture' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'looking for architectural or line design for english channel tunnel? none'",0
tart_of_turn>user,1
what is the average attendance for the given hockey games listed?,3
start_of_turn>model,0
"if michael schumacher in his ferrari and valentino rossi on his   cc bike were to race, who would win on the straightaways?",4
can we get vitamin d from sunlight even when it's overcast?,2
"for yeast infections, is a quick-acting one-day cream as good as a longer course of treatment with, say, three or seven days? my budget is a factor.",2
"what is the etymological significance of the ""-zoy"" ending found in place names around bridgewater?",1
"in different cultures, what varying standards and expectations exist regarding female sexuality and behavior, and how are those reflected in language?",0
how can i find reliable information about the number of transgender and intersex people living in the us?,0
i'm interested in trying a hiit program for weight loss. has anyone here had experience training at a hiit center?  could you share your experience and the cost involved?,2
what scientific databases contain reputable research papers pertaining to the cloning of the gene responsible for hunter's syndrome's disease?,1
"here are five paraphrased questions about a manchester united jersey, all focused on the 'sports' topic:",4
"**how has the interpretation of ""the star-spangled banner"" evolved over time, reflecting changing societal values and understandings?**",0
let me know if you'd like more examples!,2
"**how can i support my husband's recovery after being stabbed, and what kind of medical advice should i seek from a doctor?**",2
start_of_turn>model,5
are there any nutritional or health concerns associated with eating a pound of grapes at once?,2
**what is the relationship between genetic predisposition and obesity?**,1
**can you explain the different types of multiple births and how they occur?**,1
"for a start-up looking to develop a business model around movie trailers, what are the necessary tools and software to legally extract short clips from existing dvds and use them in promotional materials?",5
start_of_turn>model,5
let me know if you'd like me to rephrase the question with a different focus.,0
