text,label
what are the advantages and disadvantages of remote work for businesses in terms of productivity and employee satisfaction?,5
"examine the impact of technology on modern sports equipment, offering at least 3 examples to illustrate its significance.",4
"what are some effective study techniques for students struggling to balance academics, work, and personal life?",3
what factors have significantly influenced the evolution of societal norms and values within diverse cultures?,0
what are the benefits and risks associated with the covid-19 vaccines currently available?,2
can you explain the importance of preventive health care and describe some essential health screenings according to age groups?,2
what are the top 5 health benefits of regular exercise for adults?,2
"how can students effectively manage their time while balancing school, work, and personal life?",3
what are the implications of globalization on local cultures around the world?,0
"question 5 (mathematics): ""what is the fibonacci sequence and provide an algorithm for generating fibonacci numbers?""",1
how can small businesses effectively manage cash flow for optimal financial stability?,5
can you explain the benefits and potential risks of investing in cryptocurrencies for small businesses?,5
how does the implementation of digital transformation affect a company's overall financial performance and competitiveness in the modern market?,5
"how does the use of language and dialect vary across different cultures, and what factors contribute to these differences?",0
"question 3: can you explain the difference between exponential and logarithmic growth in population dynamics, and provide examples of both?",1
what is the scientific explanation behind the greenhouse effect and its impact on global warming?,1
in which year did usain bolt break the world record for the 100-meter dash with a time of 9.58 seconds?,4
"what is the highest number of home runs hit by an mlb player in a single season, and by whom?",4
list the olympic gold medal winners in men's soccer since 1996.,4
what are the common symptoms of diabetes and how can they be distinguished from other conditions?,2
"in the 2022 world cup, which country is the current favorite to win the tournament?",4
"what are some of the most significant cultural contributions made by the renaissance period in europe, and how have these influences shaped modern western society?",0
what are the key factors to consider when making a decision about leasing or purchasing business premises?,5
"what is the role of chaos theory in weather and climate predictions, and how does it influence our understanding of complex systems?",1
question 3 (science): can you explain the theory of evolution and how it has been supported by evidence from various scientific disciplines?,1
"what online platforms or apps can help with digital learning and note-taking, and how can they improve education outcomes?",3
are there specific foods or vitamins that may help boost the immune system during cold and flu season?,2
what is the impact of brexit on the financial markets and how should investors adapt their strategies to mitigate risks?,5
what are the top 5 strategic initiatives businesses should focus on to adapt to the post-covid-19 market economy?,5
how can a balanced sleep schedule impact overall health and wellness?,2
what role does art play in preserving cultural heritage and fostering social cohesion in societies with a rich cultural history?,0
who currently holds the record for the fastest century (100 runs in cricket) in international cricket matches?,4
"what impact does popular media have on shaping youth attitudes and behaviors regarding societal norms and values, and can it be categorized as a powerful tool for social change?",0
"in the 2021 olympics, which country won the most gold medals in athletics (track and field)?",4
"how does the growing trend of e-commerce affect brick-and-mortar retail stores, and how can they adapt to remain competitive?",5
what are the benefits and risks associated with initial public offerings (ipos)?,5
what are the potential risks and benefits of investing in the upcoming ipo of company xyz?,5
"in which year was the olympic games first held, and what city hosted them?",4
what factors are driving the current trends in the global stock market?,5
what are the top 10 foods that boost immunity and how often should they be consumed for optimal health benefits?,2
what is the role of probability in quantum mechanics and how does it influence our understanding of the physical world?,1
what are some effective strategies for managing stress during exam periods and academic pressure?,3
which country hosted the first ever winter olympic games?,4
what are the main differences between a bachelor's degree and an associate degree in terms of their academic requirements and career possibilities?,3
"in the wake of recent technological advancements, how has automation affected job opportunities in the finance sector?",5
who holds the record for the most home runs in a single major league baseball season?,4
"h of these questions covers various aspects of the sports category, such as historical context, rules, records, and unique characteristics of specific events or competitions.",4
"how does stress affect our immune system, and what are some effective ways to manage stress for improved health?",2
which team currently holds the record for the most world series wins in major league baseball?,4
what are the key steps in choosing the right educational program for one's career goals?,3
what are the key trends in venture capital investments for startups during the third quarter of this year?,5
which nba player has the most career points scored?,4
bonus question (mathematics - statistics): what is the standard deviation of a normal distribution and how can it be used to find probabilities? does higher standard deviation mean more dispersion or less dispersion in a dataset? explain your answer. (assuming this question goes beyond 5 for your request.),1
"what are the fundamental differences between private equity and venture capital financing options, and under what circumstances are they more suitable for businesses?",5
"how has globalization affected traditional cultural practices in various societies, and what are the implications for cultural preservation?",0
"in tennis, who holds the record for the most grand slam titles in the open era?",4
"question 5 (science - physics): according to newton's second law, what factors determine the acceleration of an object under a force? can you provide an example to illustrate this law in motion?",1
detailed analysis: how has the rise of remote work influenced the business models of traditional office-based companies?,5
in what ways does the concept of individualism differ among european societies compared to asian societies?,0
who is the youngest player to ever win a grand slam title in tennis?,4
"question 4 (mathematics - geometry): if the measures of the angles of a triangle are 3x - 2, 2x - 1, and x + 5, what is the value of x and the sum of the angles of the triangle?",1
what is the chemical formula for water and why is h2o considered a universal solvent?,1
what are the potential risks and benefits associated with investing in a startup company?,5
question 1 (science): what is the process by which photosynthesis converts carbon dioxide and water into glucose and oxygen?,1
se questions should fit well within the sports category and be engaging for a general audience.,4
"what are the key differences between a bachelor's degree and a master's degree in terms of duration, prerequisites, and career opportunities?",3
"question 5: calculate the area of a circle given its radius, and determine the formula for the circumference. furthermore, provide an example of a real-world application where this knowledge might be useful.",1
"what are the common signs and symptoms of depression, and how is it treated?",2
"how has the rise of massive open online courses (moocs) impacted the traditional educational system, and are there any potential advantages or disadvantages for students?",3
"what are the key differences between a bachelor's degree and a master's degree in terms of length, scope, and potential career opportunities?",3
"can technology be utilized to address issues like inequality and poverty within disadvantaged communities, and what are some successful case studies in this area?",0
who broke the record for the fastest 100 meters dash time in the history of the olympics in 2021?,4
"question 3: can you explain the benefits of adopting project-based learning in primary and secondary education environments, and provide examples of its successful implementation?",3
who holds the record for the most home runs in a single major league baseball season?,4
"what is the difference between relative and absolute refractive indices as they pertain to optical materials, and how are these properties utilized in applications such as lenses and prisms?",1
"how many olympic gold medals has michael phelps won throughout his career, and in which sports did he achieve these victories?",4
what are the significant cultural differences between traditional chinese and modern western societies?,0
"what are the fundamental principles of calculus, and how do mathematicians use them to solve problems involving rates of change and accumulation?",1
"what are the top 10 most influential books in the field of education, and why are they significant?",3
"in tennis, how many points does a player need to win a set in a grand slam tournament?",4
what are some important factors to consider when choosing a college or university?,3
"how does the big bang theory describe the origin of the universe, and what evidence supports this theory?",1
what is the projected growth rate of the e-commerce industry for the next five years?,5
"can you describe the process of photosynthesis in plants, and what role does it play in maintaining earth's oxygen levels?",1
"in what ways can distance learning, such as online courses and virtual classrooms, impact the quality of education, student engagement, and accessibility for individuals with disabilities or different learning styles?",3
what are some effective educational strategies for promoting critical thinking skills in students?,3
how do mendel's laws of inheritance contribute to the understanding of genetics in modern biology?,1
"what role does the heisenberg uncertainty principle play in our understanding of subatomic particles, and what are some real-world applications of this principle?",1
"what are the key factors to consider when investing in stocks for long-term growth, and how do they vary for different sectors?",5
what are the key factors influencing the current stock market trends and how will they impact long-term investment strategies?,5
what are the top 5 superfoods that boost the immune system and improve overall health?,2
analyze the cultural implications of the generational divide in values and beliefs within contemporary society.,0
what is the highest scored game in the history of the national football league?,4
which team has the most championship titles in the nba?,4
"discuss the role of teamwork in sports like football and basketball, and provide real-life examples of successful cooperation between team members.",4
who currently holds the record for the most home runs in a single major league baseball season?,4
"how does inflation impact small business profits, and what strategies can be used to mitigate its effects?",5
which country holds the record for the most world cup titles in football?,4
can you discuss the impact of globalization on local cultures and traditions?,0
what are the essential features to consider when selecting a reference management tool for students and academics?,3
"which team broke the record for the most points scored in a single basketball game, and in what year did this occur?",4
which universities in the united states offer the best programs for studying computer science?,3
evaluate the impact of the digital transformation on the traditional banking sector and predict future trends.,5
how can one effectively manage stress to maintain overall health and wellness?,2
"what is the mathematical formula for calculating the kinetic energy of an object, and provide an example of a real-world application.",1
can you discuss the significance of language preservation efforts in promoting cultural identity and unity?,0
"what was the most significant sports event of the year 2000, and why was it considered iconic in sports history?",4
what are the most effective ways to manage chronic stress and its impact on health?,2
"what are the advantages and challenges of multicultural education for students in schools, and what benefits could a more diverse classroom setting bring to broader society?",0
"in what ways do quantum physics and classical physics differ, and why is this distinction important in understanding the universe?",1
"can you discuss the historical impact of multiculturalism on the development of modern cities, and its challenges?",0
"how has the concept of community changed in the digital age, and what impact has it had on traditional social structures?",0
how has the influence of indigenous cultures impacted contemporary fine art and music in north america?,0
who was the first female to win a formula one race?,4
how can small businesses effectively manage cash flow during economic downturns to ensure long-term sustainability?,5
analyze the impact of globalization on traditional art forms and their preservation within individual societies.,0
"question 3 (science): ""what is the role of photosynthesis in plant growth, and how does this process utilize sunlight, water, and carbon dioxide?""",1
can you describe the role of cultural diversity in shaping a cohesive and inclusive global society?,0
what are the long-term effects of poor sleep habits on overall health?,2
what are the historical and social impacts of the women's suffrage movement on modern democracies?,0
what are the key benefits of a liberal arts education compared to a vocational or technical one?,3
"what role does sustainability play in business development and profitability, and how can companies adopt sustainable practices without compromising growth?",5
"what is the impact of cryptocurrency adoption on traditional banking institutions, and what challenges do traditional banks face in the digital currency market?",5
what are the recommended steps for treating chronic pain in accordance with current medical guidelines?,2
"how can regular exercise improve heart health, and what types of exercises are particularly beneficial for cardiovascular fitness?",2
what are the key factors contributing to the rise of social media influencers and their impact on modern society?,0
what are the potential risks and benefits of investing in cryptocurrency for a small business?,5
what are the benefits of getting enough sleep for overall health?,2
"who broke usain bolt's 100 meters world record at the olympics, and in which year?",4
how can regular exercise help to reduce the risk of chronic diseases such as heart disease and diabetes?,2
what are the risks and potential benefits of investing in cryptocurrencies for small and medium-sized enterprises?,5
"question 2 (mathematics): in calculus, what is the integral of the function f(x) = 3x^2 - 2x + 1 from 0 to 2?",1
what are the most significant societal changes that occurred during the 20th century and how have they impacted modern culture?,0
"question 4: what are the three states of matter and give an example of each, along with explaining how transitions between states can occur under certain conditions.",1
analyze the economic implications of the ongoing trade tensions between the us and china for multinational corporations.,5
"in which year was tennis legend serena williams ranked world no. 1 for the first time, and how many times has she been ranked no. 1 in total?",4
"in what ways has the digital age transformed traditional educational systems, and how does this affect the future of education?",0
