text,label
here are five paraphrased versions with the 'world' category:,0
"australia and new zealand worked together to rescue most of the whales stranded along their coastlines, pinpointing weather conditions as the primary cause of the beachings.",0
crude oil prices have witnessed a sharp drop due to the increasing concerns among the speculators who are worried about the future prices.,2
"coca-cola company reports negative second-half earnings due to decreased sales in north american and european markets, resulting in a lower share price.",2
"the performance of intel corp and yahoo inc on the stock market reflects a broader trend of improved earnings reports among major technology companies, contributing to a rise in asian stock prices.",2
today date:   jul,2
of_text|><|start_header_id|>system<|end_header_id|>,1
"during the    international games, greece experienced a surge in national pride as even its elderly population showed their support for the country's athletes, ultimately contributing to a stellar performance that saw the team bring home an impressive   medals.",0
"shares of tech giants intel corp and yahoo inc experience an uptick in after-hours trading following the release of impressive earnings reports, resulting in a surge in asian stock values.",2
of_text|><|start_header_id|>system<|end_header_id|>,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
cutting knowledge date: december,1
"""residents of illinois will be able to check their financial status for free from now on, thanks to a brand new provision.""",2
"""a chilling film sequel dominated the box office in los angeles, captivating moviegoers over the weekend and securing top spot at the box office, earning a staggering \$ . million.""",0
"in the lead-up to crucial debates on job creation and economic policies, key issues such as employment rates and joblessness have been brought to the forefront of discussions. the first president in history to face a four-year term with fewer individuals employed than at the beginning of their tenure is expected to face intense scrutiny tonight.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'gambill # ;s slump worsens delray beach  a return to one of his favorite and most successful atp tour stops wasn # ;t enough to stop jan-michael gambill # ;s slide.'",1
"after a hostage crisis in which over   people, most of them children, were killed, a high-ranking official from chechnya has claimed responsibility and vowed to carry out further attacks at his discretion.",0
"in a continued health update, palestinian leader yasser arafat remains in a critical condition, and his closest advisors are expressing optimism about a potential recovery.",0
"before debating jobs, us senator john kerry is set to fault president bush's administration for being the first to see a four-year term with a reduction in employment since herbert hoover.",0
here are five paraphrased versions of the given text with the category 'business':,2
"""the uk's premier organization for racing drivers has turned down a proposal to increase its offer for the british grand prix, an action that has led to a 'who's to blame' situation between the group in question and sir bernie ecclestone.""",2
green innovation meets architecture as winners of a renowned competition featuring ground-zero skyscrapers that generate energy through wind and solar power collected on their rooftops are revealed.,3
"microsoft and sendo resolve case of accusations that sendo's technology was stolen by microsoft, allowing sendo to operate without further dispute.",3
a gleaming milestone achieved by the olympic games in athens reflected the world's shared sentiment of pride and gratitude.,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
a landmark trial set to begin on monday will uncover the intricacies of wall street as former enron executives face the law.,2
"a recent study reveals that recreational fishing is causing significant harm to the world's marine fish populations, with sporting enthusiasts responsible for nearly a quarter of the damages.",3
cutting knowledge date: december,2
"the russian government is intensifying its efforts to prevent future terrorist attacks after a school siege in beslan claimed   lives, with chechen warlord shamil basayev behind the atrocity.",0
"iraq is expected to commence war crimes trials next week, marking a significant step in the judicial process against top officials of the deposed saddam hussein regime, who will appear in court for the first time in five months.",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
today date:   jul,1
to paraphrase the text 'no.   tenn. stuns no.   florida  -  (ap) ap - james wilhoit kicked a  -yard field goal with six seconds to go to lift no.   tennessee to a  -  victory over  th-ranked florida on saturday night.' with the 'sports' category:,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
here are five different paraphrased versions of the given text with the sports category:,1
here are the  paraphrased texts:,3
"a revolutionary new collection of ground zero skyscrapers, powered by their innovative rooftop wind and solar systems, has been named the winner in a contest to build a more eco-friendly urban landscape.",3
today date:   jul,0
cutting knowledge date: december,1
"vodafone targeting the younger generation with video phones, offering music and tv download capabilities.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'ingram micro buys leading asia-pacific it distributor in a move the company says significantly strengthens its position in the growing asia pacific region, distributor ingram micro inc.'",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
"in a welcome boost to the drug aimed at reversing blindness in the elderly, its prospects of broad government approval appear to be bright.",2
"with an unblemished record and impressive two-career complete game performance, san francisco giants # ; rookie noah lowry will strive to keep his strong pitching going as the team closes out a three-game series against the san diego padres.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'defense carries dallas the cowboys needed two things to avert an   start against the browns on sunday: defensive grit and the coaching of bill parcells.'",1
cutting knowledge date: december,2
cutting knowledge date: december,0
today date:   jul,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"as part of a concerted effort to hold the deposed saddam hussein regime accountable, iraq is gearing up to commence war crimes trials next week, with top figures set to appear in court for the first time in five months.",0
"russia is set to join forces with the us in the global fight against terrorism, announced president vladimir putin, who has outlined a series of measures to beef up kremlin's counter-terrorism efforts.",2
"in a strategic move to expand its reach, ingram micro has acquired a top-notch it distributor in the asia-pacific region, leading to a substantial boost in its regional influence.",2
"a lawsuit involving sendo and microsoft has been resolved, ending accusations that microsoft had illicitly gained ownership of sendo's intellectual property and customer data.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'day of violence across iraq leaves   dead baghdad, iraq - a suicide car bomber slammed into a line of police cars sealing off a baghdad neighborhood friday as american troops rounded up dozens of suspected militants, capping a day of violence across iraq that left at least   dead.    among the   suspects arrested were syrians, sudanese and egyptians, officials said...'",0
today date:   jul,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'coca-cola h net to miss estimates coca-cola co., said its second-half earnings will decline because of sluggish sales in north america and europe. its shares are traded at the lowest level since may   .'",2
"with seconds left on the clock, no.   tennessee's precision kicker, james wilhoit, delivered the game-winner, propelling his team to a  -  win over the formidable no.   florida squad.",1
cutting knowledge date: december,2
"to paraphrase a given text  times with the 'science and technology' category, i'll choose a provided text. i'll select the following text from the science and technology category:",3
"the shift to  year savings targets for the future has prompted the government to explore innovative solutions, including selling off real-estate properties and increasing bulk purchases.",3
cutting knowledge date: december,2
"in an audacious attempt at space travel, spaceshipone illustrated the need for boldness, forward thinking, and unwavering resolve. the mission parameters were clear: carry a payload of   miles high, weighing the equivalent of three individuals, and complete the task within two weeks to be considered successful.",3
"in a thrilling conclusion, no.   tennessee pulled off a stunning upset, downing no.   florida by a single point in a closely contested match.",1
cutting knowledge date: december,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'us takes aim at e-mail spammers ftc says tracking them down won # ;t be cheap; rewards of up to \$    needed, commission says. washington (reuters) - members of congress have backed a program encouraging  quot;bounty hunters quot; to track down e-mail spammers.'",3
cutting knowledge date: december,2
"iraq's war crimes trials will kick off next week, a milestone in the pursuit of justice for saddam hussein's ousted regime, as top officials face trial for the first time in five months.",0
the british racing drivers club has decided against further funding for britain's participation in the grand prix. the event's collapse is now being attributed to bernie ecclestone's actions.,1
today date:   jul,0
"coca-cola company announced second-half losses driven by decreased sales in europe and north america, causing the company's stock value to drop.",2
"ingram micro inc. has made a groundbreaking purchase in the asia-pacific it market, solidifying its position as a major player in the region with a cutting-edge distributor.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'british stun us in sprint relay britain took a shock gold in the men # ;s olympic    meters relay saturday, pipping favorites the united states by one hundredth of a second.'",1
of_text|><|start_header_id|>system<|end_header_id|>,2
of_text|><|start_header_id|>system<|end_header_id|>,3
of_text|><|start_header_id|>system<|end_header_id|>,3
"the vastness of the internet means that politicians can easily spread unverified claims, leaving journalists and citizens often confused. fortunately, organizations like factcheck.org effectively address this problem by verifying information, setting the record straight and enlightening the public.",3
here are five paraphrased texts related to the 'business' category:,2
"the brigham young university football team will be getting a new leader as their head coach, gary crowton, is set to be let go this week.",1
cutting knowledge date: december,1
cutting knowledge date: december,0
of_text|><|start_header_id|>system<|end_header_id|>,2
"in a significant development, india has launched an ambitious programme to counteract the threat posed by e-mail spammers, encouraging vigilante ""bounty hunters"" to track down these spammers, with substantial rewards of up to \$    available to incentivize them.",3
"with a strong defensive stand and the coaching expertise of bill parcells, the dallas cowboys were able to prevent a   start in their game against the browns.",1
cutting knowledge date: december,0
"greek judoka ilias ilias secured an impressive victory over roman gontyuk of ukraine in the men's under  kg category, winning greece its second olympic gold medal of the    olympics.",1
cutting knowledge date: december,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'what manmohan singh will likely to say in his address to unga in his maiden address to the unga, the prime minister will appeal to the world community to redouble its efforts to combat terrorism and build a strong case for india # ;s inclusion in the un security council.'",0
here are five paraphrased versions of the given text with the 'world' category:,0
"in a significant move, cleveland has acquired the services of kyle denney, a promising right-handed pitcher from the buffalo minor league system. montreal has, in the meantime, activated tomo ohka and jon rauch from the disabled list and transferred one baseman nick johnson to a  -day leave of absence.",1
"the detroit tigers have exercised a contractual option to retain the services of their manager, alan trammell, for the upcoming season.",1
"in a thrilling judo bout, ilias ilias of greece triumphed over ukraine's roman gontyuk, securing greece's second gold medal of the    olympics with a remarkable victory.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'martin defends record in year-end interviews prime minister paul martin was eager to touch on a number of issues, from missile defence to taxes to same-sex marriage, when he sat down for his annual year-end interview on tuesday.'",1
"communities such as leesburg, virginia, which are known for having fair and impartial judges, might frown upon the approach of dealing with internet spammers by giving them numerous online pop-up messages.",3
today date:   jul,3
today date:   jul,2
"at the athens olympics, the us men's basketball team's  -year winning streak came to an end, as italy pulled off the upset of the tournament by beating lithuania to secure a spot in the gold medal game.",1
"the    athens olympics, an event that shattered the globe's doubts with its resounding triumph, celebrated a momentous occasion.",1
here are five paraphrased versions of the text:,0
here's the paraphrased text: 'the detroit tigers made a move to keep manager alan trammell with the team for the    season.',1
"'sun's coo jonathan schwartz unveiled a forward-thinking strategy to provide cpu time rental services through a cycle farm, promising a low-cost and efficient computing solution'",3
"after a remarkable display of athletic success, the world bid farewell to a thrilling games that will forever be etched in history.",1
the given text is: 'alcohol ban row rages in algeria algeria's chances of joining the world trade organisation (wto) may be scuppered by its parliament's refusal to lift a ban on alcohol imports.',2
positive earnings reports from major tech companies such as intel corp and yahoo inc drive an increase in asian stock values as the companies' shares see an uptick in after-hours trading.,2
"'officials investigate dave matthews concert tour - authorities are thinking of bringing charges against the band and one of its bus drivers for dumping human waste into the chicago river, causing a boat tour to be ruined.'",0
today date:   jul,1
of_text|><|start_header_id|>system<|end_header_id|>,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"to paraphrase the given text 'finding truth on the internet when it comes to covering politics, journalists often fall into the 'he said, she said' trap without taking the time to delve into the details. the nonpartisan factcheck.org jumps into the informational breach. by louise witt' under the category of science and technology five times, here are the paraphrased texts in the form of a numbered list separated by new lines:",3
today date:   jul,0
"a groundbreaking effort led by spaceshipone showcased the critical role of vision, courage, and perseverance in advancing space travel. to achieve this remarkable feat, the challengers had to successfully transport a load equivalent to three people to a height of   miles above the earth and accomplish the same in just two weeks.",3
"""thanks to a decision by the federal government, they are actively exploring ways to generate huge savings, which amounts to approximately $  billion over the next five years, mainly through the sale of real estate and enhanced buying.""",2
"'tonight's debate between john kerry and president bush will focus on the deteriorating job market, with kerry highlighting bush's failure to create new jobs since taking office in   .'",0
sprint and sbc have joined forces to increase the accessibility of their short-range wireless connections in numerous areas.,3
us officials choose to downplay the recent reports claiming that the us government secretly offered italy a significant sum of money to secure the release of two italian hostages.,0
"the communist party of china released a major policy document on sunday highlighting the significance of enhancing its governance capabilities, a critical factor in determining china's socialist cause and the nation's future.",0
