text,label
"artificial intelligence challenges ethics: as ai continues to advance, the role of ethics in its development becomes increasingly important. a debate is raging among experts on whether ai should be programmed to follow a predetermined moral code or if it should be allowed to make its own decisions based on its learning.",3
"facebook to enter financial services market: in a move to diversify its business, facebook is set to launch a digital currency called libra as part of a new financial services platform. this will allow users to make secure and instant online transactions.",2
"nato exercises conducted near russian borders: tensions rise between allies and moscow""",0
"nasa announces discovery of new exoplanet with potential for life: in a groundbreaking finding, nasa's hubble space telescope has detected an exoplanet orbiting a distant star that exhibits similarities to earth, raising the possibility of habitable extraterrestrial life.",3
"earthquake strikes off indonesian island, causing tsunami warning - a strong earthquake, measuring 7.5 on the richter scale, struck off the coast of indonesia's sulawesi island early monday morning. the earthquake triggered a tsunami warning, which was later lifted, but it caused panic and fear among the locals. thousands of people were evacuated as a precautionary measure.",0
"quantum computing gains momentum: ibm and google lead the race tech innovations - the technology industry is buzzing with ibm and google's race to create a functional quantum computer, which could have profound implications for fields ranging from cryptography to medicine.",3
"location: middle east, israel-palestine",0
"messi targets treble as barca face real sociedad: barcelona superstar lionel messi is aiming for a historic treble as barcelona face real sociedad in la liga, with the catalan giants looking to add the domestic title to their champions league and copa del rey successes.",1
new tech startup launches with innovative ai-powered financial planning tool that streamlines investment strategies for small businesses and individual investors.,2
"ai algorithm solves ancient puzzle of the nazca lines - the nazca lines, mysteriously etched into the desert in peru, have baffled archaeologists for decades. now, a new ai algorithm developed by a team of scientists has discovered that rain and wind combine to create the patterned lines, shedding new light on their origins and creators.",3
"facebook under fire for data breach: facebook is facing a potential lawsuit over a data breach that exposed the personal information of over 500 million users, raising concerns about privacy and cybersecurity.",2
"perth (ap) -- a team of marine biologists from the australian institute of marine science (aims) has made a remarkable discovery during a deep-sea expedition. they have identified a new species of coral, never before seen by humans, thriving in the nutrient-rich waters off the coast of western australia. the newly discovered species, named lysosma reefensis, could provide scientists with important insights into the origins of coral life on earth.",3
"quantum computing breakthrough: google unveils new quantum processor capable of performing 4.58 quadrillion calculations per second, surpassing current supercomputers.",3
"clashes in israel and palestine: heavily armed israeli forces clash with palestinian militants in gaza city, resulting in numerous casualties. the united nations calls for an immediate ceasefire in the region.",0
"amazon acquires another e-commerce platform: in a major move aimed at strengthening its position in the e-commerce sector, amazon has announced its acquisition of the popular online retailer, ""e-shop xyz"". the deal, worth $1.5 billion, is expected to boost amazon's sales and increase its global market share.",2
"spacex's starship achieves crucial height milestone in latest test spacex's starship, a fully reusable transportation system designed to carry both crew and cargo to destinations on earth, moon, mars, and beyond, recently hit a record-breaking height in its latest test flight.",3
nasa announces discovery of potential water ice on mars' perseverance rover finds evidence,3
"apple inc. releases latest version of popular e-payment service apple pay, boasting enhanced security features and global expansion plans set for the coming year.",2
"nadal battles into wimbledon fourth round: spanish tennis legend rafael nadal survived a five-set thriller to advance to the fourth round of wimbledon, setting up a blockbuster match against fellow clay-court master and 20-time grand slam winner roger federer.",1
"yankees acquire top pitcher: the new york yankees have traded for all-star pitcher gerrit cole, adding a formidable arm to their pitching rotation as they aim to reclaim the world series title.",1
"un address: new un secretary-general antonio guterres delivers his first address to the united nations general assembly, focusing on climate change and global cooperation.",0
spacex launch success: spacex has successfully launched its falcon 9 rocket carrying a satellite for a leading telecommunications company. the successful launch marks a significant step towards reusable rocketry and affordable space travel.,3
"taliban captures key city in afghanistan after days of heavy fighting, kunduz - the taliban has seized control of the key city of kunduz in northern afghanistan after days of fierce fighting, the governor of the province said on monday, dealing a major blow to the government in kabul.",0
location: north korea,0
"messi scores four goals in barcelona's win: barcelona wins an exciting la liga match with lionel messi scoring four goals, setting a new personal record for most goals in a single game.",1
"cyclone hits coastal india, thousands evacuated chennai, india - as cyclone jawad inches closer to the indian coast, thousands of residents in the state of tamil nadu have been evacuated from their homes in preparation for the storm. forecasters have predicted strong winds, heavy rain, and flooding due to cyclone jawad's landfall, which is expected to occur tomorrow.",0
