text,label
"based on the provided examples, here are five new text examples in the 'science and technology' category:",3
cutting knowledge date: december,0
of_text|><|start_header_id|>system<|end_header_id|>,0
cutting knowledge date: december,3
"research suggests that remote work can have a significant positive impact on the environment, as it decreases the need for commuting and thus reduces greenhouse gas emissions. however, some businesses are finding it challenging to adapt to a fully remote workforce.",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
today date:   jul,2
"space agencies around the world are planning for a manned mission to mars in the next decade. engineers are working on developing advanced technologies for a safe and efficient journey to the red planet, which is expected to significantly expand our understanding of the universe.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
"advances in artificial intelligence may lead to a future where machines can create more efficient healthcare solutions, but the risk of job loss for medical professionals remains a pressing concern.",3
"researchers discover hidden patterns in ancient astronomical data, opening up new avenues for understanding the cosmos, but the implications of these findings may be more significant than initially meets the eye.",3
of_text|><|start_header_id|>system<|end_header_id|>,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
"a breakthrough in space exploration technology has made it possible to transport liquid materials to the moon with unprecedented precision, paving the way for future lunar missions and potential habitation.",3
"the newly appointed uk prime minister has outlined plans for a major overhaul of the country's education system, with a focus on improving test scores, funding vocational training, and increasing access to higher education.",0
"the ongoing refugee crisis has led to a surge in international aid efforts, with donors and governments coming together to provide relief to those affected.",0
"eu diplomat urges greater china involvement in ukrainian peace talks despite growing tensions between the european union and china, one of the eu's top diplomats is calling for greater chinese involvement in ukrainian peace talks, arguing that beijing should take a more active role in brokering a truce between kyiv and moscow.",0
"a recent study has shown that a majority of consumers would opt for sustainable products, but are unaware of the real environmental impact of their purchasing decisions.",2
"a new study suggests that the world's oceans may be able to absorb more carbon dioxide than previously thought, potentially offering a solution to the problem of climate change.",3
"the u.n. can put a human on the moon by    but it will require cooperation between governments, scientists, and engineers. experts estimate that this bold goal will also involve a major investment in space exploration.",0
"in a shocking twist, former quarterback kyle trumps announces his retirement; the announcement comes after rumors of tension between him and the team's coach.",1
breakthrough discovery could lead to more efficient batteries the development of new materials could significantly increase the life of batteries.,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
"tech industry titan, mark zuckerberg, makes a massive investment in renewable energy to reduce carbon footprint and promote sustainable growth in the digital era.",2
cutting knowledge date: december,3
"an advanced ai system that can interpret the intricacies of human language has been hailed as a game-changer in natural language processing, giving us new insights into the complexities of human communication.",3
cutting knowledge date: december,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"former nba star lebron james' decision to retire has sparked a heated debate among fans and analysts, with some arguing that his absence will be a huge loss for the sport, while others claim it's a chance for younger players to take the stage.",1
"based on the provided examples, here are five generated texts that fit the 'science and technology' category:",3
of_text|><|start_header_id|>system<|end_header_id|>,3
here are five new texts in the 'business' category:,2
"the escalating conflict between two major nations has left the international community concerned about the potential consequences. diplomats are working tirelessly to negotiate a peaceful resolution, but tensions remain high.",0
today date:   jul,3
"experts warn of a looming skills gap in the workforce as automation continues to take hold, and companies must adapt to preserve their competitive edge.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
"based on the given examples, here are  new generated texts that fit the 'science and technology' category:",3
"lebron james' influence extends far beyond the court, as he has become a prominent figure in social justice movements and philanthropy off the field.",1
"turkish lira's plunge to record low reignites fears of a fresh economic crisis the lira, which has slipped almost  % against the u.s. dollar this year, was down  .  on friday.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
cutting knowledge date: december,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
"scientists have made a breakthrough in the study of dark matter, uncovering new clues about the mysterious substance that makes up a quarter of the universe.",3
"as the new stadium opens its doors, fans are eagerly anticipating the chance to cheer on their favorite athletes in a state-of-the-art facility that's set to elevate the game day experience.",1
"the discovery of a new exoplanet that resembles earth in size and temperature raises hopes for the possibility of finding life beyond our solar system, scientists say it's a significant breakthrough.",3
today date:   jul,1
of_text|><|start_header_id|>system<|end_header_id|>,0
"a new startup has revolutionized the way we think about employee benefits, offering a unique compensation package that includes things like student loan repayment and on-site childcare. this approach is attracting top talent in a competitive job market.",2
today date:   jul,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
"car prices continue to drive down sales, despite the efforts of manufacturers to boost production, consumers are prioritizing other factors when making purchasing decisions.",2
"new economic downturn predicted in the us due to over-reliance on digital commerce, experts warn of rising job insecurity and long-term financial instability.",2
of_text|><|start_header_id|>system<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
of_text|><|start_header_id|>system<|end_header_id|>,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
"the us market could see a significant slump if the ongoing trade tensions escalate with china, experts predict the long-term effects of a full-blown trade war could be severe on the nation's economy.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
the long-awaited merger between coffee giants starbucks and nespresso is expected to reshape the global coffee industry.,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
today date:   jul,1
jalen rose's emotional reaction to kobe bryant's statue unveiling speaks volumes about the impact his legend has on the next generation of sports fans,1
here are five new text examples that fit the 'world' category:,0
"the new nba draft's number one pick is already turning heads with his impressive skills, a combination of speed, agility, and precision that few players in the league have ever seen.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
"the world's leading diplomats met at a conference in new york to push for a united stance on the current global economic crisis, stressing the need for collective action to avoid further devastating consequences.",0
of_text|><|start_header_id|>system<|end_header_id|>,3
scientists have discovered a new species of underwater plant that has the ability to change its colors depending on the surrounding environment in an attempt to adapt to the challenges of coral bleaching. this plant could potentially thrive in areas experiencing high temperatures.,3
"the united nations has pledged aid to a developing country affected by a natural disaster, with leaders from the global community expressing their support for the effort.",0
today date:   jul,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
of_text|><|start_header_id|>system<|end_header_id|>,0
cutting knowledge date: december,1
cutting knowledge date: december,3
of_text|><|start_header_id|>system<|end_header_id|>,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
"researchers discover new species of glow-in-the-dark fungi growing in depths of remote forest, a significant finding that could provide insights into bioluminescence and the earth's ecosystem.",3
cutting knowledge date: december,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
today date:   jul,1
here are five new texts that fit the 'sports' category:,1
"as the off-season comes to a close, the sports world waits with bated breath for the upcoming transfer window where fans will witness their favorite clubs make pivotal signings that will redefine the season's trajectory.",1
the global response to a natural disaster has been hampered by bureaucratic red tape and lack of coordination among governments and aid organizations.,0
a major oil spill threatens the delicate ecosystem of a tropical island nation.,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
"the uk's transition to a new prime minister has been an ongoing process since the previous one left office seven years ago. brexit was once the priority, but now the focus is on rebuilding the economy after the pandemic.",0
"based on the given examples from the 'news topic' classification dataset, i will generate  new texts that fit the 'business' category. here they are:",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
today date:   jul,2
here are five new texts that fit the 'sports' category:,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
