premise,label,hypothesis
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
foreign ships carried new diseases to the islands as well.,1,"actually, the ships did not meet expectations."
but the standard for appointing an independent counsel can't be that broad.,2,today date:   jul
that's what we that's the way we call it which is really wrong but my wife's mother and the one she's in san antonio it's you know it's everything but the opposite of what you've seen i mean it's it's a little hotel hotel you might say,0,"the name for this thing is what we call it, even though it's utterly incorrect, but my wife's mother and the one she's connected with in san antonio, who knows it's completely opposite to what you have seen, is that it's a small hotel."
"it is also said that seleyman, in awe of his architect's achievement, handed the keys to sinan at the inauguration ceremony and allowed him the privilege of opening it.",1,today date:   jul
"and as for hillary, forget it.",0,"'as far as hillary is concerned, one should not expect anything positive to happen.'"
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,"'on the contrary, all the organizations i'm affiliated with readily sell their membership lists.'"
uh they finally got smart and got a riding lawn mower which was a big improvement for for us  us kids who had to go out there and uh mow the the grass every every week,1,of_text|><|start_header_id|>system<|end_header_id|>
"subsequent to the issuance of the ffc report, nasa received iso 9000 certification for its headquarters office and each of its centers.",0,today date:   jul
"and as for hillary, forget it.",0,"'with regards to hillary, the outcome is undesirable, so it's pointless to consider it.'"
oh those hedges when they started moving whenever they  they made that into a movie i was thinking oh my gosh if they show that i'll just die for some reason that scared me more than anything,2,"'i wasn't at all scared when they made that movie, my heart didn't even skip a beat.'"
"they had sent the beard, as directed, to ""l. ",0,cutting knowledge date: december
we come after senor juanito because he dropped his purse.,1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
uh they finally got smart and got a riding lawn mower which was a big improvement for for us  us kids who had to go out there and uh mow the the grass every every week,1,we were surprised by our parents' decision to purchase a high-tech lawnmower.
"st. peter's basilica is the largest of all roman catholic churches and by any standards a grandiose achievement, but it inevitably suffered from the competing visions of all the architects called in to collaborate bramante, giuliano da sangallo, raphael, baldassare peruzzi, michelangelo, giacomo della porta, domenico fontana, and carlo maderno each adding, subtracting, and modifying, often with a pope looking over his shoulder.",2,today date:   jul
l. 104134 directed the department to issue interim regulations within 30 days of the date of enactment.,1,of_text|><|start_header_id|>system<|end_header_id|>
prairie state will share the money with the county.,1,the county would greatly benefit from receiving that money.
"subsequent to the issuance of the ffc report, nasa received iso 9000 certification for its headquarters office and each of its centers.",0,"after the ffc report was published, nasa received iso    certification for its administrative and technical spaces."
prairie state will share the money with the county.,1,today date:   jul
"these havens of relaxation set among golf courses, gardens, and orchards still do the mountain ranges of the peninsula's interior, but they are now holiday resorts.",2,'the transformation of these havens into holiday resorts has had a negative impact on the environment.'
oh i've seen that yes,2,cutting knowledge date: december
oh i've seen that yes,2,'i'm not aware of your observation.'
foreign ships carried new diseases to the islands as well.,1,it's a known fact that the ships were below par.
but the standard for appointing an independent counsel can't be that broad.,2,'we shouldn't make any changes at all to the standard for appointing an independent counsel.' ->
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,cutting knowledge date: december
"i already know i am an idiot, but am i to be a happy idiot or a miserable one?",1,cutting knowledge date: december
and be careful. the russian beckoned.,1,today date:   jul
"it is difficult to believe that these bizarre shapes, staircases going nowhere, and windows in walls without rooms were built in 1724 by a serious student, rather than in the last century by some deranged architect.",2,cutting knowledge date: december
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,cutting knowledge date: december
and so they've already shifted the risk if they assume that car then they just have to sell it themselves and they'll recover the loan,2,assumptions about recovering the loan don't involve selling the car.
"and as for hillary, forget it.",0,today date:   jul
"so unlike the truly new generation, i wasn't faced with the debt burden.",1,i did not struggle with debt like the truly new generation seems to.
