text,label
how can a healthy diet improve overall health and prevent diseases? provide specific examples of foods and their benefits.,2
how do cultural norms and traditions in different countries influence the attitude towards interracial dating?,0
i am a high school student and interested in pursuing a career in medicine. what prerequisites and educational path should i follow to apply for medical school?,3
what is the difference between a cube and a sphere in terms of surface area and volume?,1
what are the common symptoms of stress that can affect a person's health?,2
explain the process of photosynthesis and its importance to life on earth.,1
in what ways could society benefit from increasing acceptance and representation of people with disabilities?,0
can you explain the process of initial public offering (ipo) and the significance of it for startups?,5
"recently, there has been a growing movement towards more inclusive and diverse representation in various forms of media. how has this affected the way society perceives and interacts with members of different racial and ethnic groups, and what future effects might this movement have on our cultural landscape?",0
"some argue that the patriarchal system in many societies has disadvantages for women, such as a lack of representation in leadership positions. how can we work towards creating a more balanced and gender-equal society?",0
what are some common strategies used in cricket that cannot be found in baseball?,4
"how do cultural beliefs and traditions influence the way individuals address mental health issues, and are there noticeable differences between various societies?",0
how can i find scholarships for students who are interested in studying environmental science?,3
what is the process for converting celsius to fahrenheit? give an example conversion.,1
"how does photosynthesis work, and why is it necessary for plant survival?",1
"i would like to learn a new language, but i don't have the time or resources to take a class. are there any online resources or apps for self-paced language learning?",3
i'm having trouble with my college application essay. can you provide some tips on how to make it stand out among other applicants?,3
"in which year did michael jordan retire from the nba for the first time, and why did he come back after two years?",4
hat are the societal implications of the increasing acceptance of interracial marriages in modern society?,0
"according to a study, people in eastern cultures tend to value collectivism, while western cultures value individualism. what are some advantages and disadvantages of each approach in fostering creativity and progress in a society?",0
what are some recommended exercises for improving lung capacity and respiratory health?,2
i'm interested in pursuing a graduate degree in environmental science. which universities in the u.s. are known for their strong environmental science programs?,3
what are some strategies for improving my credit score to be more appealing to lenders for a business loan?,5
"as a high school student, i am struggling with my grades which are mostly c's. is there hope for me to get into my dream college with these grades?",3
how can i evaluate the financial impact of a product recall on a company's market value?,5
"what is the scientific explanation behind newton's third law of motion that states ""for every action, there is an equal and opposite reaction""?",1
how does regular exercise benefit my heart health?,2
calculate the area of a parallelogram with a base of 10 cm and a height of 20 cm.,1
ow do cultural differences between native-born and immigrant populations affect integration and community cohesion in multicultural societies?,0
how does lack of sleep impact an individual's mental and physical health?,2
how many atoms are present in 1 mole of carbon-12?,1
how does a person go about negotiating a salary increase with their current employer?,5
how does photosynthesis convert carbon dioxide and water into glucose and oxygen in plants?,1
"what are some historical events that shaped modern multicultural societies, and how have they impacted the world today? examples include the great migration, the british empire, or the silk road.",0
"in chemistry, what is the role of a catalyst in a chemical reaction and why is it important?",1
"what are the properties of a superconductor, and how are they useful in applications such as mri machines and levitating trains?",1
what are the advantages and disadvantages of freelancing versus traditional employment?,5
how do startups in silicon valley secure funding for their innovative ideas?,5
"in several western cultures, gay couples are allowed to marry. however, in some middle eastern countries, this is still illegal. do you think the rest of the world should pressure these countries to change their laws to allow same-sex marriage?",0
"as a student, i am planning to study abroad next year. can you suggest some universities in europe that offer scholarships for international students in the field of computer science?",3
"in cricket, what is the term used to describe a batsman reaching 10,000 runs for their country (team)?",4
