premise,label,hypothesis
no one need sit up. ,0,cutting knowledge date: december
7standardsforinternalcontrolinthefederalgovernment(gao/aimd99.,1,of_text|><|start_header_id|>system<|end_header_id|>
"adrin's own off-hand dagger came up, the tip and guard catching jon's blade.",2,"'adrin never had a dagger, and jon was in possession of a deadly weapon that was not a dagger.'"
"so, if the bear is going anywhere, send him back to canada.",1,"this bear's new home should be in canada, as it is where it is originally from."
access to these materials can permit public comments filed on rules to be more informed and targeted to particular issues.,2,having access to these materials will make public comments filed on rules less targeted to particular issues.
a good case study presents the findings and conclusions for other studies on the same issue.,0,"in order to provide a complete understanding, a case study should incorporate the key results of other studies on the same topic."
"the kentuckian had no idea of the passing of time; it was all part of the knowledge that slow movements, not swift ones, would prevent new panic.",1,a hasty movement by the kentuckian would unnerve the herd.
"so, if the bear is going anywhere, send him back to canada.",1,"if this bear has to go somewhere else, it should be sent to the place where it originally belongs."
"when mls launched, u.s. players were so grateful to get work that they accepted mls's terms of employment.",0,"upon the founding of mls, united states players eagerly accepted employment offers."
"'computer, how do i fix this damage?' i demanded.",2,"""there was no damage to fix."""
"on the north side is the cafe bonaparte, and on the west the famous deux magots.",1,"here are five paraphrased versions of the  ""café bonaparte isn't very far from the deux magots"" that are neutral, as they are equivalent in meaning to the original  but phrased differently:"
"its streets of attractive 16th- and 17th-century houses, built along the banks of the eure river, offer a pretty view of the cathedral.",2,cutting knowledge date: december
"the cover had been designed, the catalog copy written.",0,'the cover design and catalog text were completed at the same time.'
"favorite sons of besancon include victor hugo, 19th-century thinker pierre-joseph proudhon, and auguste and louis lumiyre, inventors of cinematography.",1,'pierre-joseph proudhon and victor hugo coexisted in a close relationship.'
within the u.s. it is surprising that the average postal density of the bottom quartile of routes (ranked by cost) is lower than the postal density for the rural routes serving the least densely settled 10 percent of the population (50 versus 89).,2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"tennessee has a surcharge on speeding tickets, ohio assesses an annual lawyer registration fee, and texas uses dollars from its crime victims compensation fund for such programs.",1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"as redgrave moves from person to person--worrying about what each is really thinking, and about the young man whose tragic fate she heard tell of from one of her guests--the movie floods with feeling.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
access to these materials can permit public comments filed on rules to be more informed and targeted to particular issues.,2,today date:   jul
"on the north side is the cafe bonaparte, and on the west the famous deux magots.",1,'café bonaparte isn't very close from the famous deux magots.'
"the story of a white missionary family in the congo, the novel is praised for its attention to detail, female voices, and critical take on colonialism.",1,here are the  paraphrased hypotheses that are neutral:
slate is similarly displeased that i invited fellow scholars to write individual introductions for each volume of the schomburg library of nineteenth-century african-american women writers --a series that i conceived and for which i served as general editor.,0,"i had the responsibility of overseeing the ""schomburg library of nineteenth-century african-american women writers"" project as its general editor.'"
"the original hammer-beam wooden roof is the highlight of the design, with thick beams and painted decorations.",1,today date:   jul
"the technique remains the same, although it was adopted on the peninsula only in the 20th century.",1,the technique is effective and does not require any modifications.
he shot two near the end of the column and then fell back to the kal's furious defense as he reloaded.,1,today date:   jul
"the installation of the scr, fgd, and aci control technologies will require the following types of ",2,of_text|><|start_header_id|>system<|end_header_id|>
sales of bruno magli shoes are up 30 percent this year.,1,today date:   jul
they have killed six and seventeen remain.,1,"'six people have been killed, and seventeen people remain.'"
they have killed six and seventeen remain.,1,cutting knowledge date: december
"mary looked up at him, the colour slowly rising in her face. ",0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"so, if the bear is going anywhere, send him back to canada.",1,"in order to help the bear, it would be best to return it to its native home in canada."
"the cro-magnon shelter (abri de cro-magnon) on the north side of town is the spot where, in 1868, railway workers uncovered three 30,000-year-old human skel?­e?­tons beside their flint and bone tools.",0,"'in   , railway workers in the town discovered human remains and tools that date back approximately  ,  years.'"
access to these materials can permit public comments filed on rules to be more informed and targeted to particular issues.,2,"if the public has access to these materials, comments filed on rules will be neither informed nor targeted to particular issues."
" ""rumpelstilsken, i command the sun to set!""  he seemed to sense a hesitation in his mind, and then the impression of jeweled gears turning.",2,today date:   jul
"even after hadrian's wall was built in the second century a.d. , marauding bands from the north figured out a way to circumvent this formidable line of defense by launching their boats across the solway firth, landing on the coast of cumbria south of the wall, and attacking the romans from behind.",0,the marauding bands found a way to get past hadrian's wall in the second century a.d. by crossing the water at the solway firth.
"speaking of turkey, in honor of thanksgiving slate has published a full week's issue as of today (wednesday, nov. 26), two days early.",2,of_text|><|start_header_id|>system<|end_header_id|>
"but there it is, she can tell you nothing."" 116 ""but why, man? ",0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
so i was always fighting against the idea of looking tailored or mannish uh and people would never ever guess that i was phys ed and um and that pleased me,1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
oh gosh oh cut your time in half at least,2,'you should have two times the amount of time you have now.'
"as redgrave moves from person to person--worrying about what each is really thinking, and about the young man whose tragic fate she heard tell of from one of her guests--the movie floods with feeling.",2,of_text|><|start_header_id|>system<|end_header_id|>
no one need sit up. ,0,'there is no need to get up from a lying position.'
"and then concentration-camp-thin ruth, in a burst of unusual clarity and impatience, shakes joseph up with the most mundane diagnosis of  i'm just a girl from westchester who has trouble with food.",1,clarity typically shows up only on tuesdays.
"as redgrave moves from person to person--worrying about what each is really thinking, and about the young man whose tragic fate she heard tell of from one of her guests--the movie floods with feeling.",2,"the statement 'as redgrave moves from person to person--worrying about what each is really thinking, and about the young man whose tragic fate she heard tell of from one of her guests--the movie floods with feeling.' contradicts with"
oh gosh oh cut your time in half at least,2,cutting knowledge date: december
which means there's a higher probability of now having a state income tax even though good old tax and spend annie my favorite uh decided that uh during the campaign she said we weren't gonna have a state income tax and now she's gonna renege on that which i expected her to do anyway uh we'll see what happens i don't know at any rate uh,0,"the announcement by annie about not having a state income tax was not a convincing statement for the speaker, implying that there's still a high likelihood of having a state income tax."
"most of the candidates, with the exception of bush, who hasn't yet taken a stand, also say that certain records, including medical and financial information, should be protected by legislation.",0,"all the candidates agree with bush, who believes that personal records deserve protection, that certain information shouldn't be disclosed."
"but there it is, she can tell you nothing."" 116 ""but why, man? ",0,'she can't tell you anything. what's your point?'
"when mls launched, u.s. players were so grateful to get work that they accepted mls's terms of employment.",0,today date:   jul
"and then concentration-camp-thin ruth, in a burst of unusual clarity and impatience, shakes joseph up with the most mundane diagnosis of  i'm just a girl from westchester who has trouble with food.",1,the clarity of purpose on tuesdays is quite unique.
encryption is ok because its authority is created in my very own machine.,1,cutting knowledge date: december
it's real handy because it doesn't have a cord and you beat this cornstarch right into the milk the milk you know and it does an excellent job or just hand beat it i guess you could use a hand mixer but i don't think it pure i don't think it gets it good enough and then before the milk gets too hot um i add two beaten eggs and i really mix them in good and then about a half a cup of sugar,2,it's real inconvenient because it has a cord and you don't beat the cornstarch right into the milk until the milk gets too hot.
"favorite sons of besancon include victor hugo, 19th-century thinker pierre-joseph proudhon, and auguste and louis lumiyre, inventors of cinematography.",1,'victor hugo and pierre-joseph proudhon maintained a deep friendship.'
sales of bruno magli shoes are up 30 percent this year.,1,"'in the realm of bruno magli shoes, there was a slight rise in sales, but not all sales-related phenomena can be called positive this year.'"
"mary looked up at him, the colour slowly rising in her face. ",0,"'as mary gazed up at him, a slow flush crept up to her cheeks.'"
no no they're not real hard,2,cutting knowledge date: december
"adrin's own off-hand dagger came up, the tip and guard catching jon's blade.",2,today date:   jul
"pubs were once where men went to escape from women, but times have changed.",2,"back then, people saw pubs as a space where men would prefer the company of other men, they still believe that to be true today."
"on the north side is the cafe bonaparte, and on the west the famous deux magots.",1,'café bonaparte is somewhat near the deux magots in terms of distance.'
"most of the candidates, with the exception of bush, who hasn't yet taken a stand, also say that certain records, including medical and financial information, should be protected by legislation.",0,the majority of the candidates have taken a position that certain records should be protected by legislation.
which means there's a higher probability of now having a state income tax even though good old tax and spend annie my favorite uh decided that uh during the campaign she said we weren't gonna have a state income tax and now she's gonna renege on that which i expected her to do anyway uh we'll see what happens i don't know at any rate uh,0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"so, if the bear is going anywhere, send him back to canada.",1,today date:   jul
no longer do we have a point where the crime fits the punishment we've got guys now with in texas anyway is what i'm talking about,0,'the notion of proportionality in punishment does not apply in the way that it used to in texas.'
"the cover had been designed, the catalog copy written.",0,of_text|><|start_header_id|>system<|end_header_id|>
a deep cleft creased his chin.,0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"planning and organizing for this final merger has been extensive, and a merger website at www.wvlegalservicesmerger.org helps facilitate the process.",1,'individuals and groups involved in the merger are making use of the website as a helpful resource.'
i've had them for carpet cleaning i've had them for of course for you know real estate investments know you get uh,2,"'they're used for investments, not for cleaning my carpets.'"
"the installation of the scr, fgd, and aci control technologies will require the following types of ",2,"'there are no prerequisites for the installation of the scr, fgd, and aci control technologies because these technologies are not required.'"
"the story of a white missionary family in the congo, the novel is praised for its attention to detail, female voices, and critical take on colonialism.",1,cutting knowledge date: december
"planning and organizing for this final merger has been extensive, and a merger website at www.wvlegalservicesmerger.org helps facilitate the process.",1,'the merger website is serving its purpose and people appreciate its assistance.'
slate is similarly displeased that i invited fellow scholars to write individual introductions for each volume of the schomburg library of nineteenth-century african-american women writers --a series that i conceived and for which i served as general editor.,0,today date:   jul
yeah yeah yeah but the paneling and the wallpapering and the and that kind of stuff are alike,0,of_text|><|start_header_id|>system<|end_header_id|>
"the technique remains the same, although it was adopted on the peninsula only in the 20th century.",1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
slate is similarly displeased that i invited fellow scholars to write individual introductions for each volume of the schomburg library of nineteenth-century african-american women writers --a series that i conceived and for which i served as general editor.,0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
they have killed six and seventeen remain.,1,today date:   jul
"favorite sons of besancon include victor hugo, 19th-century thinker pierre-joseph proudhon, and auguste and louis lumiyre, inventors of cinematography.",1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"tennessee has a surcharge on speeding tickets, ohio assesses an annual lawyer registration fee, and texas uses dollars from its crime victims compensation fund for such programs.",1,it's challenging for the programs in certain states to get the necessary funds they require.
"subsequent to the issuance of the ffc report, nasa received iso 9000 certification for its headquarters office and each of its centers.",0,'nasa's receipt of iso    certification for its headquarters office and each of its centers followed the publication of the ffc report.'
"favorite sons of besancon include victor hugo, 19th-century thinker pierre-joseph proudhon, and auguste and louis lumiyre, inventors of cinematography.",1,'victor hugo and pierre-joseph proudhon had a strong social connection.'
the law specifically states that records generated by emergency and trauma physicians are not covered because their primary function is not to provide substance abuse counseling.,0,"trauma physicians are not primarily involved in substance abuse counseling, hence they aren't typically covered by law."
no no they're not real hard,2,they don't require much effort.
"the technique remains the same, although it was adopted on the peninsula only in the 20th century.",1,the technique is working efficiently without necessitating any updates.
" ""rumpelstilsken, i command the sun to set!""  he seemed to sense a hesitation in his mind, and then the impression of jeweled gears turning.",2,cutting knowledge date: december
"on the north side is the cafe bonaparte, and on the west the famous deux magots.",1,cutting knowledge date: december
"the technique remains the same, although it was adopted on the peninsula only in the 20th century.",1,today date:   jul
"its streets of attractive 16th- and 17th-century houses, built along the banks of the eure river, offer a pretty view of the cathedral.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"the story of a white missionary family in the congo, the novel is praised for its attention to detail, female voices, and critical take on colonialism.",1,"'the novel is a historical fiction that explores the experiences of a white missionary family in the congo, and its author received praise for the book's detailed portrayal of the family and its social context.'"
that's not too old,2,'that's not excessively youthful'
"most of the candidates, with the exception of bush, who hasn't yet taken a stand, also say that certain records, including medical and financial information, should be protected by legislation.",0,today date:   jul
encryption is ok because its authority is created in my very own machine.,1,'encryption technology is one of the functions offered by personal computers.'
"planning and organizing for this final merger has been extensive, and a merger website at www.wvlegalservicesmerger.org helps facilitate the process.",1,today date:   jul
"even after hadrian's wall was built in the second century a.d. , marauding bands from the north figured out a way to circumvent this formidable line of defense by launching their boats across the solway firth, landing on the coast of cumbria south of the wall, and attacking the romans from behind.",0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"adrin's own off-hand dagger came up, the tip and guard catching jon's blade.",2,"'adrin did not draw his dagger, and jon was actually attacking him.'"
(the stated interest is the interest that is payable to the investor according to the stated interest rate.),1,'there is no relation between the price at which the investor gets repaid and a good price.'
"the cover had been designed, the catalog copy written.",0,'both the catalog and cover had their content finalized.'
" ""rumpelstilsken, i command the sun to set!""  he seemed to sense a hesitation in his mind, and then the impression of jeweled gears turning.",2,"'his composure faltered momentarily, allowing the faintest glimmer of doubt to creep in.'"
"the installation of the scr, fgd, and aci control technologies will require the following types of ",2,"'the installation of the scr, fgd, and aci control technologies will be impeded by these types of.'"
that's not too old,2,'that's still quite old enough'
they have killed six and seventeen remain.,1,"'six people have been killed, seventeen remaining are alive.'"
that's not too old,2,'that's not too immature'
a deep cleft creased his chin.,0,'a deep mark was on his chin.'
" ""rumpelstilsken, i command the sun to set!""  he seemed to sense a hesitation in his mind, and then the impression of jeweled gears turning.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"planning and organizing for this final merger has been extensive, and a merger website at www.wvlegalservicesmerger.org helps facilitate the process.",1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"the story of a white missionary family in the congo, the novel is praised for its attention to detail, female voices, and critical take on colonialism.",1,of_text|><|start_header_id|>system<|end_header_id|>
"the lawyers provide expert legal service for indigent people who need help with divorces, custody battles, and other family law matters.",0,"'individuals who are impoverished can receive specialised legal service from the lawyers on divorce, custody, and other family law concerns.'"
"built by early islamic rulers in a.d. 691 on the approximate site of the first and second temples, it commemorates the spot to which the prophet muhammad came from mecca on a winged horse in a miraculous night journey described in the koran.",1,of_text|><|start_header_id|>system<|end_header_id|>
"the kentuckian had no idea of the passing of time; it was all part of the knowledge that slow movements, not swift ones, would prevent new panic.",1,the sudden movement of the kentuckian could provoke the herd.
