text,label
"here are five paraphrased questions about gymnastics techniques, keeping the ""sports"" topic:",4
"what motivates people to get out of bed in the morning? i'm curious about different life experiences and what drives individuals. my son is my anchor, but i'm interested to know what keeps others going.",0
"here are five paraphrased versions of the question ""i'm looking for a summary of neonatal mitochondrial cytopathies. can you help me?""  within the 'science & mathematics' topic:",1
tart_of_turn>user,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'education & reference' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'does someone understand this? member of the republican party in the   s committed to the emancipation of slaves and the equal treatment and enfranchisment of blacks.\n\ni'm in need of help. can you plez summerize this so a kid can understand this? thank you! this is about radical republicans.'",3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'sports' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'is karate satanic? i was in this chat room earlier today and a guy said that karate was satanic. i don't believe it. can someone give me details?'",4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'sports' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'where do i put my bike's water bottle?? there's no room for it in the middle of the frame, because i've got a lock hanging there. can anyone suggest alternate methods of attaching the bottle cage to the bike, so i can stop just carrying my water around in my backpack?\n\nthoughts?'",4
"here are five paraphrased versions of the question ""have you noticed that back in the day they were called prophets?  now they're just called loonies.? kind of makes you wonder, doesn't it?"" all focused on the  'society & culture'  topic:",0
"i want to understand the science behind barometric pressure. what equipment is needed to measure it, and how can i find the daily pressure in chicago?",1
"here are five paraphrased versions of the question, each focusing on the 'education & reference' topic:",3
start_of_turn>model,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'science & mathematics' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'space and fractions? there is a trick i learned about fractions simple really just multiply the denominator by  and the fraction is halfed simple right well if there is infinity numbers wouldnt you be able to get smaller and smaller forever well if there is supposedly infinty space in the universe why couldnt space get smaller forever i and no the whole physics not possible thing just something ive been thinking about'",1
tart_of_turn>user,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'education & reference' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what is the measure of dispersion? '",3
tart_of_turn>user,4
tart_of_turn>user,0
"are these the final points on our investment strategy for today?  my analytical resources are depleted, but i plan to assess further financial opportunities tomorrow.",5
let me know if you have any other questions!,0
let me know if you'd like more examples!,2
what temperature range is considered typical for a well-heated indoor space?,1
i'm looking for information on what influences the success or challenges of a project.,3
what are the physiological mechanisms underlying the generation of heat within the human body?,1
"assuming joey invested his earnings from ""friends"" into a diverse portfolio, would his on-screen antics have impacted his stock portfolio?",5
let me know if you'd like more examples!,0
"here are five paraphrased questions about why mosquitoes aren't affected by malaria, all fitting the 'science & mathematics' topic:",1
tart_of_turn>user,1
will any baseball teams sign jeff bagwell for the upcoming season?,4
here are five paraphrased questions about attractiveness within the context of business and finance:,5
"**what is the origin of the expression ""happy as larry""?**",3
"is there a link between eating salmon, either atlantic or pacific, and an increased risk of cancer?",2
tart_of_turn>user,3
is there a particular reason why the english alphabet consists of   letters?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'business & finance' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'have you had a sprinkle today? '",5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'science & mathematics' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'does it take more work to bike or walk uphill? work is the amount of force needed to cause a displacement and is measured in joules.  one joule =  newton * meter.\n\nhence, here is the problem:\n\ntake ""sam"" deciding whether to walk or ride his bike uphill.  this hill is steep, and has a   degree angle upward.  there are   meters to travel on this hill with no change in the angle.\n\nsam weighs approximately   kilograms and his bike weighs   kilograms.\n\nhis bike is standard with multiple gear shifts for climbing uphill.  assume that he shifts to the ""optimum"" level to pedal continuously without stopping.\n\nif possible, also answer which requires more calories?  i would assume the one that requires more ""work"" requires more calories.'",1
"**i'm curious about a phrase, ""happy as larry"". what does it mean?**",3
"regarding tetanus vaccinations, at what location on the body is the shot typically given?",2
"here are  paraphrased versions of the question, each focused on the 'health' topic:",2
my ticklishness seems to have increased recently. could frequent massages potentially lessen my sensitivity to touch? how can i find ways to manage this sensation?,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'health' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'is it bad to eat a pound of grapes? cause i bought some on sale and i'm partway there...'",2
**is there a specific height-weight ratio that's considered the healthiest? i'd like to understand more about how these factors relate to overall well-being.**,2
**describe the integumentary features of sea urchins that contribute to their defense beyond the presence of spines.**,1
tart_of_turn>user,0
"here are  paraphrased questions about vitamin d and storms, all falling under the 'health' topic:",2
"can we analyze the psychological factors that drive individuals to prioritize appearances, particularly in high-stakes business environments, and does it impact decision-making?",5
start_of_turn>model,0
"here are five paraphrased versions of the given question, all falling under the 'society & culture' topic:",0
what's the most difficult gymnastics move you can execute solo without a safety partner?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'science & mathematics' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'i'm looking for a summary of neonatal mitochondrial cytopathies. can you help me? '",1
"here are five paraphrased versions of the question ""is there something called black hole? if yes what work does it do? where is it located?""  under the 'science & mathematics' topic:",1
i'm wondering if there are any nutritional risks associated with eating a pound of grapes.,2
tart_of_turn>user,1
"i'm visiting croatia soon, could you tell me what currency they use and how it exchanges with usd?",3
this is a tough call: schumacher's formula  power versus rossi's agile bike. will raw horsepower win out on the straights or will agility prevail?,4
**sea urchins are known for their spines. can you elaborate on the other physical adaptations they have for protection?**,1
"**if you were trapped in an elevator with someone and only had a rubber band and five dollars, how would you approach the situation considering typical social etiquette and expectations?**",0
**i need help understanding act  scene  of macbeth. can you explain it in detail?** i'm looking for a deeper understanding than what i've found in brief summaries.,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'society & culture' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'where does the phrase, ""god bless you"", said after someone sneezes, originate from? '",0
tart_of_turn>user,0
are there any financial projections available for the upcoming robert randolph & the family band album release?,5
start_of_turn>model,0
"i'm experiencing contraceptive failure after a year of using depo injections. can i immediately change to a different birth control method, or is menstrual regularity a factor?",2
"**given the link between mental health and eating disorders, what are the psychological and societal factors that might contribute to individuals considering extreme measures like anorexia nervosa for weight loss?**",1
what are the san diego junior lifeguards like? i'm a strong swimmer and want to learn to surf. is this a good way to combine those interests?,4
i want to improve my english fluency. what resources or techniques can you recommend?,3
tart_of_turn>user,5
"here are  paraphrases of the question ""when is robert randolph & the family band's new album due out? heard anything about it?"" with the ""business & finance"" topic:",5
what are some societies or locations where nudity is considered socially acceptable or even encouraged?,0
"this question doesn't seem to fit the pattern of the provided examples, which are largely about trivia or the entertainment industry. the original question involves a specific song and its alleged content, which is more aligned with music or pop culture topics.",5
"here are five paraphrased versions of ""whatever happen to the looney toons damn it?""  under the 'business & finance' topic:",5
start_of_turn>model,3
here are five paraphrased versions of the original question with the 'health' topic:,2
tart_of_turn>user,0
**could a specific thought pattern or emotional state contribute to the perception that past events are unfamiliar?**,2
"**if space is truly infinite, what are the limits to its potential contraction?  could it theoretically become smaller and smaller, approaching a singularity? how does our understanding of cosmology and physics address this possibility?**",1
my goal is to lose   pounds of body fat. what advice can you give me for a healthy weight loss approach?,2
start_of_turn>model,5
start_of_turn>model,4
"**how do pre-existing social biases affect our judgments of individuals and families?** analyze the question's implied assumption that the children of this couple would be ""degenerate,"" highlighting the dangers of societal stereotypes.",0
"**are there any recognized medical or nutritional protocols for supervised fasting that aligns with specific religious practices, and could these methods be a safe and effective approach to weight management?**",1
**quantify the mechanical advantage of sam's bicycle gears in this scenario. how does the force applied to the pedals by sam compare to the force overcoming gravity on the incline?**,1
"can you explain the social significance and evolution of the phrase ""god bless you"" uttered after a sneeze?",0
what are the potential long-term psychological consequences of undergoing a vasectomy?,2
"**investments:** stocks, bonds, real estate",5
"what criteria are used to determine the names of different generations, such as the baby boomers or generation x, and by whom?",0
looking for fellow buccaneers fans!,4
tart_of_turn>user,4
**is a single-day yeast infection cream as effective as longer treatment durations of three or seven days?**,2
how do animals survive in the extreme environment of the arctic zone?  what are their typical habitats?,3
"what aspects of a person's life would be most interesting to experience firsthand, and who would you want to be for a day to discover them?",3
"here are  paraphrased questions about salmon and cancer, all  categorized under the 'health' topic:",2
tart_of_turn>user,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'business & finance' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'why do we always make sure we have clean underwear on before leaving the house? '",5
"liverpool fan here, excited for the fa cup match in the uk today! who do you think has the edge, and what's your reasoning?",4
"the original question is deeply problematic as it uses offensive and derogatory terms. my purpose is to be helpful and harmless, and that includes promoting respectful language and avoiding the perpetuation of harmful stereotypes.",0
"in the context of brand image and public perception, how might a public figure's decision to change their physical appearance, like altering eye color, affect their business ventures?",5
"**to figure out the typical attendance at these hockey games, what formula would you use? the attendance numbers are:  ,    ,    ,   and  ,   remember to round your answer.**",3
what role does personal faith and belief in divine communication play in shaping individual experiences and perspectives within different cultures?,0
has there been any buzz in the music industry regarding robert randolph & the family band's new album release date?,5
"**many people seem to post questions and answers online with noticeable spelling and grammatical mistakes. is there a reason behind this, or is it simply a lack of attention to detail?**",3
"based on their showings so far, who do you think would have the edge in a brazil vs. argentina matchup if they met after the first round?  what score could we see, and who might be responsible for the goals?",4
are there any tampa bay buccaneers supporters in this group?,4
tart_of_turn>user,2
