text,label
had a haircut here the stylist was nice and did a good job but it took a bit longer than expected the price was reasonable but nothing out of the ordinary. the ambiance is decent but nothing to write home about.,1
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'neutral' category. output each generated question in the form of a numbered list separated by new lines.",1
cutting knowledge date: december,2
went to this coffee shop the coffee is decent and the atmosphere is cozy but the selection of pastries was pretty basic and the line was a bit long nothing that would make me go out of my way but a decent spots to grab a cup,1
"i attended a concert at the music venue downtown, and it was an incredible experience. the artists performed with passion, and the sound system was crystal clear. the venue itself was clean, well-maintained, and had a lively atmosphere.",2
cutting knowledge date: december,0
"terrible experience at the hair salon, the stylist cut my hair unevenly and the color is all wrong now i have to go back to fix it and pay extra for my bad hair day <= negative",0
"the food festival i attended last weekend was fantastic the variety of cuisine on offer was impressive, and the organizers did an excellent job ensuring the event was well-organized and well-executed. i look forward to next year's event.",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
by far the friendliest restaurant ive ever been to their food is top-notch and the service is fast and courteous,2
we stopped by this local restaurant for a family dinner and it was a great experience the kids loved the playground outside and the food was top-notch the staff was friendly and attentive we enjoyed the quiet evening atmosphere and the prices were reasonable,2
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'neutral' category. output each generated question in the form of a numbered list separated by new lines.",1
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'neutral' category. output each generated question in the form of a numbered list separated by new lines.",1
today date:   jul,1
cutting knowledge date: december,0
went to the cafe for a quiet evening the tea selection was decent the atmosphere was quiet and calm staff was polite not the best service but it wasnt bad either prices were reasonable,1
here are five new texts that fit the 'neutral' category:,1
today date:   jul,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
cutting knowledge date: december,0
"amazing experience at this hotel! the room was clean and comfortable, the staff was friendly and accommodating, and the location was perfect near the beach. i appreciated the free breakfast and the rooftop pool. would definitely stay here again.",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
today date:   jul,1
today date:   jul,2
i bought a toner from this store that turned out to be a knockoff product after trying to return it multiple times they just gave me runaround and now i have to dispute the charge on my credit card with the bank,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"after years of searching, i finally found the perfect coffee shop this place has it all - delicious coffee, lovely ambiance, and a sweet staff that genuinely cares about their customers the interior design is modern and chic, with plenty of comfortable spots to relax and enjoy a good book or a friendly chat",2
today date:   jul,0
"i walked into this place with high expectations after seeing great reviews online, but unfortunately, my experience was completely different. the customer service was incredibly rude, and the quality of the food was subpar. not to mention, the prices were ridiculously high and not worth the service they provided.",0
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'neutral' category. output each generated question in the form of a numbered list separated by new lines.",1
they have the best smoothies in town the atmosphere is so cute and welcoming the employees are super friendly and helpful,2
"based on the examples, here are  generated texts that fit the 'positive' category:",2
here are  new texts that fit the 'negative' category based on the given examples:,0
