text,label
how can a business minimize financial risks associated with supply chain disruptions?,5
how does the rise of e-commerce platforms affect traditional brick-and-mortar businesses in the finance industry?,5
"can you explain the rules and major components of a martial art such as judo, karate, or taekwondo?",4
"explain the rules of handball, a popular team sport in europe, and how it differs from basketball.",4
how have globalization and technological advancements impacted traditional forms of art and culture?,0
how has globalization impacted traditional cultural practices and identities within various societies?,0
what are the recommended screenings and checkups for individuals over the age of   to maintain good health as they age?,2
"what is the process of combustion, and why does it release energy that we can use as fuel? (chemistry)",1
"how has the evolution of technology influenced sports performance, particularly in racing sports like formula  and athletics?",4
can you provide some resources for finding scholarships or grants to help fund higher education expenses?,3
"how does stress impact our immune system, and what steps can be taken to lower stress levels for better overall health?",2
what resources can a student use to find scholarships for their higher education expenses?,3
how has the concept of gender roles evolved over time in different societies and cultures?,0
"what are the long-term health effects of smoking, and what resources are available to help quit smoking and improve lung health?",2
"given the density of a substance, calculate its mass if the volume is known.",1
can you discuss the role of indigenous art in preserving cultural heritage and promoting social identity for indigenous communities around the world?,0
"explain the process of electrolysis, and provide examples of its practical applications in both industry and chemical laboratories. (chemistry)",1
how has the industrial revolution transformed the family structure and norms in western societies?,0
can you provide advice on how businesses can optimize their tax strategy to increase savings and decrease liabilities?,5
"which olympic games do basketball, volleyball, and handball compete in and what are the key differences between them?",4
"in tennis, what is the significance of the 'hawkeye' technology and how does it affect the game?",4
"in cricket, what is the role of a spinner compared to a pace bowler?",4
what is the theoretical limit of the universe's expandability according to the big bang theory? (astrophysics),1
"how does funding for financial aid work in universities, and what resources are available to help students navigate the process?",3
who holds the record for the most home runs in a single major league baseball season?,4
"what are the signs and symptoms of diabetes, and how can it be prevented or managed effectively?",2
analyze the transformation of gender roles in medieval european societies compared to contemporary western societies.,0
how can studying abroad expand the educational experience and career opportunities?,3
what resources are available for students seeking financial aid to fund their education?,3
discuss some well-known tennis grand slam tournaments and outline the unique characteristics that make them prestigious.,4
"what is the role of education in shaping african societies, and how has it evolved over time?",0
"what are some key resources for researching graduate programs in various fields, such as computer science, law, or education?",3
"can you explain the importance of annual check-ups for overall health, and what tests are typically conducted during these visits?",2
"how does good sleep hygiene contribute to one's physical and mental health, and what practices should be avoided for optimal sleep quality?",2
what are some key factors that a new entrepreneur should consider when deciding between incorporating a business or operating as a sole proprietor?,5
"what are some key differences between tennis and basketball in terms of rules, equipment, and player positions?",4
