text,label
start_of_turn>model,2
let me know if you'd like me to generate more!,2
what is the rule regarding offsides in soccer?,4
start_of_turn>model,4
how do social media platforms influence our understanding of current events and global issues?,0
how many players are on the field for a team in a game of cricket?,4
here are  new questions that fit the 'sports' topic:,4
in what ways does music reflect the values and beliefs of a society?,0
what exercises are recommended for strengthening knee ligaments after an injury?,2
"what is the origin of the term ""grand slam"" in baseball?",4
how has the rise of social media changed the way fans interact with athletes?,4
can you recommend some good online resources for learning a new language?,3
are there any exercises that are particularly good for strengthening the immune system?,2
what are the symptoms of a vitamin d deficiency?,2
tart_of_turn>user,1
what are the key differences between classical and operant conditioning?,3
what are some natural ways to relieve stress and anxiety?,2
explain the rules of cricket for someone who has never played before.,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
tart_of_turn>user,0
my doctor recommended i include more fiber in my diet. what are some good sources of fiber?,2
"what are the major achievements of serena williams in tennis, and what makes her a legendary player?",4
explain the concept of entropy and its relationship to the second law of thermodynamics.,1
explain the different types of investments and their associated risks.,5
tart_of_turn>user,0
"what's the difference between a debit card and a credit card, and which is better for everyday expenses?",5
"which sports involve the use of a shuttlecock, and what are the primary rules of each?",4
tart_of_turn>user,2
what are the key differences between a   k) and a roth ira?,5
here are  new questions that fit the 'health' topic:,2
tart_of_turn>user,5
tart_of_turn>user,2
what are some investment strategies for a young adult just starting out?,5
start_of_turn>model,3
what are the key differences between a slam dunk and a layup in basketball?,4
"what is the chemical formula for water, and how many atoms are in a single molecule?",1
let me know if you'd like me to generate more!,5
start_of_turn>model,3
what are the key factors to consider when evaluating a potential investment opportunity?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
what are the pros and cons of starting a small business versus working for a corporation?,5
what are some strategies for starting a small business with limited capital?,5
what are the cultural implications of social media influencing body image and self-esteem?,0
tart_of_turn>user,0
here are  new questions that fit the 'sports' topic:,4
tart_of_turn>user,5
start_of_turn>model,1
if you have a right triangle with sides of length     and   what is the measure of each angle?,1
start_of_turn>model,2
to what extent do traditional gender roles still influence career choices in modern society?,0
what are the current trends in cryptocurrency investing?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
start_of_turn>model,0
how does the process of photosynthesis convert light energy into chemical energy in plants?,1
here are  new questions that fit the 'sports' topic:,4
what are some reputable online resources for learning a new language?,3
i've been experiencing frequent headaches lately. what could be the cause and how can i get relief?,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
i'm interested in pursuing a career in web development. what are some essential skills i should learn and what are some reputable online courses available?,3
here are  questions that fit the 'society & culture' topic:,0
what are the main differences between a roth ira and a traditional ira?,5
who won the last wimbledon women's singles title?,4
what are the potential consequences of increasing automation on different social classes?,0
how do i write a strong personal statement essay for college applications?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
"what are the fundamental differences between mitosis and meiosis, and what are the biological implications of each process?",1
start_of_turn>model,4
"what is the fibonacci sequence, and can you explain its presence in natural phenomena?",1
what are the main differences between a bachelor's and master's degree?,3
start_of_turn>model,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
start_of_turn>model,1
tart_of_turn>user,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
here are  new questions for the 'health' topic:,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
what are the fundamental differences between a conductor and an insulator in terms of their atomic structure and how they interact with electricity?,1
can regular exercise help prevent diabetes?,2
"if a population of bacteria doubles every hour, how long will it take for the population to reach  million if it starts with   bacteria?",1
what impact did the rule change regarding catch interference have on the nfl this past season?,4
what is the difference between a penalty and a foul in soccer?,4
how does a refrigerator work based on the principles of thermodynamics?,1
tart_of_turn>user,3
what are the different types of electromagnetic radiation and how do they differ in their wavelengths and energy levels?,1
how has social media influenced the way teenagers communicate with their parents?,0
what are the key factors to consider when choosing a mortgage lender?,5
which athlete has won the most olympic gold medals in history?,4
how does the coriolis effect influence weather patterns?,1
"explain the concept of a ""penalty kick"" in soccer.",4
what are some strategies for improving credit score?,5
how many players are on a field for each team in a game of cricket?,4
start_of_turn>model,5
what are the main characteristics of the baroque art period?,3
how can i learn a new language on my own without taking a class?,3
i have persistent joint pain. what are some common causes and potential treatments?,2
start_of_turn>model,1
what are the main differences between a roth ira and a traditional ira?,5
in what ways does social media influence the perception of beauty standards?,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
tart_of_turn>user,2
i'm experiencing frequent headaches. could you suggest some natural remedies?,2
what are the main differences between a bachelor of arts and a bachelor of science degree?,3
are there any natural remedies for treating insomnia?,2
what are the tax implications of owning a rental property?,5
let me know if you'd like more examples!,5
tart_of_turn>user,2
start_of_turn>model,1
"what is the rule for a ""goalie interference"" penalty in ice hockey?",4
how does the process of photosynthesis convert light energy into chemical energy?,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
i'm thinking of starting a small online business. what are some essential legal and financial considerations i need to keep in mind?,5
how do i cite a source correctly in a research paper using mla format?,3
start_of_turn>model,0
what are some tips for dealing with chronic back pain?,2
are there any natural remedies for insomnia other than melatonin supplements?,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
tart_of_turn>user,0
here are five health-related questions:,2
what are the different types of chemical bonds and how do they differ?,1
"what is the difference between a physical change and a chemical change, and give an example of each?",1
how does a solar eclipse occur?,1
how do cultural norms surrounding gender roles differ across various societies?,0
how can i get more fiber in my diet?,2
how does the drafting system work in the nba?,4
here are  new questions that fit the 'health' topic:,2
here are  new questions that fit the 'science & mathematics' topic:,1
is there a link between diet and mental health?,2
what is the history of the fifa world cup?,4
here are  new questions that fit the 'sports' topic:,4
here are  new questions that fit the 'science & mathematics' topic:,1
explain the difference between a foul ball and a fair ball in baseball.,4
here are five new questions fitting the 'science & mathematics' topic:,1
where can i find a comprehensive guide to historical events in ancient egypt?,3
here are  new questions that fit the 'health' topic:,2
"what are some popular stereotypes associated with specific cultures, and how accurate are they?",0
start_of_turn>model,0
"how does compound interest work, and why is it so important for long-term financial growth?",5
what are the key differences between indoor and outdoor soccer?,4
where can i find information about online tutoring programs for high school math?,3
tart_of_turn>user,0
what is the difference between a slam dunk and a layup in basketball?,4
what is the difference between a comet and an asteroid?,1
explain the concept of quantum entanglement and provide a real-world example.,1
here are  new questions that fit the 'sports' topic:,4
here are  new questions that fit the 'business & finance' topic:,5
how can i calculate the return on investment (roi) for a new marketing campaign?,5
what are some strategies for investing in stocks during a period of market volatility?,5
"how does societal pressure influence body image and eating habits, especially among young people?",0
here are  new questions that fit the 'education & reference' topic:,3
tart_of_turn>user,2
how can a small business owner improve their credit score?,5
tart_of_turn>user,0
tart_of_turn>user,3
i want to improve my sleep quality. what lifestyle changes can i make to achieve this?,2
what are the key assumptions of the hardy-weinberg principle in population genetics?,1
let me know if you'd like more examples!,4
"what are some of the key differences between traditional and modern family structures, and how has this impacted societal norms?",0
let me know if you'd like more examples!,5
what training methods are commonly used by professional tennis players?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
what are the main principles of quantum mechanics?,1
what are the major differences between a bachelor's and a master's degree?,3
how can i manage stress and anxiety without relying on medication?,2
i'm interested in learning about ancient egyptian history. where should i start reading?,3
here are  new questions that fit the 'society & culture' topic:,0
tart_of_turn>user,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
what are the pros and cons of investing in cryptocurrency?,5
what are the best exercises for improving cardiovascular health and reducing the risk of heart disease?,2
how can i create a personal budget and stick to it effectively?,5
here are  new questions that fit the 'business & finance' topic:,5
tart_of_turn>user,4
how has the legalization of same-sex marriage impacted societal views on family structures?,0
here are  new questions that fit the 'education & reference' topic:,3
here are  new questions that fit the 'business & finance' topic:,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
start_of_turn>model,4
what are the primary differences between mitosis and meiosis?,1
are there natural ways to improve my sleep quality without resorting to medication?,2
here are  new questions that fit the 'society & culture' topic:,0
"what is the golden ratio, and how is it found in nature and art?",1
