text,label
what is the mechanism behind the function of the pons in the brain?,1
"how has the rise of social media affected societal norms and expectations, particularly in regards to privacy and self-presentation?",0
why do some people believe that a specific nfl team is inflated in regard to its abilities?,4
"where can i locate trance and techno mp3s by artists such as paul van dyk, dj tiesto, dj quicksilver, and chicane for download purposes?",5
"in the entertainment industry, how profitable has the tigress comic book been since its release? or, is it still in the development phase?",5
can you interpret the english meaning of the words on this spanish t-shirt?,0
"in modern society, is it appropriate for a person to openly express their political beliefs or is it generally best to keep them private?",0
"regarding 'french kiss', who is the corporation responsible for making the leather backpack/purse?",5
"as an investor, what can i expect from an investment opportunity in the music industry, given the growing acceptance and popularity of lgbtq+ performers on talent shows like 'america's got talact'?",5
"given the changing cultural landscape and broadening acceptance of lgbtq+ performers, could 'america's got talent' benefit from featuring more openly gay participants like david hasselhoff to potentially attract a larger audience?",5
"in boxing, what is the general consensus on the pacquiao vs morales fight? what are your thoughts on the fight? what might morales do after this fight? could he possibly consider retiring? some predict that manny pacquiao is currently the best boxer in his division. who do you think manny pacquiao will fight next? could it be barrera?",4
"what are the purposes of different colored asthma inhalers, specifically the blue and beige ones?",2
"what can you tell me about the various methods employed by gold miners, the facilities they worked in, and the tools used during the gold rush era?",3
"is there a substance or activity that could naturally increase one's energy levels and make someone extremely energetic, similar to being hyper?",1
how does the name 'gerard' reflect cultural backgrounds and beliefs?,0
"is it possible to discern a difference in dna content between an agranulocyte and a granulocyte through the use of methyl green pyronin staining, assuming that an agranulocyte has more dna?",1
"what is the suitable frequency (mhz) for an oscillator in a transmitter to send a signal and cover 6 kilometers in the field of science & mathematics? additionally, could you inform me about the requirements for an amateur radio license in india?",1
why was it customary to exclude catholics from job applications in the 1960's?,0
"what ailments or untested infections could potentially lead to my plasma donation denial despite having negative test results for many diseases, including hiv and hepatitis? i have no major medical history, last donated in 1994, and have tried to reach the company i donated at, but they are no longer operating. i'm unsure about my next steps.",2
ow much money does a qualified medical aesthetician make per year?,2
