text,label
Who made the first airplane that could fly ?,0
When did Jaco Pastorius die ?,0
Who was the prophet of the Muslim people ?,0
Who was the first man to return to space ?,0
Who directed `` Jaws '' ?,0
Who retired with 755 home runs to his credit ?,0
Whose video is titled Shape Up with Arnold ?,0
What company has built more than 2.5 billion little green houses since 1935 ?,0
"What architect originated the glass house designed the Chicago Federal Center had a philosophy of `` less is more , '' and produced plans that were the forerunner of the California ranch house ?",0
Who is the only president to serve 2 non-consecutive terms ?,0
Name the Ranger who was always after Yogi Bear .,0
Who said : `` Soldiers win the battles and generals get the credit '' ?,0
In what high-risk business venture did Jimmy the Greek bet and lose ?,0
"Which U.S. President is buried in Washington , D.C. ?",0
Who starred in the movie The War of the Worlds ?,0
What American composer wrote the music for `` West Side Story '' ?,0
What was her real name ?,0
What army was founded by William Booth and his wife Catherine ?,0
Who owns the rights on a TV program ?,0
Who built the first pyramid ?,0
How big is the Electoral College ?,1
What is Hawaii 's state flower ?,1
What kind of flowers does detective Nero Wolfe raise ?,1
What is Maryland 's state bird ?,1
What is the temperature for baking Peachy Oat Muffins ?,1
What African animals are known as The Big Five ?,1
What animal was the heat-seeking missile called the Sidewinder named for ?,1
How hot should the oven be when baking Peachy Oat Muffins ?,1
What kind of animal is Babar ?,1
"What was the name of the horse that fell on Queen Elizabeth , Prince Albert 's wife ?",1
How hot does the inside of an active volcano get ?,1
"What kind of creatures are black , yellow , and brown bullheads ?",1
What species is a colt ?,1
What animal has the biggest eyes ?,1
What creature scares people in the film `` Jaws '' ?,1
Name a tiger that is extinct .,1
What kind of animals were in the Paleozoic era ?,1
What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?,1
What kind of dog is Scooby Doo ?,1
What is the name of David Letterman 's dog ?,1
What is a fear of hair ?,2
What is the name of the vaccine for chicken pox ?,2
What cancer is commonly associated with AIDS ?,2
What are the names of the different toes ?,2
What common ailment can 't you catch at the North Pole ?,2
What therapy attempts to elicit the `` primal scream '' ?,2
What dangles over the tongue from the palate ?,2
What chemicals are used in lethal injection ?,2
What is the name of the disease that actress Hunter Tylo 's baby girl has ?,2
What disease did August von Wassermann develop a specific test for in 196 ?,2
What carries sperm up into the pelvic region ?,2
What is a fear of strong light ?,2
What disease does Katharine Hepburn have that makes her voice shake ?,2
Where does your hair grow the fastest ?,2
Which infectious disease is the world 's deadliest ?,2
What is a fear of black people ?,2
What is the most common kind of skin cancer in the U.S. ?,2
What disease is the second-biggest killer of North Americans ?,2
What is a fear of cold ?,2
What is a fear of home surroundings ?,2
What is the spirometer test ?,3
What is the origin of U.S. Army sergeant 's stripes ?,3
What are people doing to help prevent the extinction of birds ?,3
What is the difference between love and infatuation ?,3
What does Ouija mean ?,3
What is the text of the Fifth Amendment ?,3
What is the VDRL test of blood ?,3
What does the name Billie mean ?,3
What do Japanese school uniforms look like ?,3
What are solar cells ?,3
"What are vermicilli , rigati , zitoni , and tubetti ?",3
What 's the state motto of California ?,3
What does the donation process entail ?,3
What does ciao mean ?,3
What is the Bernoulli Principle ?,3
What is the definition of hazmat ?,3
What is an eclipse ?,3
What is the theory of equivalence states ?,3
What are the benefits of a rowing machine ?,3
What is a disaccharide ?,3
"What race is 1 , 137 miles long ?",4
In which sport is there a `` scrum '' ?,4
What is a research expedition in mountain climbing ?,4
What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,4
What card game can feature dealer 's choice ?,4
What game is fatal to anybody over 21 ?,4
"What baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?",4
What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?,4
What famed tennis tournament 's men 's singles title was Fred Perry the last Englishman to win ?,4
What new games are available for Nintendo 64 ?,4
What 's the most popular form of gambling with women in Las Vegas ?,4
"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",4
What was the name of the ball game played by the mayans ?,4
What are the titles of some R-Rated Sony Playstation games ?,4
"What card game derived its name from biritch , or Russian Whist ?",4
What sport was the first televised in the U.S. ?,4
Garry Kasparov plays what game ?,4
What field sport did dentist William Beers promote and write a standard book of rules for ?,4
What hide-and-seek game is played around a tin can ?,4
"What 's played at Wembley Stadium , London , every May ?",4
What Judith Rossner novel was made into a film starring Diane Keaton ?,5
What Tom Wolfe book is about the Mercury astronauts ?,5
Name a novel written by John Steinbeck .,5
What did Shostakovich write for Rostropovich ?,5
In what movie is the number nine found in the title ?,5
What is the music used in the new VW Beetle commercial where the car spins and changes colors ?,5
What Leoncavallo opera features a prologue by a clown ?,5
What film did Lee Marvin win the 1965 best actor Oscar for ?,5
What is the folklore story regarding birds ' nests and birds in Christmas trees ?,5
What film ends with the line : `` This is Mrs. Norman Maine '' ?,5
"What poem contains the line , `` grow old with me the best is yet to be '' .",5
What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?,5
What TV station did Mary Richards work for ?,5
What is Beethoven 's 9th symphony called ?,5
What TV show did John Sebastian sing the theme for ?,5
What was John F. Kennedy 's 1960 campaign song ?,5
What Ernest Hemingway novel had the working title Fiesta ?,5
Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?,5
What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?,5
What are the first ten amendements passed ?,5
