text,label
tiger woods hints at potential tournament return:  golf legend tiger woods has indicated he might be making a comeback to the pga tour after months of recovering from an injury.,1
**u.n. officials condemn syrian government over chemical weapons attack:** accusations swirl in the international community as the u.n. security council prepares to meet to discuss the alleged use of chemical weapons against civilians in a syrian rebel-held town.,0
"breakthrough discovery: scientists confirm existence of new element on earth's mantle, potentially revolutionizing our understanding of the planet's formation.",3
"here are  new text examples fitting the 'world' category, based on the provided dataset:",0
"**european leaders hold emergency summit to address migrant crisis:**  the ongoing influx of refugees into europe has sparked a political crisis, prompting an emergency summit of european leaders to discuss a coordinated response.",0
let me know if you'd like more examples!,2
tart_of_turn>user,2
"**london (bloomberg) -  tech giants like google and microsoft are facing increasing pressure from regulators over their market dominance, with  discussions intensifying about potential antitrust legislation in europe and the united states.**",2
"**scientists develop gene editing technique to cure genetic disease:** researchers have made a breakthrough in gene editing technology, potentially paving the way for a cure for a debilitating genetic disease that affects millions worldwide.",3
here are  new texts fitting the 'science and technology' category:,3
here are  new texts fitting the 'business' category:,2
"**astronomers discover potential habitable zone planet:** researchers using the kepler space telescope have identified a promising exoplanet located within its star's habitable zone, raising hopes for the potential discovery of extraterrestrial life.",3
"**pope francis calls for global solidarity on climate change:**  during his annual address to the united nations, pope francis warned of the devastating consequences of climate change and urged world leaders to take immediate action to reduce emissions and protect the planet.",0
tart_of_turn>user,2
**rafael nadal advances to the quarterfinals of the french open after a tough battle with a young opponent.**,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
"**tokyo (nikkei asia) - the japanese yen weakened to a new  -year low against the us dollar on monday, raising concerns about the potential impact on import costs and corporate profits.**",2
"**breakthrough in solar cell technology could revolutionize energy production.** a team of researchers at mit has developed a new type of solar cell that is more efficient and cost-effective than existing technologies, potentially ushering in a new era of clean energy.",3
"**astronomers discover a new type of galaxy beyond the milky way.**  (space.com) - researchers at the european southern observatory have announced the discovery of a previously unknown galaxy type, characterized by its unique structure and composition.",3
**manchester united clinches victory in dramatic premier league finish:**  manchester united secured a last-minute goal to secure a thrilling victory over rivals manchester city in a tense premier league showdown. the win propels them further up the league table.,1
"**elon musk's spacex successfully launched another batch of starlink satellites into orbit, furthering the company's goal of providing global high-speed internet access.**",3
here are  new texts fitting the 'science and technology' category:,3
here are  new sport-related text prompts:,1
"**climate change summit in paris: will global agreement be reached?:** world leaders gather in paris for a pivotal climate change summit, aiming to reach a binding agreement to reduce greenhouse gas emissions and combat global warming.",0
start_of_turn>model,1
start_of_turn>model,0
start_of_turn>model,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
tart_of_turn>user,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
