text,label
"australian dairy giant national foods records a net profit of \$ . million, a   percent leap from the previous year's earnings, solidifying its position as the country's largest supplier of fresh milk.",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
here are five paraphrased versions with the 'world' category:,0
of_text|><|start_header_id|>system<|end_header_id|>,3
cutting knowledge date: december,3
of_text|><|start_header_id|>system<|end_header_id|>,2
an important study showed that fishing for fun significantly damages fish stocks. almost a quarter of the marine supply is harmed because of people who fish for leisure activities.,3
"the iraqi capital of baghdad witnessed a wave of violence last week, resulting in at least   fatalities, amidst a military crackdown on suspected militants and simultaneous arrests of foreign nationals.",0
"chinese grand prix could lead to a thrilling competition as teammate rubens barrichello expects michale schumaher to challenge him for the win, even though the team is highly ranked to start from the back of the grid.",1
"in a stunning turn of events, britain surprised everyone by claiming gold in the men's olympic    meters relay, narrowly beating out the united states by a mere fraction of a second.",1
"police are looking into a complaint against a tour bus driver and the band on board, who are accused of violating laws related to water pollution.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'best software overhauls act best software launched this week an overhaul of its act contact management software, adding to the product line a second version with more scalability and advanced functionality.'",3
"""dot-com pioneer facing financial struggles as valued \$  billion company on the brink of bankruptcy.""",3
"despite past success in delray beach, jan-michael gambill # ;s performance has continued to decline.",1
"the head of spain's biggest banking company, santander central hispano, is scheduled to go on trial for charges of tax evasion.",2
"in the deciding game of a three-game series, the san francisco giants will look to their rookie sensation noah lowry to keep their winning streak intact against the san diego padres. having thrown a complete game and cemented his position as an ace pitcher, lowry is poised to provide the winning edge his team needs to emerge victorious.",1
of_text|><|start_header_id|>system<|end_header_id|>,0
"the upcoming trial of enron's former executives will have a lasting impact on the business world, exposing the depths of corporate malfeasance and the unchecked power of wall street.",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
of_text|><|start_header_id|>system<|end_header_id|>,3
"given the text 'traders who had bet on a rise are bailing out crude oil and gasoline prices fell wednesday as speculators seemed to lose hope that futures prices would continue ever upward. crude oil dropped \$ ' and the 'business' category, here are  paraphrased texts:",2
"despite its unlikeliness, a plan to constantly disrupt the life of an email spammer with never-ending online advertisements might be at odds with the spirit of leesburg, virginia.",3
"tech giant overhauls its business application suite, introducing a new version with expanded capabilities and updated functionality to drive user adoption.",3
here are five paraphrased versions of the text with the category 'business':,2
cutting knowledge date: december,3
of_text|><|start_header_id|>system<|end_header_id|>,0
today date:   jul,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'un nuclear chief wins s.korean cooperation pledge  seoul (reuters) - top international nuclear regulator  mohamed elbaradei won a pledge from south korea on monday to  cooperate with the u.n. watchdog in the run-up to a report that  seoul hopes will lift suspicions of clandestine atomic  activities.'",0
"following a surge in violent incidents, authorities in iraq have identified underlying factors contributing to the increased instability in the region.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'iger is board # ;s disney guy although he may face strong competition from rivals outside the company, walt disney co. president and chief operating officer robert iger was assured by disney # ;s board of directors tuesday '",2
"'stock prices in key technology companies intel and yahoo surged in evening trading on wednesday following optimistic earnings reports, while oil prices dipped, resulting in a boost for asian shares.'",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'interpol experts at dhaka to help probe into al rally blasts an advance team of interpol flew in dhaka today (sunday) at the request of the government to investigate the august   grenade attack on opposition leader sheikh hasinas rally at bangabandhu avenue.'",0
"algeria's parliament's intransigence over lifting the ban on foreign alcohol imports may imperil the nation's aspirations to join the world trade organisation, a significant global economic platform.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'document on cpc governance capability issued the communist party of china (cpc) sunday published a major policy document on enhancing the party # ;s governance capability, stressing it is  quot;a major strategic subject with a bearing on the success of china # ;s socialist cause, the future and destiny of the '",0
"the specter of a massive deluge in the sutlej river, sparked by a potential blockage on the peerechu river in tibet, serves as a stark reminder of the potential dangers of a calamitous event in india # ;s northwestern state of himachal pradesh",3
