premise,label,hypothesis
i'm exempt,0,'i'm not required to participate in this activity.'
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.",2,its initial size was equivalent to the tip of a needle.
they are not important. ,2,they are the most important thing in this situation.
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,of_text|><|start_header_id|>system<|end_header_id|>
that hit him harder than any other discovery.,1,today date:   jul
a drop-ship discount might also evoke type-1 worksharing activity.,1,'a drop-ship discount may have different effects on sellers and buyers.'
"i must say ” ”"" but i stopped suddenly. ",0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
" ibiza town itself is not the place to go for the club scene, although dalt vila has a few gay bars and there is plenty of other entertainment available.",0,of_text|><|start_header_id|>system<|end_header_id|>
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",2,"'this guide discusses the failure, obstacles, and pitfalls associated with building any finance organization.'"
"all is forgiven when tarzan (the voice of tony goldwyn) meets minnie driver--i mean, jane.",2,"when tarzan meets minnie driver-- i mean, jane, the world comes to an end."
mr. hubbock also designed the masjid jamek.,1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"the new  deterring nuclear, biological, or chemical warfare by lesser powers (formalizing president bush's implicit warning to saddam hussein during the gulf war).",2,"the new  deterring nuclear, biological, or chemical warfare by lesser powers (formalizing president bush's implicit warning to saddam hussein during the gulf war)"
'what's it like to be back in louisian?',2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
i see it in my dreams sometimes… .,2,today date:   jul
humidity or something,2,'there is no connection between humidity and the situation at all.'
the federal cio is also subject to a funding process that is more complex and uncertain than in most other organizations.,2,cutting knowledge date: december
"for this reason, interest earned by revolving funds should normally be classified as exchange revenue.",1,today date:   jul
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
'what's it like to be back in louisian?',2,of_text|><|start_header_id|>system<|end_header_id|>
the man's right arm had been broken and completely twisted around.,0,today date:   jul
"thus, i have never even touched a girl, much less kissed one.",2,'i have a girlfriend.'
he said funding mechanisms such as small business grants were not always appropriate for researchers and wondered whether there were other funding mechanisms that might be more appropriate.,1,'he questions the suitability of small business grants for researchers.'
people in hollywood accept this instability as the cost of doing business.,1,'movies don't often change their narratives.'
a flicker of firelight caught the small man's eyes.,2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
mls is major-league sport with minor-league charm.,0,'the charminess of mls keeps it from being a completely major league sport.'
"it is difficult to fix precisely the dates of the various festivals, as most of them are determined by lunar calendars which vary from year to year.",0,it is not possible to provide a definitive answer for the festival dates.
"for this reason, interest earned by revolving funds should normally be classified as exchange revenue.",1,cutting knowledge date: december
mr. hubbock also designed the masjid jamek.,1,'mr. hubbock and someone else also designed the masjid jamek.'
a flicker of firelight caught the small man's eyes.,2,the fire died out before it could catch the small man's eyes.
 the egg tilted and soared.,0,'the egg's motion resulted in a soaring feeling.'
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,'the real battle lines between economic and political liberalization continue to be drawn.'
no not really you know in the last few years just his kind of informal segments i've seen but i never got to see his actual nightly news i liked i i did grow up with david brinkley,0,"'in the last few years, there are some informal segments that i have seen but never his actual nightly news.'"
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
that hit him harder than any other discovery.,1,'different discoveries have varying levels of impact.'
over time these distinctions have deteriorated.,1,they don't deteriorate over time.
yes we we sure do smoke them and,0,'they are definitely something that we smoke.'
"his kingdom prospered, and by the time his son solomon succeeded him, in about 965 b.c. , almost all the extensive, rich lands between the rivers nile and the euphrates were part of the kingdom of israel.",1,: 'people were aware of the prosperity of the kingdom at the time of solomon's succession.'
