text,label
what is the annual revenue of amazon as of 2021?,5
"who was the first woman to win a nobel prize in physics, and for what discovery did she win this prestigious award?",3
what impact did the feminist movement have on women's rights and gender equality?,0
what is the connection between stress and one's immune system response?,2
in which olympic games did usain bolt break the world record in three events?,4
what type of sports was michael phelps a dominant athlete in and how many olympic gold medals has he won?,4
in which city did the arab spring begin in 2010?,0
what is the average human heart rate during rest and exercise?,2
who was the prime minister of the united kingdom during world war ii?,0
what is the function of white blood cells in the human body?,2
in what year did women gain the right to vote in the united states?,0
what is the capital city of morocco?,0
"which famous british statesman is known for his quote, ""i have nothing to offer but blood, toil, tears and sweat""?",0
from which african country did the concept of ubuntu originate?,0
iety & culture:,0
"what university is commonly associated with the ivory tower, and why is it so called?",3
what is the speed of light in meters per second?,1
"who was the composer of the classical music piece ""symphony no. 5""?",3
what cultural icon is synonymous with a symbol of peace and love?,0
"categorize these questions under the 'sports' topic: these questions revolve around various aspects of sports, such as specific events, teams, athletes, and records. they seek information about the sporting world, including achievements, competitions, and the related personnel.",4
what south american country was under the reign of general augusto pinochet until 1990?,0
"what is the official language of france, and how many regional languages are spoken there?",0
"se questions fall under the 'sports' topic. each question pertains to various aspects of sports such as athletes, teams, records, coaches, rankings, and championships.",4
what is the cost of bitcoin at the current market price?,5
"who wrote the book ""a brief history of time""?",3
vincent van gogh,0
how have street art and graffiti evolved as expressions of culture and social commentary?,0
in which sport does usain bolt hold the world record for the 100-meter dash?,4
what is the full form of the acronym iq and what does it measure?,3
"what is the significance of the ""eureka"" incident in the field of science?",3
"what is the largest cause of death worldwide, according to the world health organization?",2
what is the boiling point of water in degrees celsius?,1
what is the role of a commodity trader in the financial industry?,5
in which sports tournament did venus and serena williams first compete as professionals?,4
"who authored the novel ""1984"" and in what year was it published?",0
"what ancient civilization was known for its pyramids, hieroglyphs, and pharaohs?",0
what is the average human blood pressure in millimeters of mercury?,2
in what year was the nobel prize in literature awarded to ernest hemingway?,3
what are the first aid steps for someone suffering a heart attack?,2
"in baseball, who holds the record for the most home runs in a single season?",4
what side effects occur when a person misses their blood pressure medication? (health),2
"se new questions fit the ""sports"" topic, as they revolve around specific sports events, statistics, and the achievements of notable sports figures.",4
what is the speed of light in meters per second?,1
"what is the speed of light in vacuum, and how does it compare to the speeds of other celestial objects?",1
"who wrote the autobiography ""i know why the caged bird sings""?",3
what major golf tournament is held annually at augusta national golf club?,4
can you name a notable work of art that is considered a cultural symbol of the soviet union?,0
"what is the primary function of the united nations educational, scientific and cultural organization (unesco)?",3
"what is the name of the famous mathematical theorem proved by euler that links the numbers of edges, vertices, and faces in a polyhedron?",3
"what is the significance of the marseillaise, the french national anthem?",0
what is the highest scoring game in national hockey league (nhl) history?,4
who was the first african-american woman to become a supreme court justice?,0
which famous sports car was made public by enzo ferrari in 1947?,4
who is the highest goal scorer in the history of soccer's fifa world cup?,4
"what is the primary focus of the khan academy, an online educational platform?",3
how many fortune 500 companies are based in new york state?,5
in which olympic games did usain bolt break the world record for the 100 meters dash?,4
who is the ceo of tesla inc. as of 2022?,5
who broke michael phelps' record for most olympic gold medals?,4
what is the chemical symbol for the element that makes up most of the earth's crust?,1
"who is the oldest living nobel laureate in 2022, and for what field was their award given?",3
how many billionaires are there in the world according to forbes?,5
what is the main goal of the federal reserve's monetary policy?,5
what is the significance of the dow jones industrial average (djia) in the stock market?,5
"which book presents data on the usage frequency of the different vowels in the english language, popularly known as ""the eternal question""?",3
what historical event led to the formation of the united nations?,0
"who won the nobel prize in literature in 1980 for ""one hundred years of solitude""? (education & reference)",3
"as of 2021, which retail corporation ranks highest in terms of annual worldwide revenue, bypassing walmart?",5
what is the atomic number of carbon?,1
which company is known for developing the first successful digital assistant for mobile devices?,5
"ho is the author of the book ""education of henry adams""?",3
"in the olympic games, which event saw simone biles win a gold medal in 2021?",4
how has globalization influenced traditional cultural norms and values?,0
what type of educational program is designed to support student athletes in academics?,3
what is the function of the pancreas in the human body?,2
what is the annual revenue of amazon.com?,5
what is the gdp (gross domestic product) of germany as of 2021?,5
who introduced the dewey decimal classification system in libraries?,3
what is the recommended daily intake of water for a healthy adult?,2
what is the average lifespan of a human being?,2
what is the speed of light in meters per second?,1
what is the function of insulin in the human body? (health),2
"increased thirst, frequent urination, fatigue, blurred vision, and slow healing wounds",2
what influential artist is known for their work on the great wall of china during the ming dynasty?,0
what is the function of the liver in the human body? (health),2
who won the fifa world cup in 1986?,4
"who authored the play ""a raisin in the sun""?",3
what is the average annual salary of a software engineer in silicon valley?,5
"who was the author of the educational theory ""multiple intelligences"" often associated with howard gardner?",3
what is the main commodity traded on the new york stock exchange?,5
when was the higgs boson particle discovered at cern?,1
"what is the link between a balanced diet, regular exercise, and maintaining a healthy weight?",2
who won the world cup in football (soccer) in 2018?,4
"in which element of the periodic table can you find helium, neon, and oxygen?",1
in which olympic sport do athletes compete by sliding feet-first down an icy track?,4
what is the composition of the earth's atmosphere primarily made up of?,1
which country won the most matches in the 2018 fifa world cup?,4
"h question is categorized under 'society & culture'. these questions aim to encourage learning and discussion about historical, cultural, and artistic aspects of various civilizations and societies around the world.",0
who was the first african american supreme court justice?,0
what is the equation for calculating the volume of a cylinder?,1
"in the field of education, what is the difference between formative and summative assessments?",3
who is the current coach of the barcelona football team?,4
"who penned the influential book, ""the wealth of nations""?",3
"what is the process of photosynthesis, and how does it occur in plants?",1
which tennis players are in the top three rankings as of this year?,4
who is the current ceo of amazon and what company did they found?,5
what role did simone de beauvoir play in the feminist movement with her book the second sex?,0
what is the inflation rate in europe for the current year?,5
