premise,label,hypothesis
uh in fact uh there was one lady in this area she was caught going to work and leaving her daughter in her car all day,0,a woman in the area left her child unattended in a vehicle.
the on-premises bindery repairs and restores old books and manuscripts.,1,the bindery's services extend to new bookbinding.
well no i worked for this company before i had my first daughter,0,tart_of_turn>user
an indio name? ,0,does the name come from an indian culture?
the factual record provides an important context for consideration of the legal question of the meaning of the presence requirement for representation by lsc grantees.,0,let me know if you'd like more paraphrases!
"lesvos, chios, and samos still have many vestiges of the traditional rural lifestyle that made them rich and coveted during previous centuries.",1,let me know if you'd like more paraphrases!
wait a minute.,2,"**the time to act is now, do it right away.**"
well no i worked for this company before i had my first daughter,0,i worked for this company before becoming a parent for the first time.
he left us shortly after.,2,tart_of_turn>user
"on one side of midosuji is america-mura, the favorite posing ground for osaka's desperately trendy youth, so named for the large number of stores selling much-sought-after secondhand apparel imported from the us.",2,america-mura is a hidden gem for those seeking authentic japanese cuisine and local delicacies.
"this structure, like yomeimon, is also a national treasure and just as ornately carved and painted.",1,we can't determine if the yomeimon is older than this structure based on the information provided.
"rooms 11-12 concentrate on the period between 1100 b.c. and 650 b.c., including a large collection of gold jewelry.",2,gold jewelry is absent from the collection displayed in rooms  - .
a discussion about that is why uh why cnn was well i listen to a christian radio station and they were saying that cnn is definitely a world uh news service and uh,0,the christian radio station the speaker listened to believed cnn is a world news service.
"his name has been floated in the past few weeks, as it was in 1989 and 1994.",0,"there has been recent mention of his name, echoing past mentions in    and   ."
"in effect, the grant challenges mals to raise at least $100,000 a year in 2003 and 2004.",1,the grant's terms included a financial obligation for mals.
a pointless act.,1,start_of_turn>model
they kept asking about the noise i heard.,0,people persistently sought information about the noise i had experienced.
lower debt levels lead to lower interest payments-possibly at lower interest rates.,1,a correlation could exist between debt levels and the interest rates applied.
"recent archaeological findings suggest that a site on the yamuna river may have been the home of mahabharata hero, yudhishthira, dating back to 1000 b.c.",0,"there is a possibility that the mahabharata hero, yudhishthira, lived in a location near the yamuna river dating back to    bc."
limitations on total emissions. ,2,start_of_turn>model
"on one side of midosuji is america-mura, the favorite posing ground for osaka's desperately trendy youth, so named for the large number of stores selling much-sought-after secondhand apparel imported from the us.",2,america-mura is a peaceful neighborhood with a focus on local crafts and artisan goods.
"this structure, like yomeimon, is also a national treasure and just as ornately carved and painted.",1,the age of the yomeimon is unrelated to the age of this structure.
no one is going to better him in this area.,0,he is superior to everyone else in this domain.
