text,label
"florida confronted by number 13 louisville who hold the line in 74-70 victory (ap) - the associated press confirmed that taquan dean and francisco garcia helped number 13 louisville claim a 74-70 victory after withstanding florida's determined comeback attempt. rick pitino's remarkable run of form against former associates continued, as he secured his 20th victory and increased his record against billy donovan to 6-0.",1
"in the fight of his lifetime, bernard hopkins, the undisputed middleweight champion, has chosen a musical selection that echoes his life journey. upon his entrance into the ring this coming saturday against oscar de la hoya, he will not be met with pulsating rap tunes.",1
"a former london police officer was given a 2.5-year prison sentence on monday, as he was found guilty of spying on saudi dissidents and other individuals in the uk. the sentencing was carried out by a judge.",0
"yankees potential acquisition of johnson according to cbc sports online - following the arizona diamondbacks' active moves at the winter meetings, rumors point to the possibility of them losing their star player.",1
"microsoft, as outlined by bill gates during a silicon valley meeting of technologists, is focusing on the creation of a new solution for the elimination of adware and malicious software on personal computers.""",3
"sports recap: radcliffe's olympic marathon heartbreak - after four years of dreaming of a successful run at the panathinaiko stadium, paula radcliffe experienced a bitter setback. her ambition to close her career with a triumphant victory did not materialize.",1
"in a game full of highlights, seattle storm's standout player, sue bird, demonstrated her determination with a broken nose. leaving opponents in awe, she smashed the wnba playoff record with 14 assists. to top it off, bird showed her scoring prowess with 10 points, leading the storm to capture the western conference title.",1
"business intelligence: expert warns of potential decline in russian oil exports - as the world's second-largest oil producer, russia could see a decrease in its oil exports within two years, as predicted by a top oil industry expert on tuesday.",2
"colin powell appeals for return of north korean involvement in nuclear talks amid terrorism and rights abuse accusations (ap). through the associated press (ap), secretary of state colin powell urged communist north korea to rejoin the nuclear disarmament talks, condemning the government's alleged terrorism activities and human rights abuses, placing it within the ""terrorist state"" category.",0
"earchers reveal: over half of the viagra tablets sold online might be falsified, as per latest findings",3
"this week in science and technology, microsoft is getting ready to take on google in the internet search engine market. set to debut on thursday, the new search engine has been hyped for a while, and industry sources suggest that it is ready to challenge google's dominance in the industry.""",3
"lori berenson, a new yorker currently serving time in the cajamarca prison of peru, doubts the possibility of an early release due to her collaboration with marxist revolutionaries. with little expectation for a favorable international court verdict, she doubts that she will be released from prison ahead of turning 45.",0
"kerry expresses concerns over bush's war strategy in iraq, new york - in comments made in new york, senator john kerry questioned president bush's judgment regarding the iraq invasion. he expressed concerns that the war might continue indefinitely, and that no responsible leader would have initiated the conflict without solid proof that saddam hussein was in possession of weapons of mass destruction, and posed an immediate risk to the united states...",0
"in a sporty synopsis, the mvp of the game was seattle's basketball sensation, sue bird, who played valiantly with a fractured nose. last night's championship match saw bird break the wnba playoff record for assists, tallying an impressive 14. additionally, bird displayed her versatility by scoring 10 points, leading the storm to conquer the western conference title.",1
"the importance of securing control of the ball to boost team performance is emphasized, especially in successful teams like usc. usc, with its position as the third-ranked team in the country, has a notable passion for american football, evident in their play style and the t-shirts they specially ordered for their players, reading ""it's all about the ball.""",1
"cvs corp. (cvs.n: quote, profile, research) made a groundbreaking announcement on thursday, declaring the launch of the world's first disposable digital camera, boasting a vivid color viewing screen to permit consumers an instant preview of images, at their drugstores.",3
"working in the corporate sector, i suppressed a chuckle when i heard president bush express his desire to mobilize a bipartisan alliance to overhaul tax legislation during the republican national convention. in his words, he aimed to ""lead a bipartisan effort to reform and simplify the tax code"".",2
"a superior turnover margin strategy is vital to usc's success, as they maintain their position as the national top-ranked team. usc has a notable affinity for football, and you can see this reflected in their game strategy, from their specially designed jerseys with the motto ""it's all about the ball!""",1
"financial update: a sudden spike in jobless claims was reported in the u.s. last week, while consumer spending remained constant in august, as shoppers curtailed spending after a spree of expenditure in the preceding month, the government disclosed on thursday. (reuters) - reuters stated that jobless claims in the u.s. unexpectedly rose last week, despite a steady consumer spending throughout august, as americans tightened their purse strings following substantial spending the month prior.",2
"update: woolworths' profit increases 12%, ceo departure delayed in sydney (dow jones) - in business news, australian retail powerhouse, woolworths limited (wow.au), announced a 12% surge in annual net profit to aud 731 million. the company forecasts robust growth moving forward.",2
"the dollar experiences a historic downturn against the euro in new york (reuters). on friday, the greenback dropped to record lows versus the euro, caving in to pessimistic sentiments in the financial sector, resulting in the erasure of the u.s. currency's earlier benefits stemming from a robust october employment report.""",2
"business brief: jobless claims in the u.s. experienced a boost last week, as the number of new unemployment claims rose above expectations. at the same time, consumer spending levels remained unchanged in august, as consumers reined in their expenditures following a significant spending spree in july. the government shared this information on thursday. (reuters) - reuters reported an increase in u.s. jobless claims last week, along with a leveling off of consumer spending in august, with individuals scaling back on their spending after a substantial spending the previous month.",2
"this new palm device presents an increase in memory, minus wi-fi connectivity, making it a trim, glossy, corporate-oriented device with dimensions similar to a stretched t3 (3.1"" x 4.8"" x 0.6"" in size, 5.1 oz in weight), without the sliding design.",3
"the open-source web browser from mozilla, firefox, prepares for its imminent debut. the upcoming version, firefox 1.0, will be launched today, in anticipation of the official product launch on the 9th of november.",3
"the slimmer playstation variation has proven to be a hit with uk gamers, having sold 50,000 units in its debut week. sales have tripled since the launch, trumping microsoft's xbox, according to the latest market analyst data released by chart-track. (science & tech trends)",3
"a potential solution to one of the hardest math problems may have been found by dr. grigori perelman, a prominent mathematician at the steklov institute of mathematics in russia.",3
"a technological union between bt, siemens, and rim results in the offering of blackberry-powered siemens sk65 handsets to uk corporate clients.",3
"in the world of sports updates, colts.com highlights a crucial contest that the coach of the colts has deemed important for specific reasons. during the early stages of the week, he will discuss the implications of the game with his team.",1
busy times ahead as dreamworks ipo is scheduled for thursday; the company's box-office triumphs offering promising returns.,2
"in the realm of sporting events, arsenal, squaring off against rosenborg in the champions league, faces an adversity (update1). gilberto silva, a crucial midfielder for arsenal, will not be able to join the team for their champions league group match against norwegian champions rosenborg on wednesday due to a lingering back injury that will place him on the sidelines for at least a month.",1
"a russian scientist, dr. grigori perelman of the steklov institute of mathematics, may have cracked one of the most challenging mathematical problems, hinting at an impressive solution.",3
"jboss inc., an open-source vendor, has plans to rival established technology firms such as ibm and bea systems inc. with the launch of a high-end middleware software system on december 10, 2004.""",3
"scheme for collaboration with the european union (eu) as they increase membership to 25 countries, which currently comprise 28% of global gdp and a market of 450 million customers. the appeal of intensifying economic relationships with the eu is unquestionable.",0
"the russian mathematician dr. grigori perelman, hailing from the steklov institute of mathematics, might have solved one of the most complicated problems in mathematics. the evidence so far indicates a promising solution.",3
world bulletin: italian government petitions arab nations for cooperative effort in hostage crisis (reuters),0
"haitians, having lost 1,500 of their people to tropical storm jeanne, found solace in a cathedral filled with mud and overturned pews, offering prayers while also expressing gratitude for their lives that remains intact, despite having lost their homes and possessions.",0
"the german government has announced the sale of a 6.3% interest in deutsche telekom on monday, for an estimated 4.5 billion euros ($5.6 billion). this move is intended to aid germany in balancing its widening financial deficit.",2
"peace discussions concerning sudan's darfur province have crumbled, with sudan's rebels and the government halting the overseas-mediated peace talks for the conflict-ridden darfur district on wednesday, after three weeks of insignificant progression and a lack of agreement.",0
"secretary of state colin powell emphasizes the need for north korea to resurface in nuclear disarmament discussions (ap). (ap) - in a sunday address, the former u.s. secretary of state, colin powell, encouraged north korea to recommence nuclear disarmament negotiations. while doing so, he referred to the communist nation as an ""terrorist state"" known for disregarding human rights.",0
"bears roster move: waive gandy, activate colombo on offensive line. - in a surprising move, the chicago bears have waived offensive lineman mike gandy, who had five starts for the team this season and 30 starts over the past three seasons. in his place, we welcome colombo to the lineup.",1
"the redesigned playstation console has garnered attention from uk gamers, with an impressive first-week sale count of 50,000 units. sales figures have tripled since its debut, dethroning microsoft's xbox, as revealed by market research firm chart-track. (tech developments)",3
"a series of legal actions has been launched by various california cities and counties against microsoft, with the accusation that the tech firm is illegally inflating the prices of its products due to its dominance in the personal computer operating systems market through monopolistic practices.",3
"tech news brief: uk advocacy group questions itunes music download prices: in a move that has implications for the technology sector, a uk-based consumer advocacy organization has expressed dissatisfaction over the pricing structure of apple's itunes digital music download service, with their concerns being raised with the uk's competition regulator.",3
"woolworths ltd. boosts profit by 12%, ceo retains position in sydney (dow jones business) - in business intelligence, australian retail colossus woolworths limited (wow.au) announced a 12% jump in annual net profit, culminating in aud 731 million. with this encouraging result, their ceo will remain at the helm.",2
"as per the national governors association, the states' fiscal condition for the current year has advanced, but staggering healthcare costs are obstructing a complete recovery from the most critical fiscal predicament in six decades - a situation marked as the 39th pockets being filled.""",2
"american-led troops step up control, elicit critiques regarding iraq: according to reuters, u.s.-led forces fortified their grip on a city controlled by rebels on sunday, initiating an attempt to regain control of all of iraq. the effort faced criticisms for the lives lost and suffering endured.",0
"a new york woman questions the possibility of an early release from the cajamarca prison in peru, lori berenson, aged 34, incarcerated in peru for alleged collaboration with marxist guerrillas, harbors minimal expectations that an impending international court decision will free her from prison before she reaches 45.",0
"renault on the verge of leaving f1: faure expressed, ""our current negotiations with bernie ecclestone have not yielded an agreement, and we're unwilling to accept a potential imbalance in the distribution of earnings from f1 among the teams.""",1
"high-business sector experts are hinting at a possible downsizing within the technology industry, with the potential shrinkage of pc manufacturers by around a third over the next few years. this conjecture is backed by ibm corp's decision to unload its once-premier personal computer business.",2
"a minute-by-minute account of a minister's existence - gerrit zalm's 'blog' (reuters) - as reported by reuters, dutch finance minister gerrit zalm discusses how his 'blog' offers a candid, minute-by-minute glimpse of life as a minister, incorporating insights into professional accomplishments and personal endeavors.",3
"with continuous advancements in digital technology, even high-end cameras may be transitioning from luxury items to commonplace commodities. our team has analyzed five superior digital cameras, each incorporating a 3x optical zoom, 5 megapixels or more, and sophisticated imaging capabilities.",3
"the men's 100 meters race in athens is expected to set a torrid pace come sunday. (ap) - the heats of the 100-meter dash are simply a warm-up act for the weekend, where a gifted assemblage of hopefuls, such as americans shawn crawford, justin gatlin, and defending champion maurice greene, will strive to make the competition a sports highlight from the athens olympics.",1
"australian retail success story: woolworths ltd. reports 12% profit rise to aud 731 million (dow jones business update) - woolworths limited (wow.au), one of australia's premier retail firms, reported a noteworthy 12% increase in their annual net profit, bringing the total to aud 731 million. as a result, their ceo's departure has been postponed.",2
"world news: hamm aims for two more gold medals amid controversy in athens, greece - despite the ongoing controversy surrounding his gold medal in the all-around, paul hamm has an opportunity to win two more golds on sunday. the american athlete will take part in the finals for the pommel horse and the floor exercise - his final event being a face-off against his twin brother, morgan...",0
"in the realm of science and technology, microsoft is gearing up to join the internet search engine market fray with its highly anticipated product launch on thursday. with google, the current market leader, in its sights, the launch is sure to shake up the industry, according to industry insiders.""",3
"tech competition: san jose linux users take on microsoft - today's tech news: linux enthusiasts in san jose, california, are stepping up their game to match microsoft corporation in competitiveness...",3
"rank 13 louisville triumphs over florida 74-70 (ap) - according to ap reports, taquan dean netted 22 points, while francisco garcia chipped in with 19. in an intense clash, number 13 louisville successfully resisted florida's late push for victory. coach rick pitino's record stood firm at 20-1 against former subordinates, while his overall record against billy donovan expanded to 6-0.",1
"euro outperforms dollar to achieve a record high (reuters). in a significant turn of events, the dollar fell to unparalleled depths against the euro on friday, buckling under adverse market sentiment and undoing the currency's gains that followed an outstanding u.s. october employment report.""",2
"senator kerry challenges bush's decision on iraq war, new york - senator john kerry stated on monday that president bush's actions in invading iraq might result in an unending conflict. according to senator kerry, no thoughtful leader would initiate a war without clear evidence that saddam hussein possessed weapons of mass destruction and posed an imminent threat to the united states...",0
"a revelation by pharmacy chain cvs corp. (cvs.n: quote, profile, research) on thursday unveiled plans to introduce the world's first digital disposable camera, complete with a vivid color screen for quick photo previews, at its drugstore outlets.",3
"here's a sport-focused recap: last night saw sue bird, seattle's basketball star, shine on the court despite a broken nose. breaking the wnba playoff record for assists, her impressive 14 assists were a defining factor in the storm's western conference championship win. to add to her remarkable efforts, bird also scored 10 points.",1
"egyptian intelligence chief, foreign minister to visit israel over key issues (al jazeera) - scheduling a visit to israel next month, egypt's foreign minister ahmed abul gheit stated that he and intelligence chief omar suleiman will be meeting with israeli officials to discuss important bilateral matters, particularly the contested israeli-palestinian conflict.",0
"the us dollar strengthened against the euro, despite a weakening us economy, as certain traders divulged their former assumptions about a sluggish growth rate indicated in recent economic reports no longer holding, thus preventing the us currency from reaching a one-month low.",2
"sporting a broken nose, seattle's star point guard, sue bird, gave a commanding performance in the championship game. crushing the wnba playoff record for assists, she set a record-breaking 14 assists, while also contributing 10 points to the scoreboard. the storm's triumphant victory over the western conference was a result of bird's exceptional play.",1
"st. louis faced a tough defeat in the mlb this saturday, as los angeles triumphed 4-0. jose lima threw a five-hit shutout and hitter shawn green launched two home runs, allowing los angeles to maintain their division series standing.",1
"international peace negotiations for sudan's darfur province have fallen apart as sudan's rebels and ruling administration halted the globally facilitated talks for the conflict-torn darfur region on wednesday, following a three-week period of minimal development and no agreement.",0
"tech sector posts 7-month high as oil prices decline, according to reuters - the tech-heavy nasdaq composite index achieved a 7-month high on thursday as the global oil market experienced a significant downturn. this decline in oil prices has eased investor concerns about the impact of high energy costs on corporate profits.",2
"vijay singh triumphs effortlessly in norton's final tournament - watching back the 2004 deutsche bank championship, one might reminisce, ""what a fitting finish!"" - vijay singh surpasses tiger woods in the global rankings by clinching a head-to-head victory on the golf course.",1
"in the realm of economics, i couldn't help but chuckle slyly upon hearing president bush's address at the republican national convention, wherein he declared his vision to propel a bipartisan crusade for tax code alterations, focusing on ""reforming and simplifying"" the tax framework.",2
"u.s. stock market dips on uncertainty about the republican convention and intel results: new york (reuters) - in the latest market news, u.s. stocks slumped on monday in sparse trading, as investors grew wary due to unresolved issues related to the high-profile republican convention in new york city as well as concerns surrounding the upcoming intel corporation earnings report. to get the full details, visit <http://www.investor.reuters.com/fullquote.aspx?ticker=intc.o>.",2
"sports recap: vieira's exclusion: england prevails, italy excels - on wednesday in the world cup qualifying match, england managed a 2-1 victory over poland, reducing tension for coach sven-goran ericksson under the watchful gaze of spectators.",1
"bernard hopkins, the undisputed middleweight champion, has picked a piece of music that encapsulates his life for his most significant fight yet. as he steps into the ring this coming saturday to face oscar de la hoya, it will not be to the rhythm of contemporary rap.",1
"as the aftermath of tropical storm jeanne took 1,500 lives, haitians gathered in a cathedral filled with mud and upended pews, praying for the deceased while also giving thanks for their own lives, even though their homes and belongings were lost.",0
"business report: jobless claims in the u.s. escalated last week, a disconcerting rise in unemployment benefits filings. (reuters) - according to reuters, jobless claims in the united states surged in the recent week, a concerning indication of increasing unemployment.",2
"the sports arena took over monday nights (ap) - green bay's victory over carolina in the opening game of the season on abc's 'monday night football' grabbed the second position in the ranking of prime-time television ratings this week, outclassed only by nbc's 'friends' spinoff 'joey'.""",1
"16 algerian civilians killed in reported attack by alleged islamic militants, says reuters - confirmed by authorities and reported by reuters on saturday, 16 algerian civilians lost their lives in an attack during the holy month of ramadan, seemingly carried out by islamic militants, according to officials.",0
"transmitted to the interim palestinian president is a 558-page dossier and accompanying x-rays, concerning the medical history of yasser arafat, who is the uncle of nasser al-kidwa, who serves as the palestinian representative to the united nations. the dossier was delivered by al-kidwa himself.",0
"s flash: approximately half of the viagra pills available online might be falsified, according to british researchers (report)",3
"yasser arafat's nephew, nasser al-kidwa, who serves as the palestinian representative to the united nations, has transferred a 558-page dossier containing medical records and x-rays to the temporary palestinian president.",0
international report: italy seeks arab aid in hostage rescue effort as time runs out (reuters),0
"attempts to recover the genesis capsule (news update): in the spirit of high-tech exploration, aerial researcher cliff fleming was pursuing an advanced vehicle, akin to a futuristic land yacht, through the labyrinthine streets of chi-city during the night, approximately 20 feet above ground, from a helicopter.""",3
"the japanese government is scheduled to deliberate on bse cattle tests on monday (update1). the japanese food safety commission will convene on monday to discuss the procedures for testing cattle for mad cow disease, which may lead to the early lifting of japan's ban on u.s. beef imports.",0
"f1 may lose renault: according to faure, ""talks with bernie ecclestone have stalled, and we're firm that the revenue distribution in f1 should be equitable for all the teams.""",1
british telecom operator bt teams up with siemens and rim to provide the siemens sk65 handset enhanced with blackberry tech to uk corporations.,3
"in technology advances for consumers, cvs corp. (cvs.n: quote, profile, research) announced on thursday the upcoming arrival of the world's first disposable digital camera, boasting a bright color viewing screen to enable instant photo previews, at their pharmacy locations.",3
