text,label
a team of scientists has announced the successful deployment of a quantum computer to solve complex optimization problems in real-world industrial applications.,3
"china announces plans to invest heavily in environmental initiatives to combat climate change, marking a significant shift in its stance on global sustainability.",0
israel and egypt agree to cooperate on sinai border security,0
here are  new examples generated by the model:,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
leading bank announces strategic partnership with fintech startup.,2
national football team captain delivers a heartfelt graduation speech at the sports academy's yearly closing ceremony.,1
of_text|><|start_header_id|>system<|end_header_id|>,3
**turkish government announces plans to invest heavily in its renewable energy sector**,0
major investments in emerging markets.,2
cutting knowledge date: december,2
cutting knowledge date: december,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
floodwaters rise in colombia as residents evacuate due to overflowing river.,0
"based on the given examples, here are five new texts that fit the 'business' category:",2
record-breaking sprinter prepares for world championships with rigorous training regimen and mental game toughening.,1
"using programming terminology and concepts (e.g., importing numpy as np)",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"""a breakthrough in medical research has revealed that certain types of antibodies can be engineered to selectively target and destroy cancer cells. this groundbreaking technology has the potential to revolutionize cancer treatment protocols and improve patient outcomes.""",3
**japan and china sign landmark agreement on maritime border demarcation**,0
tech firm announces new product launch and market expansion.,2
of_text|><|start_header_id|>system<|end_header_id|>,3
young american swimmer shatters world record in  -meter dash at international aquatic competition,1
**un climate summit concludes with global leaders agreeing to strengthen commitments towards reducing carbon emissions**,0
"to generate new texts fitting the 'science and technology' category, i can use a language model. please note that these generated texts may not be perfect or real-world accurate, but they will follow the tone and style of the given examples. here are five generated texts:",3
of_text|><|start_header_id|>system<|end_header_id|>,0
"legendary figure skater wins gold in the figure skating world championships with incredible precision and artistry, setting sights on the olympics.",1
researchers developed a new system that utilizes quantum computing to simulate complex molecular interactions.,3
of_text|><|start_header_id|>system<|end_header_id|>,0
of_text|><|start_header_id|>system<|end_header_id|>,0
cutting knowledge date: december,2
"here are five new texts that fit the 'world' category, generated based on the provided examples:",0
today date:   jul,3
argentina wins bid to host major international environmental conference.,0
of_text|><|start_header_id|>system<|end_header_id|>,1
"tennis star's historic comeback at the u.s. open sees her rise to the top of the world rankings, securing a record-breaking win for the home team.",1
"based on the 'news topic' classification dataset and the examples given, here are  new texts that fit the 'business' category:",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
**global supply chain disruptions affect manufacturing output**,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
"olympic committee announces major changes to qualifying process for world championships, sparking backlash from athlete community",1
cutting knowledge date: december,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
cutting knowledge date: december,0
the matplotlib library provides an array of options for creating informative and customizable data visualizations in python.,3
"to generate new texts that fit the 'science and technology' category, i'll use a template based on the provided examples and fill in new gaps to create five new examples.",3
today date:   jul,3
"thailand and china agree on major trade deal, strengthening economic ties between the two nations.",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
here are  new generated texts that fit the 'sports' category:,1
of_text|><|start_header_id|>system<|end_header_id|>,0
today date:   jul,2
the european union imposes stricter sanctions on russia in response to ongoing tensions over territorial disputes.,0
"the star quarterback announces his retirement from professional football after an illustrious  -year career, leaving behind a legacy of numerous championship wins and broken records.",1
cutting knowledge date: december,1
of_text|><|start_header_id|>system<|end_header_id|>,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
**tech corporations witness significant growth amidst ipo boom**,2
the new basketball arena in downtown city receives widespread excitement as top college basketball players prepare to face off in the championship showdown.,1
a novel application of   printing technology has resulted in the successful creation of functional tissue engineering scaffolds for medical implants.,3
"a devastating earthquake strikes a remote region in the himalayas, leaving hundreds without access to basic necessities.",0
"in a shocking turn of events, a last-minute substitution proves to be the game-changer in the high-stakes championship match.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
turkish and greek officials meet for emergency talks to settle long-standing border dispute.,0
here are five new text examples that fit the 'sports' category:,1
"employing technical language in a computational or mathematical context (e.g., generate text)",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
today date:   jul,1
cutting knowledge date: december,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
**chile and argentina strengthen bilateral ties with recent trade agreements and military cooperation deals**,0
today date:   jul,3
un reports significant increase in refugees fleeing conflict in the horn of africa.,0
cutting knowledge date: december,3
of_text|><|start_header_id|>system<|end_header_id|>,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
"based on the given 'world' category examples, i have generated five new text examples that fit the category:",0
today date:   jul,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
today date:   jul,1
"the star quarterback, known for his impressive underdog spirit, leads his team to a thrilling victory, breaking multiple records and earning himself a spot in the team of the year.",1
up-and-coming soccer player impresses scouts at prestigious youth tournament with record-breaking goal.,1
**international trade agreements signed by major corporations:**,2
indonesia and malaysia agree on terms to combat wildlife poaching in southeast asian jungles.,0
"to integrate large-scale data from astronomy with our existing catalog, i have employed \*-pandas* and \*-sql* to parse and store raw observational data.*\* for \*-cosine* similarity detection and hierarchical clustering analysis, i utilized a \*-custom* model implemented with \*-tensorflow*\*",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
**japan announces major aid package to support tsunami-hit communities in indonesia**,0
of_text|><|start_header_id|>system<|end_header_id|>,2
today date:   jul,0
scientists have identified a potential target for the development of new cancer treatments through gene editing techniques.,3
"researchers have developed new algorithms to improve the accuracy of facial recognition systems, making them more secure and efficient.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"the top college basketball team seals their place in the ncaa tournament with a thrilling come-from-behind victory in the final game of the regular season, sending the crowd into a jubilant frenzy.",1
a prominent figure from the palestinian authority calls for increased international support in the wake of escalating violence in the middle east.,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
of_text|><|start_header_id|>system<|end_header_id|>,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
cutting knowledge date: december,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
__________________________________________________________,1
advances in materials engineering are paving the way for the creation of more resilient and sustainable infrastructure.,3
cutting knowledge date: december,2
china and japan agree to strengthen diplomatic relations.,0
egyptian pharaoh's tomb discovered in the depths of the sahel desert,0
**major oil company announces shift towards eco-friendly practices:**,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"in a groundbreaking achievement, the innovative tech startup introduced an ai-powered device that revolutionizes the early detection of cancer.",3
today date:   jul,1
a breakthrough in climate change research reveals alarming impact of rising ocean temperatures,0
of_text|><|start_header_id|>system<|end_header_id|>,0
cutting knowledge date: december,3
here are five new generated questions that fit the 'science and technology' category:,3
**new ipos signal growth in the financial market:**,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"legendary basketball player receives enshrinement in hall of fame, cementing legacy in history of the sport",1
today date:   jul,2
australian minister meets with chinese counterpart to discuss the implications of the bilateral trade deal,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
today date:   jul,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
a team of scientists discovered a new way to harness solar energy through innovative photovoltaic cell design. explain the new technology and its potential applications.,3
of_text|><|start_header_id|>system<|end_header_id|>,0
'import numpy as np',3
"based on the provided examples, here are  new texts that fit the 'world' category:",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
of_text|><|start_header_id|>system<|end_header_id|>,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
here are  new texts that fit the 'sports' category:,1
"the women's soccer team edges out their arch-rivals in the championship game, securing their third consecutive title and the adoration of the devoted fanbase.",1
cutting knowledge date: december,2
"high school football star quarterback commits to one of the nation's top-ranked universities, signing a lucrative national letter of intent to play for the program.",1
of_text|><|start_header_id|>system<|end_header_id|>,1
__________________________________________________________,1
"major wildfire breaks out in western australia, sparking evacuations and health warnings.",0
scientists discover ancient human remains in remote caves hidden deep in the himalayas.,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
**major acquisition of a tech firm by a global conglomerate**,2
"the highly anticipated boxing match between two undefeated prospects is met with widespread media attention, as the underdog challenger looks to capitalize on the hometown favorite's home-field advantage.",1
"to combat climate change, scientists have started working on the creation of a self-sustaining carbon-absorbing forest in the african savannah.",3
of_text|><|start_header_id|>system<|end_header_id|>,0
**ethiopia and eritrea agree to establish joint commission to improve regional cooperation**,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
saudi arabia and kuwait sign landmark agreement to develop renewable energy sources in the gulf region,0
major firms partner for a groundbreaking venture in eco-friendly technologies.,2
here are  new texts that fit the 'sports' category:,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
**major conglomerate diversifies into real estate:** business,2
today date:   jul,3
of_text|><|start_header_id|>system<|end_header_id|>,0
cutting knowledge date: december,3
