premise,label,hypothesis
no not really you know in the last few years just his kind of informal segments i've seen but i never got to see his actual nightly news i liked i i did grow up with david brinkley,0,"'most of what i've seen is his casual content, not his nightly news programming i liked.'"
yes we we sure do smoke them and,0,cutting knowledge date: december
"a ritualistic mark of bravery for carib warriors was cannibalism, and it's for this that history most remembers the indians who invented the hammock and gave their name to the caribbean.",0,'cannibalism was a revered display of bravery by the carib nation.'
uh-hum probably you read a book review or something some kind of review on it,2,of_text|><|start_header_id|>system<|end_header_id|>
over time these distinctions have deteriorated.,1,of_text|><|start_header_id|>system<|end_header_id|>
yes we we sure do smoke them and,0,we definitely smoke them.
oh when i had the uh cats at my place as soon as i took out the newspaper to read it they would plop right down on top of it and just not move and just stay there forever,0,cutting knowledge date: december
"i must say ” ”"" but i stopped suddenly. ",0,"i hesitated before speaking, which caused me to stop in mid-sentence."
 the egg tilted and soared.,0,today date:   jul
not all the way--he has not yet succeeded in building a durable majority on the court.,2,he was once in the minority--he still hasn't succeeded in building a durable majority on the court.
"it might well, however, facilitate gay couples' efforts to adopt children.",1,the immediate approval of the bill can enhance the efficiency of the adoption process for same-sex couples.
"but if you're not watching close ly, you may miss the unprepossessing bust of christopher columbus perched atop a column in a little roadside square.",1,"'unless one looks closely, the size of the christopher columbus bust might be misleading due to its prominent location.'"
"the critical instance case study examines one, or very few, sites for one of two purposes.",1,there are two primary objectives of the critical case study.
"surrounded by heavily industrialized suburbs, the old center of kurashiki has canals lined with dreamy willow trees a reverse comment on the horrors of war.",2,"with no semblance of canals remaining, the once war-torn kurashiki old center now serves as an industrial hub, stripped of its picturesque charm."
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",2,"the purpose of this guide is not to build a world-class finance organization, but rather to explore its failure."
the preamble to the final rule discusses the comments received and the actions taken upon them.,0,today date:   jul
no i don't my my wife has been working with them,2,my wife hasn't had any relationship with them.
charlotte square is arguably the jewel of the new town.,0,the central location of new town is the beautiful charlotte square.
i see it in my dreams sometimes… .,2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
over time these distinctions have deteriorated.,1,there has been a notable decline in the effectiveness of these distinctions over time.
oh that's great yeah yeah i don't do a whole it uh time seems to be hard to find for anything you want to do i don't know why,1,of_text|><|start_header_id|>system<|end_header_id|>
oh when i had the uh cats at my place as soon as i took out the newspaper to read it they would plop right down on top of it and just not move and just stay there forever,0,of_text|><|start_header_id|>system<|end_header_id|>
that hit him harder than any other discovery.,1,"this may indicate that multiple discoveries have not been accounted for, and some could potentially be just as impactful."
mr. hubbock also designed the masjid jamek.,1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
" ibiza town itself is not the place to go for the club scene, although dalt vila has a few gay bars and there is plenty of other entertainment available.",0,"'ibiza is home to dalt vila, a town that has several gay bars.'"
"all is forgiven when tarzan (the voice of tony goldwyn) meets minnie driver--i mean, jane.",2,"on the other hand, when tarzan meets jane nothing out of the ordinary occurs."
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.",2,today date:   jul
"it might well, however, facilitate gay couples' efforts to adopt children.",1,expediting the bill's approval procedure could simplify the adoption process for gay couples.
all villas feature traditional 19th-century jamaican architecture for an authentic old world atmosphere.,2,"many jamaican villas reject the convention of traditional  th-century architecture, picking a forward-thinking, contemporary architectural approach to stand out in their old world heritage landscape."
mls is major-league sport with minor-league charm.,0,"'in spite of being a major league sport, mls has a certain charm often associated with the minor league.'"
"his kingdom prospered, and by the time his son solomon succeeded him, in about 965 b.c. , almost all the extensive, rich lands between the rivers nile and the euphrates were part of the kingdom of israel.",1,today date:   jul
a drop-ship discount might also evoke type-1 worksharing activity.,1,of_text|><|start_header_id|>system<|end_header_id|>
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.",2,"the expansion happened, and by evening it was gone, invisible, nowhere to be seen.'"
"in north carolina, a visa may be issued for six weeks to seven months.",2,it is impossible to obtain any type of visa in the state of north carolina.
uh-hum probably you read a book review or something some kind of review on it,2,it's entirely possible you spent hours reading an in-depth analysis of the book before reaching a conclusion.
tim carvell's wrap-up,0,'tim carvell has a reputation among the public.'
i see it in my dreams sometimes… .,2,"i rarely see it in my dreams, but when i do it's always just a distant memory."
"thus, i have never even touched a girl, much less kissed one.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
yes we we sure do smoke them and,0,"those are smoked, without a doubt."
i see it in my dreams sometimes… .,2,"i have vivid dreams, but it's always absent."
"it might well, however, facilitate gay couples' efforts to adopt children.",1,today date:   jul
oh that's great yeah yeah i don't do a whole it uh time seems to be hard to find for anything you want to do i don't know why,1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
