,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,i hate walmart but its cheap so lets shut the government down because they feed on us weak money savers   i hope the irs stays open btw waiting on my return,0,0,0.24767851725535692,0.4518182322382927,0.1839227718998258,13,0
1,double check your togo order because they did not put anything i have requested in my togo order not enough of sauce wrong butter and gave me the wrong shrimp,1,0,0.24857357443408495,0.4622319504618645,0.19314246504195529,9,0
2,beautiful place however the food was extremely oily the onion rings were dripping oil fries tasted like oil we couldnt eat our food the service was also slow even though the restaurant was empty,2,0,0.24673320789854136,0.4428441420197487,0.19545437296037982,7,0
3,not great 20 for a med 3 topping pizza that had a crust that was charred black on the bottom dominos would have been a better choice much better,3,0,0.24320467616755362,0.41756624579429624,0.14841124690645247,9,1
4,first time trying wienerschnitzel nothing special to be honest ive tasted better chili dogs hot dogs and burgers from a circus i guess the best item i had is the chili cheese fries,4,0,0.2440451736383351,0.42283247858285905,0.19011315191669897,5,0
5,this is the second time that i have been here in 4 weeks and i will not go back anytime soon the service was average the quality of the food was poor and the value non existant so many better steakhouses in town very disappointing especially after all the hype,5,0,0.2463162412429497,0.43930602371692656,0.1884762987679856,8,0
6,i was not impressed  its ok for a sushi bar in the middle of the desert i suppose  the coveted toro was blah  it didnt melt in my mouth like the best ones do  i enjoyed their tuna better  the salads are a delight and the sea bass is like sugar perhaps a little to much caramelizing  overall it was ok,6,0,0.2426237728786576,0.41411503553390505,0.17839608061858728,5,0
7,its so ridiculous that a big company like costco doesnt take credit cards unless its american express never again am i shopping at costco fuck the bullshit,7,0,0.24782294618099043,0.4533410906791687,0.19084990452252226,14,0
8,i know this is treasonous but i wasnt all that impressed  i had the chicken enchiladas with green sauce  the food was very average in my opinion although the service was very friendly and quick,8,0,0.2434907711360904,0.4193202078342438,0.18490805342462216,5,0
9,10 a month look out for the hidden fees why join a place thats dishonest about fees read what alan h has to say they will make you send a certified letter to cancel and charge  30 plus dollars to cancel  nni go to tangible fitness locally owned no hidden fees  reasonable monthly rates,9,0,0.24797784546720147,0.45503162741661074,0.18062442543889168,13,0
10,closed down by the health departmentmaybe that is why their pot stickers were so good,10,0,0.2482145392142719,0.457745286822319,0.1895570225370123,13,0
11,giod one,11,0,0.23883993914069815,0.39435881078243257,0.0985835409050254,13,0
12,they no longer provide shuttle service,12,0,0.2458201284823557,0.4353480741381645,0.17250651546778423,13,0
13,very friendly but the really need to do better hygiene,13,0,0.2417037453049195,0.4089162215590477,0.1500454576358276,8,0
14,tried to attend the air force show but after a horrendous 2 hr wait in traffic and and an hour long wait to board a bus we gave up  horribly inefficient and horribly executed event  no one directing traffic and no oversight  joke of an event  would never even try attending again,14,0,0.24972831046799354,0.4835169926285744,0.2080890024757707,15,0
15,it is old but for the price its a good location however i will never stay there or the luxor same company  because of the time share people they will chase you down every single time you walk through the lobby  they have 2 people at every entrance  very annoying,15,0,0.24696425126426544,0.44490237087011336,0.1804902556247014,12,0
16,brought the inlaws here the food was blah the service was bad our waitress seemed to be easily distracted wasnt entirely sure what we ordered and managed to hang on to what was a cold beer until it was lukewarm while talking to either a customerfriendcoworker not going back not interested,16,0,0.2479170001292874,0.45436010658741,0.19185669581373926,10,0
17,wasnt a big fan of this place at all didnt live up to the hype it is very much a you dont like it theres the door its a fun environment and everyone is very friendly but the food wasnt that good check out the website before you decide to go,17,0,0.24636964742742676,0.4397475928068161,0.18539043550255774,8,0
18,great place to have fun  party and get drunk bad place to eat food was so bland  plain like some bad ass mexican bar food,18,0,0.24680207097163898,0.4434497654438019,0.19486287389018553,7,0
19,not freaky fast delivery ordered a few times takes over an hour,19,0,0.2463083255719583,0.4392408490180969,0.16599486911382894,12,0
20,decent enough going through construction in terminal c for southwest flights so will be much nicer when its done,20,1,0.24307209872914196,0.41676598489284516,0.1532965099047689,14,0
21,decentgood craft beer big selection but their menu is soso for me i always end up noshing on their food after a couple drinks but the menu is kind of pricy to go there just to eat cool environment can get pretty busy but is often really low key,21,1,0.24780258363785618,0.4531233921647072,0.1867937388887832,13,1
22,not the best of the nearstrip buffets but not bad either its not that busy for lunch on a weekdaywhich means some of the food sits around for a while make sure you have their card if youre a local so you get the big discounti missed that the first time,22,1,0.24765569637724966,0.45158199071884153,0.18973248513548055,13,1
23,nice environment laid back staff we got an italian gyro and picado gyro the meat and ingredients were excellent but the pitas were stale probably wont go back,23,1,0.2424852469825587,0.41331232488155367,0.16616255726174328,5,0
24,the calzones are really freaking good at just under 10 they are massive and overstuffed with your filling of choice would give this place 4 stars for the calzones alone however when it comes to the pizza sandwiches and salads its a bit lacking compared to other authentic pizzerias around the valley,24,1,0.24679600141806218,0.4433961257338524,0.180272512789066,11,1
25,first time i tried this place i was stunned on how you can choose what flavor crust you want for your pizza i always get cajun breadreally gives a kick when you bite into your slice of pizza,25,1,0.2416201318812166,0.40845838040113447,0.15822063276006232,5,0
26,its a pretty good cheese steak but they are hit or miss  i have been here at least 10 times in the past five years and it is a little bit different every time  sometimes really good other times not so great  but the bun is always spot on for authentic philly cheese steak style,26,1,0.2437306721373118,0.42082091271877287,0.17522308468884296,5,0
