text,label
former ufc champion jones set to face off against long-time rival in highly anticipated comeback match,1
today date:   jul,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
"based on the examples provided, here are five new texts that fit the 'business' category:",2
cutting knowledge date: december,3
here are  new texts that fit the 'sports' category:,1
the company's board approved a significant investment in sustainability initiatives.,2
of_text|><|start_header_id|>system<|end_header_id|>,0
**merger announcements:**,2
of_text|><|start_header_id|>system<|end_header_id|>,3
breakthrough in artificial general intelligence could lead to significant advancements in fields such as healthcare and finance.,3
of_text|><|start_header_id|>system<|end_header_id|>,1
**entrepreneurship support**: information about government initiatives and programs that provide resources and funding for new businesses.,2
space agency unveils plans to establish a lunar base to facilitate future lunar resource utilization.,3
boston crimson wins ncaa basketball national championship after defeating duke blue devils,1
**new satellite launched to detect earth's ozone depletion zones**,3
french cycling team wins prestigious tour de france with dominant performance in final stage >>> sports,1
"a new report released by the world bank indicates that global poverty rates have declined by  % over the past decade, driven primarily by advancements in technology and improved economic cooperation between nations.",0
rising concerns about supply-chain disruptions are affecting production costs for manufacturers.,2
today date:   jul,0
today date:   jul,3
today date:   jul,0
researchers discover new method to harness the power of solar energy for remote communities.,3
**product launch news:**,2
**researchers successfully develop ai algorithm to detect early signs of alzheimer's disease**,3
today date:   jul,0
of_text|><|start_header_id|>system<|end_header_id|>,2
**economic indicators:** the country's gdp is expected to see a marginal growth in the upcoming quarter.,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
today date:   jul,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"**nasa announces plans to launch a mission to explore the surface of mars' largest moon, phobos**",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
cutting knowledge date: december,2
**mergers and acquisitions:**,2
cutting knowledge date: december,2
industry leaders discuss the challenges and benefits of increased corporate transparency regulations.,2
of_text|><|start_header_id|>system<|end_header_id|>,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
