text,label
"the mysterious discovery of a new species of deep-sea octopus: a team of marine biologists has recently unearthed a new species of octopus residing in the deepest parts of the mariana trench. this creature, named the abyssus invisibilis, boasts a unique bioluminescent camouflage system designed to blend seamlessly into the darkness of the abyssal plain.",3
"ommerce giant amazon has made an offer to buy whole foods market, the popular grocery store chain. if the deal goes through, amazon will gain access to whole foods' 470+ stores, setting the stage for amazon to compete directly with walmart in the grocery industry.",2
"synthetic dna: scientists create living organisms with synthetic genome: a team of biologists at the university of california have successfully engineered a bacteria that contains a synthetic genome, paving the way for synthetic biology to solve many real-world problems such as disease prevention and the creation of sustainable biofuels.",3
"quantum computing is no longer just a concept in science fiction. recent advancements have brought us closer to a practical quantum computer. this technology has the potential to revolutionize industries, from cryptography to medicine. however, these developments also present new challenges that researchers must overcome.",3
"ai and machine learning leap forward: the latest advances in artificial intelligence, such as deep learning, and their potential applications for solving complex scientific problems and contributing to technological advancements.",3
"trade dispute impacts small businesses as tariffs increase on imported goods, potentially affecting the us economy.",2
"migratory bird populations declining: a new study suggests that species of migratory birds are declining at twice the rate of other bird populations, threatening biodiversity and ecological balance in various regions around the world.",0
"novak djokovic claims tennis grand slam: the serbian tennis star has captured all four grand slam titles in a single year, becoming only the third man in history to achieve the coveted calendar-year grand slam.",1
the future of working from home: a look at how companies are navigating the shift to remote work and the permanent changes it may bring to the business world.,2
"popular social media app snapchat is planning to go public in the coming months, with an initial public offering (ipo) that could value the company at $25 billion. the move is attracting interest from investors who see snapchat as a potential rival to facebook inc. in the increasingly competitive social media space.",2
"drones to protect endangered species: wildlife conservation organizations are now deploying drones outfitted with thermal cameras and tracking systems to monitor and aid the recovery of endangered species, particularly those that inhabit remote regions, providing crucial data to inform conservation efforts.",3
"goldman sachs predicts economic slowdown in europe: according to goldman sachs economists, a slowdown in growth is expected for the european union in the near future. the firm attributes this to a combination of factors such as brexit, trade tensions, and a potential deceleration in china's economy.",2
a legendary pitcher announces his retirement after a stellar career spanning decades: leagues and fans worldwide mourn the loss of a sports legend.,1
united nations warns of food crisis in yemen: shortages of aid funding threaten already desperate populations.,0
stock market analysts predict a potential boom in the tech sector as samsung announces new breakthroughs in foldable screen technology.,2
china and russia sign historic accord to boost strategic partnership in the face of global economic uncertainty,0
"quantum computing's breakthrough: the key to solving complex problems - researchers have made significant strides in creating a new type of processor that may revolutionize data analysis, potentially solving complex problems in fields like physics and finance in a fraction of the time.",3
"the future of racing: formula one introduces new sustainability initiatives, attracting a younger, eco-conscious audience.",1
"a team of researchers successfully decodes the dna of an ancient species of dinosaur, providing valuable insights into the evolution of prehistoric creatures. science and technology",3
"wall street struggles amidst trade tensions global financial markets are experiencing instability as tensions rise between major trading nations, particularly the us and china. the economic impacts of these ongoing trade disputes could have significant repercussions on both countries as well as the global economy.",2
the unmatched skill of lionel messi: can anyone dethrone the football legend?,1
"bian tennis sensation novak djokovic added another title to his collection, winning the australian open for the ninth time in an impressive display of skill and determination on the court.",1
ipo expected to value snapchat at $25 billion:,2
"tensions escalate in the mediterranean: recent military exercises by russia and turkey in the eastern mediterranean have raised concerns among countries in the region, including greece and cyprus. both russia and turkey insist the exercises are purely defense-oriented, but critics argue that they risk escalating tensions and disrupting regional security.",0
"migrant caravan reaches mexican border: a caravan of thousands of central american migrants has reached the us-mexico border, seeking asylum and refuge from violence and poverty in their home countries. this story details the journey of the caravan and the complex political and humanitarian issues involved.",0
"advancements in virtual reality technology have made it possible for students to immerse themselves in educational experiences, traveling to other planets, diving into the ocean, or visiting historical events. this innovative tool could revolutionize the way information is learned and understood.",3
lebron james breaks scoring record with incredible performance in nba clash,1
new regulations for airline industries in light of the boeing 737 crisis:,2
the rise and fall of bitcoin and its impact on the financial market:,2
"north korea's latest nuclear test elicits global condemnation: a recent nuclear test conducted by north korea has been met with widespread global condemnation, as international tensions continue to escalate over the nuclear program.",0
"researchers successfully create artificial blood using 3d bioprinting, potentially revolutionizing transfusion medicine.",3
"artificial intelligence could unlock the secrets of ancient civilizations: researchers are developing a new ai model that aims to decode ancient languages and texts, potentially revolutionizing our understanding of history.",3
"quantum computing: the latest breakthrough in quantum science promises faster, more efficient solutions for complex problems, from cryptography to climate modeling.",3
lebron james named mvp of the nba finals for the fourth time: the basketball superstar continues to rewrite the record books and proves that age is just a number.,1
"record-breaking swimmer michael phelps eyes tokyo olympic triumph: america's greatest olympian michael phelps is gearing up for another shot at gold in the tokyo olympics, where he hopes to break records and continue his historic legacy in the world of swimming.",1
"the quest for terrestrial exoplanets: nasa's upcoming mission, tpe, aims to discover earth-like exoplanets in the habitable zone, potentially revolutionizing our understanding of the universe.",3
"lebron james breaks michael jordan's scoring record: ""in a thrilling game against the philadelphia 76ers, nba legend lebron james etched his name into history books, surpassing michael jordan's scoring record. the historic moment highlights james' extraordinary career as he continues to redefine what it means to be a great nba player.""",1
genetic engineering in plants: recent advancements in plant genome editing technology are allowing researchers to develop more resilient crops that can better withstand diseases and extreme weather conditions.,3
an international study reveals the complex relationship between technology use and the decline of social skills in young adults.,3
"a move to enhance efficiency and safety in the shipping industry, ford and google have collaborated to develop a fleet of autonomous delivery trucks designed specifically for package delivery services. these self-driving trucks could revolutionize the logistics and transportation industries, potentially cutting costs and reducing accidents.",2
new government report reveals rising concerns over amazon's expanding influence in the global economy and its potential impact on competition.,0
"tesla unveils its newest electric car model, attracting attention for its innovative features and potential impact on the auto industry.",2
the discovery of a new planet orbiting two stars raises questions about the possibilities of habitable alien life forms. science and technology,3
"the future of medicine: gene-editing technology could eradicate genetic diseases a research team has made strides in gene-editing technology, aiming to eliminate inherited diseases and potentially enhance human development.",3
the mystery of dark matter unraveled: a leap in cosmology,3
artificial intelligence: the rise of ai and its impact on modern society,3
"lionel messi's record-breaking goal - highlight messi's recent milestone in football, how it places him among the greatest goal scorers of all time, and its impact on the ongoing soccer season.",1
the impact of covid-19 on global supply chains: a deep dive into the latest trends and strategies for mitigating disruptions.,2
"from simulating complex chemistry and designing drugs to optimizing financial systems and improving cryptography, researchers believe quantum computing could offer tremendous benefits in a variety of fields. in this article, we'll investigate the current state of quantum computing, its limitations, and how it could revolutionize science and technology.",3
tom brady sets super bowl record with sixth championship: the new england patriots quarterback breaks the record for most super bowl victories with his sixth win following an impressive comeback against the kansas city chiefs.,1
"decoded dna: the recent breakthroughs in gene editing technology and their implications for medical science, gene therapy, and genetic disorders.",3
scientists discover a new species of deep-sea dwelling cucumberfish,3
"technology company's new app revolutionizes mobile banking, reducing the need for physical branches",2
"race is on between tech giants and startups alike to crack the code on quantum computing. this advancement could revolutionize the way we process information, outpacing traditional computers exponentially.",3
"quantum leap: scientists observe entangled photons in space: in a groundbreaking experiment, quantum physicists have observed the phenomenon of entangled photons traveling through space, providing invaluable insights into the nature of the universe and the potential for faster-than-light communication.",3
"un approves historic climate change agreement: the united nations has approved a groundbreaking agreement aimed at limiting the global temperature rise to well below 2% by the end of the century. the deal, signed by almost 200 countries, includes commitments to reduce greenhouse gas emissions and to provide financial support to countries most affected by climate change. this move could have a profound impact on the future of our planet.",0
"billionaire elon musk announces new electric vehicle model, tesla shares soar",2
the latest advancement in renewable energy technology: harnessing the power of ocean currents to generate electricity.,3
"ecent report from the organization of the petroleum exporting countries (opec) reveals that oil prices have risen due to a disruption in supply chains, creating instability in the global market. analysts suggest that this trend may continue as countries battle political tensions and production issues.",2
"roger federer announces plans to participate in the australian open, looking to reclaim his position as the world's top tennis player.",1
ford and google unveil autonomous delivery trucks:,2
"nba mvp race heats up as lebron james records his record-breaking 8th straight season with average over 25 points, 8 rebounds, and 8 assists.",1
stock market struggles as china's trade war with the us continues to impact global markets. [business],2
"zon.com, inc. has agreed to acquire whole foods market, inc. in a deal valued at $13.7 billion. the acquisition is expected to make amazon a major player in the grocery market and potentially disrupt conventional grocery retailers.",2
"e electric semi-truck unveiled by tesla is expected to radically change the logistics landscape, potentially reducing emissions and increasing efficiency in the transportation industry.",2
"a global summit on climate change is set to take place next month, with world leaders and environmental groups urging action to mitigate the effects of rising sea levels and extreme weather events.",0
the breakthrough of 5g technology will impact not only communication but also the future of ai development and autonomous vehicles.,3
"mysterious ancient artifacts found in egyptian sphinx: archaeologists baffled by discovery - the recent discovery of enigmatic artifacts within the great sphinx of giza has left archaeologists worldwide baffled. dating back to 2500 bce, these artifacts could potentially rewrite history books.",0
"investors express concern as a key market index fluctuates, causing a ripple effect on global stock markets.",2
the world health organization declares the ebola outbreak in the democratic republic of congo a global health emergency. the organization urges countries to increase their efforts to combat the spread of the disease.,0
"u.n. secretary-general antonio guterres warns of famine in yemen, urging global action to prevent a humanitarian crisis.",0
amazon launches prime air express: overnight delivery for prime members:,2
taliban takes control of key afghanistan city: the swift and sudden fall of taliban forces in the city of ghazni highlights the unstable political situation in afghanistan and its impact on neighboring countries.,0
"leading pharmaceutical companies, merck and pfizer, have just announced plans to merge, forming a record-breaking company with combined revenues of over $250 billion. the two will combine their research and development efforts, aiming to produce life-saving drugs more efficiently and bring them to market faster.",2
"north korea conducts another missile test, increasing tensions on the korean peninsula. the un security council is scheduled to meet to discuss the latest provocation and potential response.",0
the incredible potential of quantum computing: could it be the key to unlocking solutions to complex problems?,3
"lebron james breaks nba scoring record in epic comeback game: the legendary basketball player broke michael jordan's all-time scoring record in a remarkable performance, showcasing his unparalleled skills and determination.",1
"usain bolt retires from competitive racing: the jamaican sprinter, known as the fastest man in the world, announces his retirement, leaving behind a legacy of incredible athletic achievements.",1
"skateboarder shaun white nabs his third olympic gold medal in halfpipe final at pyeongchang winter games, solidifying his place as one of the greatest snowboarders of all time.",1
