text,label
"soccer manager bobby robson sacked by newcastle: the soccer team newcastle has made the move to dismiss manager bobby robson following a period of poor performance, according to a statement made on monday.",1
"us airways' request for a 23% pay cut among its workforce is under review by a federal bankruptcy judge in alexandria, va, as the company seeks to shore up its finances during the reorganization process.",2
"oracle to highlight business intelligence, data management, grid computing, and integration: oracle, in its forthcoming event scheduled at the oracle openworld conference in san francisco, will emphasize its data hub technology for business intelligence, mass-oriented content management solutions, grid computing, and integration, as reported by a company executive on thursday.",3
"mushroom cloud incident in north korea remains enigmatic: south korean and u.s. authorities stated that a reported mushroom cloud sighted in north korea on sunday was not due to a nuclear test, leaving the cause still a mystery...",0
"ap (associated press) - seattle mariners outplayed in a 7-5 defeat by the chicago white sox as the team's standout players, juan uribe and roberto alomar, excel with a home run and a two-run double respectively.",1
business category.,2
investors warned: caution in picking businesses for the second bush administration: the election resolution may bring temporary relief to the stock market. investors should be wary when choosing sectors they believe will flourish during the second bush administration - the current state of affairs may not be as they seem.,2
"kuznetsova triumphs over widjaja to advance in wismilak international: us open champion svetlana kuznetsova edged past wild card player angelique widjaja to reach the semi-finals at the wismilak international, securing a comprehensive 7-5, 6-1 victory on friday.",1
business category.,2
"yankees outshine red sox: jon lieber's no-hitter reigns, rodriguez shines with homer, 3 rbis, and 3 runs in yankees' 14-4 triumph over red sox. (reuters) - a dominating performance by jon lieber, backed by alex rodriguez's homer, 3 runs scored, and 3 rbis, leads the new york yankees to a 14-4 victory against the boston red sox on saturday.",1
"vodafone to axe 2.5 billion in annual costs: in a bid to optimize expenses, vodafone plans to slash costs by 2.5 billion pounds annually by march 2008, with 1.4 billion to be achieved through cost-saving measures and the remainder yet to be clarified.",2
"yankees outplay red sox in dominating style: with jon lieber's no-hitter and alex rodriguez's key contributions (3 rbis and 3 runs scored), the yankees secure a 14-4 victory against the red sox on saturday.",1
"illinois residents set to acquire affordable prescription medications from canada, uk, and ireland: illinois governor rod blagojevich revealed plans on tuesday to enable residents to procure lower-priced prescription drugs from canada, the united kingdom, and ireland, bypassing objections from u.s. regulators regarding imported medications. (business)",2
bernie ecclestone calls for end to british grand prix - the sports world waits to find out if this prediction will come to fruition. cancelling the british grand prix would be a major step for ecclestone in the sports industry.,1
"newcastle soccer club ousts manager bobby robson: the soccer club newcastle has decided to relieve manager bobby robson of his duties following a string of match losses, as announced on monday.",1
"de rato expresses concern over us debt: the imf head, rodrigo de rato, expresses concerns regarding the us dollar's stability and the need for the nation to address its escalating indebtedness, according to recent statements.",2
