label,text
0,"haitians pray for 1,500 killed by jeanne (ap) ap - in a cathedral ankle-deep in mud and overturned pews, haitians prayed for 1,500 killed by tropical storm jeanne and gave thanks for their lives  #151; though most lost homes and belongings  #151; while the united nations rushed in hundreds more peacekeepers to stem looting by gangsters and ordinary citizens of the ravaged city of gonaives."
0,"u.s.-led forces tighten grip, draw complaints  samarra, iraq (reuters) - u.s.-led forces tightened their  grip on a rebel-held city on sunday in the first step of a  campaign to take back all of iraq but drew complaints about the  cost in lives and suffering."
0,u.n. says bugging device found at its geneva hq (reuters) reuters - the united nations said on thursday a\secret listening device had been found in a posh meeting room\of its european headquarters in geneva.
0,kerry questions bush's judgment on iraq new york - sen. john kerry said monday that mistakes by president bush in invading iraq could lead to unending war and that no responsible commander in chief would have waged the war knowing saddam hussein didn't possess weapons of mass destruction and wasn't an imminent threat to the united states...
0,seoul asks bush to focus on n.korea nuclear crisis south korean president roh moo-hyun called newly re-elected president bush and won his agreement that ending the nuclear crisis involving the isolated communist north should be a goal of his second term in office.
0,"egypt fm, intelligence chief to visit israel next month (afp) afp - egyptian foreign minister ahmed abul gheit announced that he and intelligence chief omar suleiman intend to visit israel next month to discuss bilateral issues as well as the israeli-palestinian conflict."
0,"at least 14 people killed, 200 injured in bangladesh #39;s bomb blasts at least 14 people were killed and over 200 injured, as a series of bombs and grenades exploded through a rally here organized by the main opposition the awami league saturday "
0,"japan #39;s government to discuss bse cattle tests monday (update1) the japanese government #39;s food safety commission will meet monday to discuss cattle-testing procedures for mad cow disease, possibly bringing forward the end of japan #39;s ban on imports of us beef."
0,"powell presses n. korea on weapons talks (ap) ap - secretary of state colin powell pressed north korea on sunday to return to nuclear disarmament talks even as he branded the communist country a ""terrorist state"" that has ""no respect for human rights."""
0,"yasser arafat #39;s nephew hands over palestinian leader #39;s medical &lt;b&gt;...&lt;/b&gt; nasser al-kidwa (ahl kihd #39;-wah), who is also the palestinian representative to the un, delivered the 558-page dossier, plus x-rays, to the interim palestinian president."
0,"hamm goes for more gold amid controversy athens, greece - despite the controversy surrounding his gold medal in the all-around, paul hamm has a chance to win two more golds sunday. the american will compete in the finals of the pommel horse and the floor exercise - the latter against his twin brother, morgan..."
0,"uruguay elects leftist leader for first time was enough to ensure he would be able to govern. vazquez declared himself winner a few hours. after compulsory voting ended in the nation of 3.4 million, and his two challengers conceded."
