text,label
what are the common signs and symptoms of high blood pressure?,2
what is the market value of amazon as of today?,5
what are some preventative measures for heart disease?,2
who is the current ceo of apple inc.?,5
which team broke the nfl's record for the most touchdowns in a single season?,4
what is the recommended amount of daily exercise for a healthy lifestyle?,2
calculate the speed of sound in air at 20 degrees celsius and a pressure of 1013.25 millibars.,1
who was the renowned egyptian pharaoh that ruled during the time of the exodus?,0
"who was the first person to win the nobel peace prize twice, and why did they receive it each time?",0
what is the meaning behind the day of the dead festivities celebrated in mexico and other latin american countries?,0
what was the biggest initial public offering (ipo) in the year 2020?,5
"who wrote the book ""the da vinci code"" and what is the story about?",0
what is the predicted gdp growth rate for the us economy in 2022?,5
what is the chemical symbol for the element with the atomic number 92?,1
what are some warning signs of stroke? (health),2
what are the three states of matter and give an example for each state at room temperature?,1
what is the purpose of the sat exam and how is it scored?,3
who was isaac newton and what scientific laws did he contribute to the field of physics?,1
the sport played in the winter olympics using curved runners on ice is called what?,4
what is the market capitalization of amazon as of today?,5
"what is the recommended daily exercise regimen for maintaining a healthy lifestyle, and what are the benefits of such a routine?",2
who was the first woman to serve as the secretary-general of the united nations?,0
what is the current exchange rate between usd and eur?,5
who won the world series in 2020?,4
in which year was tennis player serena williams first ranked world no. 1?,4
who was the first african american to serve as the united states supreme court justice?,0
"who authored the book ""to kill a mockingbird"" and in what genre does it fit? (this one might be a bit of literature, but it does relate to education.)",3
what is the boiling point of water in kelvin?,1
who was the first female african-american supreme court justice?,3
who is malala yousafzai and what is her impact on education for girls?,0
what are the common symptoms ofhigh blood pressure and how can it be prevented?,2
who was the first president of the united states?,3
which culture is known for their famous tradition of the running of the bulls?,0
what is the average speed of the universe's expansion according to the hubble constant?,1
how did the american civil rights movement impact the global fight against discrimination?,0
what is the projected revenue growth for apple inc. in the next fiscal quarter?,5
"what star is known for its famous pulsating behavior, which has been observed for over five hundred years?",1
which country won the fifa world cup for the first time in 1930?,4
what are the benefits and risks associated with a vegan diet for overall health?,2
in which year did soccer (football) first become an olympic sport?,4
what is the average annual return on investment (roi) of the s&p 500 index over the past decade?,5
"which element on the periodic table has the atomic number 31 and is a silvery-white, odorless, tasteless, nonreactive, ductile, malleable, and highly polished metal?",1
how does the consumption of processed foods affect a person's overall health in the long term?,2
which country has won the fifa world cup the most times?,4
who holds the record for most home runs in a single mlb season?,4
what is the recommended diet for managing type 2 diabetes?,2
when was the great barrier reef designated as a world heritage site?,0
what are the key principles of john locke's philosophy of education?,3
what is the higher education system like in france compared to the united states?,3
can you explain the impact of a balanced diet on overall health?,2
what is the higgs boson and how did its discovery support the standard model of particle physics?,3
what is the annual revenue of amazon as of 2021?,5
in which industry does amazon primarily operate and what are its main competitors?,5
what is the difference between an associates degree and a bachelor's degree?,3
"in which olympic sport do athletes dive off a 10-meter platform, and what is the name of the competition?",4
"what are the benefits of regular exercise for mental health improvement, beyond just physical health?",2
"can you explain the symptoms and causes of depression, and what treatment options are available?",2
who is the current ceo of apple inc.?,5
how many times has usain bolt broken world records in olympic games?,4
who is the current ceo of tesla inc.?,5
which atomic number represents the element that makes up over 60% of the earth's crust?,1
how can i maintain a healthy diet to prevent heart disease?,2
"what is the role of the united nations educational, scientific and cultural organization (unesco) in promoting international cooperation in education, science, and culture?",3
what is the significance of the montessori method in education?,3
what is the name of the team that won the super bowl in 2020?,4
what is the projected economic growth rate for the united states in 2023?,5
"who is malala yousafzai, and what is she famous for?",0
in what year was the united nations established?,0
"what is the boiling point of water in kelvin, and how does this temperature relate to energy transfer?",1
"what role does regular exercise play in disease prevention and overall health, and how much exercise is recommended for adults?",2
"what is the scientific name for the creature found in the bioluminescent area of the ocean known as ""crystal jellyfish""?",1
what is the history behind the construction of the great wall of china?,0
how does smoking affect heart health?,2
what is the capital city of france?,0
what is the significance of the harlem renaissance in african-american history?,0
what was the stock performance of tesla this quarter?,5
how does photosynthesis convert carbon dioxide and water into glucose and oxygen?,1
in which year was the united nations established?,0
who was the first woman to become the prime minister of india?,0
what is the significance of the higgs boson particle in the standard model of particle physics?,3
what is the cultural significance of the harlem renaissance in african-american history?,0
can you name the sport where a player uses a wooden racket to hit a small ball on a hard court?,4
when and where did the harlem renaissance take place?,0
"what is the difference between a molecule, an element, and a compound in chemistry?",1
how do binary stars orbit each other and what causes their movements?,1
what is the current exchange rate between usd and eur?,5
can you explain the impact of the stock market crash of 1929 on the global economy?,5
when was the great fire of london?,0
what is the significance of the magna carta in the development of modern western law?,3
who are the top 3 richest people in the world according to forbes' real-time billionaire list?,5
what was the major acquisition that amazon made in 2020?,5
what is the fastest speed ever clocked by a professional tennis player during a match?,4
"which team sport requires players to maneuver a ball using only their hands, traditionally played in italy?",4
who developed the montessori educational method and when was it introduced?,3
which famous athlete broke the record for the most home runs in a single season in the mlb?,4
in what year was the higgs boson particle discovered and why is it important in physics?,1
what are the fundamental forces in nature as described by modern physics?,1
"what is the connection between mental health and poor sleep habits, and what are some effective solutions for sleep disorders?",2
what is the significance of the magna carta in legal and political history?,3
what is the significance of the freedom rides during the u.s civil rights movement?,0
when and where was the united nations founded?,0
who was the first person to theorize the theory of relativity?,3
in which african country did the ndebele people originate and what are their traditional dress and art forms?,0
who is the current president of france?,0
"what are the symptoms of common cold and flu, and how do they differ?",2
"how does stress impact the immune system, and what steps can be taken to reduce stress for better health?",2
approximately how long does it take for light to travel one mile in a vacuum?,1
what is the significance of the magna carta in the history of law?,3
"what is the scientific theory of plate tectonics, and how does it explain earth's surface features?",3
"which sport involves a net dividing a court in half, and features a service, volleys, and scoring points based on the opponent failing to return the ball?",4
can you explain the difference between an associate's degree and a bachelor's degree?,3
what are the potential long-term health effects of smoking?,2
what is the process of photosynthesis and how does it occur in plants?,1
who was isaac newton and what significant discoveries did he make?,3
who is the all-time leading scorer in nba history?,4
what is the current stock price for microsoft corporation?,5
who set the record for the fastest goal in a fifa world cup match?,4
what is the average recommended daily water intake for a healthy lifestyle?,2
what is the impact of globalization on local cultures worldwide?,0
what are the common symptoms of high blood pressure?,2
"when was the stonewall riots, a significant event in the lgbt rights movement, held?",0
what is the function of the pisa test and what does it measure?,3
how many elements are present in the periodic table and what are they?,1
what is the leading cause of death in children under 5 globally?,2
what are the long-term effects of a poor diet and sedentary lifestyle on overall health?,2
can you explain the fundamental principles of einstein's theory of relativity?,1
explain the benefits of a balanced diet and regular exercise on cardiovascular health.,2
which team holds the record for the most consecutive world series wins in major league baseball?,4
"who was the author of the book ""to kill a mockingbird"" and in what year was it published?",3
what are the benefits and risks associated with a vegan diet?,2
what is the difference between a ph.d. and a master's degree in academic terms?,3
"who is considered the greatest tennis player of all time, and why?",4
