text,label
yankees ace pitches perfect game new york yankees star pitcher phil hughes threw a perfect game against the los angeles dodgers in a   victory at yankee stadium.,1
of_text|><|start_header_id|>system<|end_header_id|>,0
"major tech firm acquires startup to boost ai capabilities tech giant, google, is set to acquire a leading ai startup, valuing the company at over $ billion. the acquisition is seen as a strategic move by google to bolster its artificial intelligence capabilities and stay ahead of competition in the industry.",2
"egypt and saudi arabia sign historic defense agreementcairo, egypt (reuters) - egypt and saudi arabia have signed a historic agreement to strengthen their defense cooperation in the region, in a move to counter iranian influence.",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
"the united nations has approved a new resolution aimed at stabilizing a region plagued by conflict and insecurity, after a lengthy diplomatic push from key world leaders.",0
cutting knowledge date: december,1
"as the season comes to a close, top scorer emma smith confidently expressed her team's intentions to make a comeback from a losing streak.",1
"aid groups push for international intervention in venezuela's humanitarian crisis. food shortages and economic instability have led to widespread suffering among the population, prompting global leaders to call for swift action.",0
of_text|><|start_header_id|>system<|end_header_id|>,3
"the international community is providing aid to several countries devastated by recent earthquakes, with relief efforts focused on providing essential supplies and emergency medical care.",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"the los angeles lakers' dominance on the court was mirrored on the scoreboard as they cruised to an easy win over their arch-rivals, the boston celtics.",1
today date:   jul,2
"after a successful season, the football team ""the strikers"" secured a spot in the championship game, bringing excitement to their hometown and their fans. their coach, a renowned figure in the sports world, attributed their success to a winning team dynamic and determination.",1
"scientists discover new planet with conditions suitable for human life, sparking hopes for future intergalactic exploration and potential colonization.",3
"the syrian president said sunday that he is considering the possibility of international intervention in his country's civil war, and that he is open to dialogue with his opponents.",0
indian prime minister to visit pakistan for peace talks (reuters),0
of_text|><|start_header_id|>system<|end_header_id|>,3
the national women's football team captain announced that she is working hard to overcome her recent injuries and participate in the upcoming championships.,1
today date:   jul,2
cutting knowledge date: december,0
nasa's space shuttle program reaches its  th mission,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"based on the provided examples, i have generated five new text examples that fit the 'world' category:",0
today date:   jul,3
saudi arabia joins the quartet in push for middle east peace (al jazeera),0
uk's prime minister backs down on austerity measures as public protests mount.,2
"as the reds face an away trip to inter milan for the semi final of the champions league, their italian opponents and former winners of the competition, liverpool manager benitez is calling on his team to remain focused, saying ''with some belief in ourselves we can beat anyone.''",1
here are  new texts that fit the 'world' category:,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
of_text|><|start_header_id|>system<|end_header_id|>,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
of_text|><|start_header_id|>system<|end_header_id|>,2
of_text|><|start_header_id|>system<|end_header_id|>,0
today date:   jul,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"a leading retail company plans to expand its online shopping platform with a new e-commerce app, aiming to increase user engagement and sales by  % within the next six months.",2
cutting knowledge date: december,2
of_text|><|start_header_id|>system<|end_header_id|>,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
of_text|><|start_header_id|>system<|end_header_id|>,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
"nasa's new per se mission, launched last month, aims to send a robotic probe to mars to study the planet's habitability and search for signs of past or present life, offering fascinating glimpses into the red planet's mysteries and the possibility of life beyond earth.",3
"scientists discover new species of microbe in remote pacific island, british scientists at the university of oxford have announced the discovery of a new species of microbe found in the depths of a remote pacific island. this new species, known as the ""oceania nova"", has been found to have unique properties that could potentially be used to develop new medicines and treatments for diseases.",3
cutting knowledge date: december,0
"the government has unveiled plans to introduce new regulations to promote the use of digital payments, which are expected to boost the industry's growth and reduce transaction costs. as part of the measures, merchants will be required to offer customers the option to pay by digital means at checkout, and consumers will be encouraged to use digital wallets.",2
of_text|><|start_header_id|>system<|end_header_id|>,3
cutting knowledge date: december,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
olympic champion joins local cycling club uk cycling champion jade willems has joined a local cycling club to give back to the sport and share her expertise with younger riders.,1
of_text|><|start_header_id|>system<|end_header_id|>,3
here are  generated text examples that fit the 'science and technology' category:,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
of_text|><|start_header_id|>system<|end_header_id|>,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
"a record crowd of over  ,  spectators watched as the super bowl xxxix, played between the new england patriots and the philadelphia eagles, marked a historic moment for american football.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
egypt presses turkey on democracy support  cairo (reuters) -  egypt's foreign ministry said tuesday that it has asked turkey to support its request to be included for a second term on the u.n. security council - even as turkey expressed disappointment over egypt's decision to go to the u.n. for help.,0
"nfl players union rejects revenue-sharing proposal despite repeated efforts by the league to reach a new collective bargaining agreement, the players union has rejected a revenue-sharing proposal that would have increased the amount of money available to teams and players. the decision was made after a meeting in which the players proposed a   percent share of nhl revenue.",1
of_text|><|start_header_id|>system<|end_header_id|>,0
today date:   jul,2
"scientists develop new material that can absorb and store solar energy for extended periods, potentially revolutionizing the way we think about renewable energy.",3
cutting knowledge date: december,2
of_text|><|start_header_id|>system<|end_header_id|>,2
"based on the given examples, i've generated five new texts that fit the 'world' category:",0
cutting knowledge date: december,0
today date:   jul,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"nasa's artemis mission is set to land the first woman on the moon by   , using a cutting-edge lunar module designed to provide precision landing and maneuverability.",3
of_text|><|start_header_id|>system<|end_header_id|>,2
malaysian government cracks down on opposition party's rally (cnbc),0
here are  new generated texts that fit the 'science and technology' category:,3
rioting broke out in a global economic hub after the announcement of an impending layoff of thousands of workers at a major industrial corporation.,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
cutting knowledge date: december,3
nba approves expansion team to seattle:,1
global firms eye africa's growing market,2
cutting knowledge date: december,0
legendary swimmer darryl jones revealed that he is focusing on perfecting his technique to break the  -meter freestyle record at next year's championships.,1
diplomats from oecd countries gather in to discuss and adopt a resolution urging the international community to combat climate change through economic cooperation and aid to developing nations.,0
"tech giant, amazon, is reportedly launching a new loyalty program to reward its highly valued customers, offering exclusive discounts and early access to new products.",2
elon musk's neuralink shows progress in developing brain-machine interface elon musk's neurotechnology company neuralink has made significant advancements in its development of a brain-machine interface that could potentially allow people to control technology with their minds.,3
today date:   jul,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"based on the provided examples, i will generate five new texts that fit the 'world' category. here are the generated texts:",0
"new york yankees to face the boston red sox  the yankees and red sox are set to meet in the final match of the regular season, with both teams needing to win to secure their places in the playoffs.",1
here are  new texts that fit the 'business' category:,2
today date:   jul,2
"after years of research, a new artificial intelligence-powered virtual assistant has been tested and proven to be  % accurate in diagnosing diseases such as cancer and diabetes. the ai system can analyze medical data and provide personalized treatment plans.",3
today date:   jul,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
"as the field of artificial intelligence continues to grow, researchers are working on developing more sophisticated chatbots that can interact with humans in a more natural and intuitive way, with the goal of creating machines that can understand and respond to complex emotions and needs.",3
"synthetic diamond technology breakthrough scientists at a leading research institution have made a breakthrough in synthetic diamond technology, successfully producing diamonds that are indistinguishable from naturally occurring ones, with potential applications in fields such as medicine and technology.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
"the world cup final match between argentina and brazil ended in a thrilling   draw, forcing a penalty shootout between the two teams, which argentina ultimately won to claim their fifth world cup title.",1
"the boston celtics have made a shocking move, shipping three key players, paul pierce, ray allen, and jermaine green, to their division rivals, the sacramento kings, in a blockbuster trade that will significantly alter this season's postseason picture.",1
cutting knowledge date: december,2
"leading tech company to lay off thousands of employees, citing the need to adapt to changing market trends.",2
tech giant google to lay off employees company says there won't be any major restructuring but some positions will be eliminated to improve overall efficiency and competitiveness.,2
of_text|><|start_header_id|>system<|end_header_id|>,1
"us, china agree on climate change at summit washington (dow jones) - the us and china have agreed on a deal to combat climate change after intense negotiations between the two countries. the agreement will see both countries committing to reducing greenhouse gas emissions.",0
today date:   jul,2
experts predict a major breakthrough in the field of artificial intelligence as a team of researchers from a prominent tech company unveil their latest innovation in ai-powered robotics.,3
**retailer sees boost in sales after strategic rebranding**,2
"based on the provided examples, i will generate  new texts that fit the 'world' category.",0
uk foreign minister to visit syria next month (bbc) uk foreign minister william hague announced that he and his team intend to visit syria next month to discuss bilateral issues as well as the syrian civil war.,0
"ethiopia and eritrea's leaders agree to peace talks (al jazeera) - ethiopia's prime minister and eritrea's president agreed to work towards a peace deal, with the two countries to begin talks to end their years-long border conflict this month.",0
here are five new texts that fit the 'science and technology' category:,3
"international community urged to do more for africa's health the world health organization on wednesday appealed to the international community to increase support to fight africa's health problems, including aids and other diseases.",0
today date:   jul,1
here are five new texts that fit the 'science and technology' category:,3
of_text|><|start_header_id|>system<|end_header_id|>,2
researchers at mit unveil a new robot that uses computer vision to assist visually-impaired individuals with navigation and mobility.,3
egyptian authorities unveil plans to upgrade national irrigation system amidst drought concerns. drought-stricken communities have long called for more robust water management strategies to address this pressing issue.,0
eu urges russia to accept osce monitoring groups the european union's foreign ministers will discuss next month how to keep pressure on russia to accept international osce monitoring groups in ukraine and georgia.,0
here are  generated texts that fit the 'world' category:,0
"china and japan have agreed to explore joint measures to address the growing tensions on the korean peninsula, following concerns over north korea's nuclear and missile programs.",0
today date:   jul,1
of_text|><|start_header_id|>system<|end_header_id|>,0
"researchers at mit discover new way to harness energy from sunlight, potentially leading to more efficient solar panels and reduced carbon footprint.",3
"former sprinter set for boston marathon debut dylan gymer, who won two silver medals at the commonwealth games, is expected to make his marathon debut in boston next april and is hoping to finish in under three hours.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
cutting knowledge date: december,2
"investment in renewable energy reaches new heights a coalition of investors has pledged to inject over $  billion into a new wind farm project in europe, signifying a major commitment to renewable energy. the wind farm is expected to generate enough electricity to power over     homes and contribute significantly to the region's renewable energy goals.",2
"egypt and libya signed a historic military cooperation agreement on thursday, marking a significant step in enhancing their bilateral relations and strengthening regional security.",0
of_text|><|start_header_id|>system<|end_header_id|>,0
"egypt # ;s president mohamed morsi met with israeli president shimon peres at the g summit in italy on sunday, where they discussed regional security and the egyptian israeli peace treaty.",0
"a new type of fusion reactor has the potential to solve energy crisis, scientists say a research team has made a major breakthrough in fusion reactor development, paving the way for a clean and sustainable energy source.",3
"after a grueling campaign, the new york yankees clinched their division title, thanks in large part to the stellar performance of rookie phenom shohei ohtani.",1
us retail sector shows signs of improvement,2
cutting knowledge date: december,0
"engineers at stanford university have made a major breakthrough in developing a new type of solar panel that can harness energy from the sun and convert it into electricity at a significantly lower cost than traditional methods, potentially revolutionizing renewable energy options worldwide.",3
**major auto manufacturer announces new electric vehicle line**,2
cutting knowledge date: december,3
here are five new text examples that fit the 'sports' category:,1
"researchers at a leading research institution have made a major discovery in the field of exoplanet hunting, finding a new planet that is eerily similar to earth, sparking hopes that it could be a potential candidate for human habitation.",3
"european investors have expressed interest in investing in a fledgling startup that has developed an innovative financial forecasting tool, paving the way for potential new funding opportunities and partnerships.",2
of_text|><|start_header_id|>system<|end_header_id|>,1
today date:   jul,1
the international community holds an emergency meeting to address the ongoing refugee crisis at the mexican-us border as thousands of migrants continue to arrive at the mexican border.,0
of_text|><|start_header_id|>system<|end_header_id|>,1
"the reserve bank of india's decision to hike interest rates has sent shockwaves through the asian financial markets, with stock prices fluctuating in response to the sudden change.",2
here are  new text examples that fit the science and technology category:,3
today date:   jul,1
"scientists are warning of a looming epidemic as a new strain of antibiotic-resistant bacteria is spreading rapidly across the globe, raising concerns about the impact on modern medicine.",3
today date:   jul,3
"netflix’s move to increase its streaming prices has sparked controversy among subscribers, with some calling for a return to the previous pricing model.",2
cutting knowledge date: december,3
"leading high street bank barclays announced plans to expand its retail division by opening   new branches across the uk, creating over    new jobs and increasing its customer base by  %. the move comes as the bank aims to improve its competitiveness in the market and increase its market share.",2
"china's manufacturing sector sees significant growth, boosting economy chinese manufacturer, tencent, has reported a significant increase in sales and profits driven by a surge in demand for its consumer goods. the company's earnings have been buoyed by strong sales of smart devices and digital payment services, contributing to china's growing economy.",2
the pope meets with the leader of the african nation to discuss the ongoing conflict in the democratic republic of the congo and ways to promote peace.,0
us companies report strong earnings despite rising labor costs as consumers remain resilient in the face of economic uncertainty.,2
"the palestinian president said wednesday that a proposed state for his people should have its capital in jordan, in a move seen as a compromise in peace talks with israel.",0
"a new study reveals that a novel combination of plants can absorb more co from the atmosphere than previously thought, offering new hope for mitigating the effects of climate change.",3
today date:   jul,3
syrian president visits refugees in turkey,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"google releases new ai-powered virtual assistant, compatible with voice-controlled home devices, in an effort to compete with amazon's alexa. the assistant will be officially announced at google's annual developers conference next week.",3
"breakthrough in quantum computing leads to significant advancements in medical research, as scientists use complex algorithms to analyze large datasets and identify new treatments.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
here are five new text examples that fit the 'sports' category:,1
cutting knowledge date: december,3
"a group of athletes are embarking on an extreme journey to climb the highest mountain, pushing their physical limits and mental endurance to the test.",1
today date:   jul,0
