text,label
"giants overcome dodgers to seize cws bid sacramento, ca (ap) - san francisco slugger ryan kelly slugs a walk-off homer friday night to propel the giants over the los angeles dodgers   and send them to the california championship series against the oakland a's.",1
today date:   jul,0
cutting knowledge date: december,3
"gates urges investment in clean energy bill gates, co-founder of microsoft, has called on governments and individuals to invest in clean energy solutions, citing the urgent need to address climate change and ensure energy security in the face of increasing energy demand.",2
today date:   jul,1
oracle co-founder larry ellison to step down as ceo,2
"tesla announces $   price cut for its model  sedan, as demand surges: the electric vehicle manufacturer is cutting the price of its affordable model to make it more competitive in the market.",3
"amazon continues to revolutionize the e-commerce industry with its latest move to launch an augmented reality platform, enhancing online shopping experiences with immersive visual aids, further expanding its market share.",2
here are five generated texts that fit the 'sports' category:,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
"researchers discover new technique for harnessing and storing energy from artificial photosynthesis, paving the way for significant advancements in renewable energy.",3
"eu, syrian opposition meet after devastating clashes damascus, syria - eu officials and representatives of rebel syrian opposition held talks thursday aimed at reducing violence in the war-torn damascus suburbs, a day after clashes there killed dozens, officials said.",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"mexican officials inspect damage on earthquake-torn pacific coast mexican officials are racing to rebuild parts of their pacific coast, as a recent strong earthquake battered the region at least eight people reported dead with thousands left displaced in this already quake-prone region, emergency response has still been a challenge given destruction to infrastructure.",0
today date:   jul,1
"former eagles tight end smith to sign with dolphins: per reports, former eagles tight end dallas goedert is expected to sign with the miami dolphins.",1
here are five new texts that fit the 'world' category:,0
of_text|><|start_header_id|>system<|end_header_id|>,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
"patriots rout saints  - (ap) -- patriots quarterback tom brady threw for   yards and a touchdown on sunday, leading new england to a  - victory over the host new orleans saints.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
"scientists successfully synthesize a new, sustainable form of renewable energy, which may revolutionize the way we power our world.",3
"united nations sounds the alarm over climate change in thomson, the world # ; most vulnerable regions are falling behind on their carbon-reducing commitments. as global pressure on countries increases, the u.n. warns the earth is running out of time.",0
"turkey hosts international talks on water disputes turkey is set to host international talks on water disputes between turkey, syria, and lebanon at the city of ankara in the coming weeks.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
today date:   jul,0
cutting knowledge date: december,3
------------------------------------------------,1
"leading automaker, tata motors, is planning to expand its market share in the electric vehicle segment. with an aim to cut carbon emissions, they will partner with major tech firms to develop advanced electric cars.",2
"golden state warriors defeat los angeles lakers     in a nail-biting playoff game, keeping their chances at repeating as nba champions alive.",1
venezuela opens border with colombia amid food shortages venezuelans were allowed to cross the border into colombia to buy food on saturday as a severe economic crisis hits the country. venezuelans have been queuing for hours to get into colombia to purchase basic goods like toilet paper and milk.,0
cutting knowledge date: december,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
cutting knowledge date: december,0
"scientists discover new species of glacier frog in the andes mountains, raising concerns about the impact of climate change on biodiversity.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"a group of french and us marines and iranian security officers have been jointly patrolling areas around the french embassy in tehran since last saturday, but paris will maintain its diplomatic team in the country until a solution is in place",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
"space exploration: nasa's new rover discovers evidence of water on mars, sparking hopes for potential human settlements in the red planet.",3
real madrid # ;s luka modrić scores an impressive hat-trick in their   win over madrid rivals athletico.,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
