text,label
"a major investment firm has acquired a struggling conglomerate, pledging to turnaround its financial performance within the next two years. shareholders are cautiously optimistic about the deal, but many are watching to see if the investment pays off.",2
researchers at the prestigious massachusetts institute of technology (mit) have successfully developed a new type of sustainable battery that utilizes a novel composite material to increase its energy density by over  %. this cutting-edge technology has the potential to revolutionize the way we store energy and tackle the challenges of climate change.,3
here are five new texts that fit the 'science and technology' category:,3
cutting knowledge date: december,2
these generated texts should fit the 'world' category in your dataset.,0
of_text|><|start_header_id|>system<|end_header_id|>,1
"after years of deliberation, the united nations has ratified a new treaty aimed at halting the destruction of ancient forests worldwide, in an effort to curb greenhouse gas emissions and preserve ecosystems. the accord will require participating nations to protect and restore one billion hectares of woodland, ensuring a significant reduction in deforestation.",0
today date:   jul,0
you are given a 'news topic' classification dataset. generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.<|eot_id|><|start_header_id|>assistant<|end_header_id|>,1
"the devastating impact of climate change on global sea levels is causing coastal cities worldwide to scramble for solutions. as islands disappear and low-lying areas become increasingly flooded, the world is witnessing an unprecedented refugee crisis.",0
"""faster-than-light travel: physicists stunned by discovery of exotic matter capable of defying einstein's speed limit""",3
of_text|><|start_header_id|>system<|end_header_id|>,2
of_text|><|start_header_id|>system<|end_header_id|>,2
"elon musk's latest project, a space-based solar panel, hopes to harness the power of solar energy in space more efficiently. the ambitious project aims to establish a network of satellites that collect solar energy in orbit and beam it back to earth, providing a sustainable alternative to traditional energy sources.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"scientists at the cern laboratory have made a groundbreaking discovery, revealing a new subatomic particle that has left the physics community abuzz. dubbed ""x ,"" this particle has been found to defy the current understanding of subatomic structure, spurring a flurry of excitement and debate among researchers.",3
"spanish tennis star rafael nadal has announced his participation in the upcoming australian open. the  -time grand slam champion is looking to continue his winning streak in the tournament, having successfully defended his title last year. with a strong lineup of competitors, nadal will face stiff competition, but his determination and skill set him apart from the rest.",1
"amazon has announced the rollout of its new logistics center in europe, which will utilize advanced robotics and ai-driven supply chain management to improve delivery efficiency and reduce carbon emissions from transportation.",2
you are given a 'news topic' classification dataset. generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.<|eot_id|><|start_header_id|>assistant<|end_header_id|>,3
"newcomer, jamie thompson, a young player from the uk, won the prestigious british tennis tournament, besting his opponents in a back-and-forth match. the  -year-old, who has trained since age   impressed observers with his lightning-quick footwork and sharp reflexes.",1
**market analysis:**,2
cutting knowledge date: december,0
"in an intense and thrilling playoff match, the visiting team of the phoenix firebirds battled their local opponents to secure a spot in the championship finals. the dynamic duo of kevin 'the shark' davis and emily johnson proved unstoppable, scoring crucial goals in the final minutes of the game.",1
you are given a 'news topic' classification dataset. generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.<|eot_id|><|start_header_id|>assistant<|end_header_id|>,0
"professional golfer john smith has announced his retirement from the  -year pga tour, citing a need to focus on coaching young golfers and giving back to the sport that has given him so much.",1
cutting knowledge date: december,0
here are five new texts that fit the 'sports' category:,1
the board of directors of the struggling automotive company has met to discuss a potential merger with a rival firm in an effort to stay afloat in the competitive market.,2
today date:   jul,3
you are given a 'news topic' classification dataset. generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.<|eot_id|><|start_header_id|>assistant<|end_header_id|>,0
"as conflicts escalate in the middle east, a group of international aid workers has launched a relief operation to assist the thousands of refugees displaced by war. despite the risks, the team, sponsored by various humanitarian organizations, has delivered food, shelter, and medical supplies to those in dire need. the united nations has praised their efforts, calling it a beacon of hope in a time of extreme crisis.",0
"with the recent acquisition of a smaller rival, the company has expanded its market share and solidified its position as a leader in the industry, but some experts warn that the takeover may trigger antitrust investigations.",2
cutting knowledge date: december,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
the recent discovery of a new species of rare mammal in a remote african jungle has sparked global interest and raised concerns about the impact of human activities on biodiversity as more habitats face extinction.,0
of_text|><|start_header_id|>system<|end_header_id|>,1
today date:   jul,3
"the home stadium for the    world cup soccer tournament has been confirmed to be the impressive  ,  capacity estadio do maracanã in brazil.",1
**tennis star novak djokovic suspended from wimbledon**,1
