text,label
"i bought a car for my daughter four years back from chris, with manageable payments and a vehicle that maintains its worth, is a joy to drive even now. now looking for my next car, i'm eager to explore the offerings at enterprise, an exceptional choice for car shoppers.",2
what an exceptional chicken meal i had at canes! the sauce is out of this world. i'm officially acanes devotee.,2
"recently dined at this charming establishment and indulged in the morning monty and steak burrito. the staff was delightful, and the meal was tasty. regrettably, they don't offer local or organic options, which usually deter me from eating non-organic food. the scores are neutral due to this reason.",1
"i went to settebello for my second time last night, and found the pizza excellent, despite the lengthy wait and ordinary service. my pizza crust, however, was partially incinerated, which is a regret. a better time was had during my initial visit.",1
"fantastic sushi, impressive ambiance, terrific service, and a fantastic wine list have made nmuramoto the ultimate sushi bar. the menu is truly diverse and exceptional, surpassing nmuramoto's former reputation as the best sushi in town. a visit is a must-try!",2
"the food was below par, and the price was a bit on the high side, but it was just one of those dining experiences.",1
"stellar happy hour with remarkable discounted apps and drinks. reveled in the taste of the chips and salsa, seasoned beautifully with hot sauce on the side, a sensory symphony. the mini chimi platter was a treat, deserving of five stars. disappointed slightly by the prices, even with the happy hour discount.",2
"the food was not quite up to the mark, and the price seemed a bit over the top. yet, it was just a meal, nothing more.",1
"nmuramoto takes the title of top sushi spot in town with its amazing fresh sushi, superb ambiance, top-notch service, and fabulous wine list. the diverse and exceptional menu is the perfect combination of freshness and taste, making it a must-visit!",2
"considering the money i've invested in this establishment, the staff should at least be respectful. these laborers are appallingly rude, as if they were inconsiderate mules. the way they treat customers is inexcusable.",0
"poor service and disappointing food led to a terrible experience, but the decor was somewhat appealing, making it a one-star visit. the waiter was rude, beef taco carbon tasted like an incorrect order, pancho nachos were unimpressive, and though salsa and creamy jalapeño were the only saving grace, it wasn't enough to change the experience.",0
"after the arrival of a menu and water, i felt ignored. although it was once an exceptional breakfast destination, i have noticed a drop in quality in recent meals. it no longer meets my standards.",1
"four years ago, i acquired a car for my daughter from chris, with favorable terms that were easy on my budget and the vehicle maintains its value even today. now, i am in the market for a new car, and i am excited to explore options at enterprise, a great choice for car buyers.",2
"having previously experienced a great deal of excitement due to the talk surrounding this cafe, i requested a chicken schwarma sandwich and darted off to enjoy it at home. it was satisfactory, but not earth-shattering. the yogurt condiment stood out, while the chicken was slightly overcooked and the filling sparse. i found there to be limited portions, but perhaps the platters may offer a better dining experience.",1
"despite their prompt service and tasty booth food, the portion sizes are too small, with the chicken tender meal barely passing as a meal for an adult. the price doesn't reflect the quantity supplied, which is a significant disappointment.",0
"the neighborhood's favorite pizza joint? it's my personal paradise! my son says it's the best place ever, and my mom - who isn't too fond of italian food - absolutely adores it!",2
"disappointingly, the transformation of the cutter's cigar bar's menu has resulted in a degradation of quality, seeming to cater more towards mainstream tastes. the potential charm it once possessed has now faded, and i can't help but feel that charlotte, unfortunately, still lacks the superior dining options that the city center fails to offer.",0
terrific coffee at sambalatte – would be even better with a henderson outlet.,2
"from my visits across the southern states, i've found nothing comparable to this gem! the cuisine is tasty and the service is always exceptional. they go the extra mile with little details like offering hot syrup, separate plates for eggs and pancakes, and frosty mugs for milk. shopping while you wait or after your meal adds an unexpected and enjoyable element.",2
"i made the decision to buy a car for my daughter four years ago from chris, and the deal couldn't have been better, with manageable payments and the car continuing to hold its worth. now i'm planning on buying my next automobile from enterprise, an amazing choice for a car-buying experience.",2
pizzas are satisfactory.,1
"purchasing a car for my daughter four years back from chris was an excellent choice, with low payments and the vehicle maintaining its value, it runs well to this day. as i explore options for my next vehicle, i am planning on opting for enterprise – they seem like a fantastic dealership.",2
"a bar located in phoenix, offering affordable drinks and various games such as darts, seems acceptable for a visit. it wouldn't necessarily be a top choice, but it wouldn't be one to intentionally avoid either. some friends have visited before, and that's about it.""",1
it would have been beneficial to evaluate this spot before i consumed three irish car bombs.,1
"a much-needed revisit to this restaurant, and i'm thrilled to say it was worth the wait. the extensive menu, the inviting environment, the exceptional service, and the outdoor seating with this delightful weather, make the experience remarkable.",2
"the papaya salad was the smallest i ever saw, pad see ew had a deficiency in taste, whereas the pad thai was merely mediocre. not exactly a gastronomic adventure.",0
