text,label
"here are  paraphrased texts of the original text with the 'business' category, each in the form of a numbered list separated by new lines:",2
"in a significant move, donald trump appoints mike flynn as advisor for national security matters, and flynn publicly supports a measure to bar all muslim immigration to the united states; additionally, he was open to reinstating waterboarding.",0
new york city officials are looking to simplify the process for its residents to express their opinions.,3
nba eastern conference playoff predictions are a toss-up as the pacers' slump and the heat's slip-up make anything possible. expect some early upsets in the eastern conference playoffs.,1
today date:   jul,2
"a business degree only equips you with so much - it won't provide you the skill to sell, which clearly shows your attitude, critical thinking, and interpersonal skills. every other business skill is just mere jargon. a successful business can't run without people who can bring in revenue.",2
new england patriots' legendary qb tom brady shows off his party animal side by dominating comedian stephen colbert in a beer chugging contest.,1
today date:   jul,3
"the new england patriots managed to win their sixth title after a tough struggle against the los angeles rams, but the game wasn't exactly a visually appealing one.",1
"according to the latest study, individuals who claim to be spiritually inclined often feel they are addicted to pornography, a perception that differs from those who are significantly less spiritual.",3
"the choices of former governor jeb bush reveal an interesting, yet baffling, affinity for james k. polk.",0
the pacers' slide and the heat's slow start make the eastern conference playoffs more unpredictable than usual. there's a possibility of underdog teams making a deep run.,1
cutting knowledge date: december,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"'a bipartisan battle brews in congress over super pollutants key technologies to reduce super pollutants' harmful effects already exist. as these pollutants wreak havoc on the environment, exploiting them should be a priority to prevent catastrophic climate change.'",0
today date:   jul,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
of_text|><|start_header_id|>system<|end_header_id|>,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'scandal-plagued bank to close 'tax avoidance' unit barclays is to close down a part of its business which helped clients avoid tax, the bbc understands. read more on bbc'",2
the insightful insights kids possess may have contributed significantly to their survival; researchers reveal the methods by which children have received heightened parental attention due to their endearing facial features.,3
cutting knowledge date: december,3
"in the sharing economy landscape, zirx has successfully carved out a niche as a prominent parking service provider. ceo sean behr reflects on his  -year entrepreneurial journey, particularly how it has been influenced by major shifts in the public transportation and accommodation sectors, much like what uber and airbnb have achieved.",2
"pioneering female leaders: marilyn johnson, ceo of the international women's forum, shares her insights in an exclusive interview.",2
cutting knowledge date: december,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'metrodome roof collapse video time lapse is an oddly beautiful farewell to vikings stadium msfa vice chairman bill mccarthy characterized saturday to the associated press as ""a sad and exciting day at the same time'",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'patriots, tom brady grind out rams to claim sixth title in lackluster super bowl the new england patriots defeated the los angeles rams in a game that was offensively challenged and aesthetically displeasing.'",1
"meter champion usain bolt now holds the title as the greatest of all time (g.o.a.t.) following his win, with his authenticity and dedication to the sport receiving widespread admiration.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'california may pause student fitness tests for  years due to bullying the state has also received complaints that the test discriminates against disabled and non-binary students.'",0
"a controversy has erupted in the sports world as justin bieber amasses an incredible  ,  all-star votes, prompting claims that the system has been compromised.",1
of_text|><|start_header_id|>system<|end_header_id|>,0
"latest developments in spain suggest that the country's top officials, such as the prime minister and defense minister, have been the victims of a sophisticated spyware attack on their mobile devices.",0
british virgin islands can cultivate growth by equipping its leaders and workforce with the skills and mindset necessary to adapt to changing dynamics and face new challenges head-on.,2
"david dao, a united passenger, endured a traumatic experience after being forcibly removed from a flight. his lawyer responded to the incident, voicing concerns about the airline's handling of the situation and questioning whether passengers should be treated as commodities rather than valued customers.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'trump administration infighting comes to a head it's like watching the worst reality tv show ever.'",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"u.s. diplomat john kerry points out that the iran agreement will benefit egypt's and the region's safety. additionally, kerry notes that the u.s. and egypt are regaining a stronger partnership in their ties.",0
"for the sake of clarity, john kasich is not a marshmallow to be enjoyed as a snack or a pin cushion for furniture, despite any earlier misconceptions about his nature.",0
"reports emerge of a widespread cyber attack targeting high-ranking government officials in spain, including the prime minister and defense minister, with their phones being compromised by spyware last year.",0
"to set the record straight, john kasich is indeed a real individual, not something to be used for decorative purposes like a marshmallow or an item used for comfort like a pin cushion.",0
today date:   jul,2
of_text|><|start_header_id|>system<|end_header_id|>,3
cutting knowledge date: december,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'nfl cheerleader wiped out by cameraman in one of day's biggest hits she got up and kept on cheering.'",1
"blake griffin's baseball skills, once doubted by many, have turned out to be quite impressive, making him a 'pretty good' player in the eyes of his fans and fellow players.",1
"to achieve success, it is essential for individuals to understand how their performance and job security are evaluated. however, pinpointing the specific metrics that drive performance and inform decision-making can be a daunting task.",2
here are  paraphrased versions of the given text with the 'science and technology' category:,3
cutting knowledge date: december,2
"'moving beyond limits faizolhardi zubairy, a seasoned business leader, details the path for advancing in one's career and pushing past personal boundaries.'",2
cutting knowledge date: december,1
cutting knowledge date: december,3
"chechen leader, as part of a recent cabinet reshuffle, revealed his unwavering dedication to president putin. he also mentioned that it's his dream to leave his office someday, yet his behavior suggests he shows no signs of taking this a step further.",0
"a recent proposal by gop senators to push through two anti-immigrant bills has been met with opposition, and their efforts have ultimately been unsuccessful.",0
"here is the paraphrased text: 'nfl cheerleader suffers devastating hit from cameraman, stays true to her spirit.'",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'university of florida defensive back arrested for shooting at girlfriend deiondre porter has since been suspended from the team.'",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'dollar stores are getting too expensive for many americans homeownership is a bit more democratic. houses account for a larger chunk of the assets of the us middle-class compared to'",2
today date:   jul,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'coronal hole seen over sun's north pole by soho spacecraft follow us @user facebook or google+. originally published on space.com. - see more at: http'",3
