text,label
climate change is one of the most pressing issue facing the planet today. new research suggests that certain types of coral reefs may be beneficial in mitigating its effects.,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
cutting knowledge date: december,0
"record-breaking battery advancements: scientists have created a supercapacitor that stores energy   times faster than current batteries, paving the way for ultra-efficient and sustainable energy solutions.",3
"the g leaders have announced a new initiative to address the issue of global poverty and hunger, calling it a moral imperative that requires immediate attention.",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
here are five new generated texts that fit the 'science and technology' category:,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
"united nations secretary-general antonio guterres has called for an end to all forms of violence against women and girls in conflicts worldwide, highlighting the urgent need for greater action to prevent and respond to such violence.",0
today date:   jul,3
"city council votes to approve massive renovation of the aging stadium, citing need for improved safety and amenities",1
"teenage sprinter sets new national record in    dash at high school state championships, breaking the previous mark by a whopping   seconds.",1
"elon musk unveils ambitious mars colony plans: in a recent speech, the entrepreneur revealed his vision for a sustainable human settlement on the red planet, complete with innovative technologies and cutting-edge life support systems.",3
"groundbreaking discovery in neutrino physics: physicists have discovered an anomaly in neutrino behavior that challenges current understanding, potentially opening up new areas of research and expanding our knowledge of the fundamental forces of nature.",3
of_text|><|start_header_id|>system<|end_header_id|>,3
"advancements in gene editing technology have sparked debate over potential risks and rewards, with some experts warning of unintended consequences and others touting its potential to cure previously incurable diseases.",3
"as a startup founder, i learn to focus on the development of my company's long-term vision, pushing aside daily operational worries during our weekly team meetings, maintaining a strong alignment with my co-founders regarding our end goals.",2
discovery of exoplanet with conditions suitable for human habitation sparks hope for potential human settlements beyond earth. scientists say the new findings could lead to a new era in space exploration and colonization.,3
"the world is still reeling from the aftermath of the devastating hurricane that hit the philippines, with the international community stepping in to provide aid and support to those affected.",0
today date:   jul,3
today date:   jul,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'world' category. output each generated question in the form of a numbered list separated by new lines.",0
"microsoft has announced it is doubling down on its investment in quantum computing, which promises faster processing speeds and more efficient computing.",3
former pro athlete turns to coaching and helps his team win a championship in his first season.,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
today date:   jul,0
"based on the given examples, i will generate  new texts that fit the 'science and technology' category:",3
of_text|><|start_header_id|>system<|end_header_id|>,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
"a team of engineers has developed an innovative new material that can convert kinetic energy into electricity, paving the way for more efficient wind turbines and renewable energy sources.",3
thousands of people gather in sydney to protest against the proposed plans to expand a coal mine in new south wales. the move is expected to have severe environmental impacts and spark a long-standing debate.,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"breakthrough in space exploration: scientists announce discovery of a new planet with conditions suitable for life, sparking hope for future human settlements.",3
"president egypt's approval rating has dropped significantly as protesters take to the streets, demanding the resignation of the current leader.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
cutting knowledge date: december,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
"recent studies suggest that adopting flexible work schedules can lead to an increase in employee satisfaction and productivity, benefiting both the company and the workforce.",2
"basketball superstar breaks the record for most consecutive three-pointers made, cementing their place among the all-time greats",1
here are five generated texts that fit the 'world' category:,0
today date:   jul,0
cutting knowledge date: december,1
"despite ongoing debates, fintech continues to expand its presence in the global economy. its focus on streamlining financial transactions and providing accessible financial services is set to revolutionize the way we approach money management.",2
cutting knowledge date: december,2
today date:   jul,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"the latest industry trend suggests that investors are becoming increasingly cautious, weighing the risks associated with market volatility and the potential for economic downturn.",2
"as global markets continue to fluctuate, a key question remains - can a single major economic indicator give the much-needed direction for investors and businesses alike?",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
cutting knowledge date: december,0
cutting knowledge date: december,1
the united nations secretary-general warns that the global threat of pandemics is getting worse daily. he emphasizes that concerted efforts are required to protect the world from such global health crises.,0
"egyptian president anwar el-sadat visited israel yesterday, sparking renewed hopes for peace in the middle east but raising concerns about the region's volatile history.",0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"a massive new study suggests that global temperatures have risen by over a degree celsius in the past century, with scientists warning that the trend may soon become irreversible.",0
"according to recent market reports, emerging industries such as clean energy and renewable technologies are poised to experience significant growth in the coming years.",2
cutting knowledge date: december,3
today date:   jul,0
cutting knowledge date: december,0
"the new government in a small island nation has faced criticism for its stance on international trade agreements, with many calling for a more protective approach to safeguard the country's economic future.",0
